Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
01/07/22 at 12:08AM,0.00,0.00,0.00,0.00,0.00,-3865.40,-4242.00,-3440.00,119.09,5.22
01/07/22 at 12:18AM,0.00,0.00,0.00,0.00,0.00,-4750.80,-5697.00,-4044.00,106.19,-0.52
01/07/22 at 12:28AM,0.00,0.00,0.00,0.00,0.00,-3873.60,-4644.00,-3025.00,80.51,5.17
01/07/22 at 12:38AM,0.00,0.00,0.00,0.00,0.00,-4128.90,-4983.00,-3553.00,45.25,3.51
01/07/22 at 12:48AM,0.00,0.00,0.00,0.00,0.00,-4029.20,-4666.00,-3671.00,201.37,4.16
01/07/22 at 12:58AM,0.00,0.00,0.00,0.00,0.00,-4286.10,-4792.00,-3710.00,62.33,2.49
01/07/22 at 01:08AM,0.00,0.00,0.00,0.00,0.00,-4440.60,-5121.00,-4014.00,215.16,1.49
01/07/22 at 01:18AM,0.00,0.00,0.00,0.00,0.00,-4016.10,-4918.00,-2618.00,48.98,4.25
01/07/22 at 01:28AM,0.00,0.00,0.00,0.00,0.00,-4752.80,-5440.00,-3751.00,115.99,-0.54
01/07/22 at 01:38AM,0.00,0.00,0.00,0.00,0.00,-4172.40,-5017.00,-3310.00,92.78,3.23
01/07/22 at 01:48AM,0.00,0.00,0.00,0.00,0.00,-4048.60,-4603.00,-3386.00,72.61,4.04
01/07/22 at 01:58AM,0.00,0.00,0.00,0.00,0.00,-3792.40,-5055.00,-2387.00,399.27,5.70
01/07/22 at 02:08AM,0.00,0.00,0.00,0.00,0.00,-4105.60,-4701.00,-2907.00,379.03,3.66
01/07/22 at 02:18AM,0.00,0.00,0.00,0.00,0.00,-4385.30,-5237.00,-3614.00,8.13,1.85
01/07/22 at 02:28AM,0.00,0.00,0.00,0.00,0.00,-4099.10,-4571.00,-3501.00,74.60,3.71
01/07/22 at 02:39AM,0.00,0.00,0.00,0.00,0.00,-4022.60,-4427.00,-3467.00,8.41,4.20
01/07/22 at 02:49AM,0.00,0.00,0.00,0.00,0.00,-4367.30,-4809.00,-3816.00,79.15,1.97
01/07/22 at 02:59AM,0.00,0.00,0.00,0.00,0.00,-4435.60,-5161.00,-3670.00,242.10,1.52
01/07/22 at 03:09AM,0.00,0.00,0.00,0.00,0.00,-4042.50,-4476.00,-2982.00,53.92,4.07
01/07/22 at 03:19AM,0.00,0.00,0.00,0.00,0.00,-4747.60,-5502.00,-3667.00,29.22,-0.50
01/07/22 at 03:29AM,0.00,0.00,0.00,0.00,0.00,-3961.00,-4555.00,-3511.00,23.08,4.60
01/07/22 at 03:39AM,0.00,0.00,0.00,0.00,0.00,-3585.50,-4990.00,-2496.00,46.96,7.04
01/07/22 at 03:49AM,0.00,0.00,0.00,0.00,0.00,-3532.90,-4416.00,-2620.00,21.85,7.38
01/07/22 at 03:59AM,0.00,0.00,0.00,0.00,0.00,-4316.10,-5238.00,-3511.00,254.60,2.30
01/07/22 at 04:09AM,0.00,0.00,0.00,0.00,0.00,-4158.70,-4856.00,-3236.00,55.88,3.32
01/07/22 at 04:19AM,0.00,0.00,0.00,0.00,0.00,-4268.70,-5076.00,-3221.00,12.55,2.61
01/07/22 at 04:29AM,0.00,0.00,0.00,0.00,0.00,-4218.90,-4674.00,-3470.00,143.92,2.93
