Date, arduino, arduino_mv, HX711, HX711_mv
16/05/22 at 12:04AM,0,0.00,-4011,4.00
16/05/22 at 12:14AM,0,0.00,-4070,3.00
16/05/22 at 12:24AM,0,0.00,-4009,4.00
16/05/22 at 12:34AM,0,0.00,-4013,4.00
16/05/22 at 12:44AM,0,0.00,-4397,1.00
16/05/22 at 12:54AM,0,0.00,-4347,2.00
16/05/22 at 01:04AM,0,0.00,-4752,0.00
16/05/22 at 01:14AM,0,0.00,-3234,9.00
16/05/22 at 01:24AM,0,0.00,-3558,7.00
16/05/22 at 01:34AM,0,0.00,-4278,2.00
16/05/22 at 01:44AM,0,0.00,-4929,-1.00
16/05/22 at 01:54AM,0,0.00,-4505,1.00
16/05/22 at 02:04AM,0,0.00,-5259,-3.00
16/05/22 at 02:14AM,0,0.00,-4488,1.00
16/05/22 at 02:24AM,0,0.00,-4128,3.00
16/05/22 at 02:34AM,0,0.00,-3803,5.00
16/05/22 at 02:44AM,0,0.00,-3348,8.00
16/05/22 at 02:54AM,0,0.00,-2256,15.00
16/05/22 at 03:04AM,0,0.00,-4145,3.00
16/05/22 at 03:14AM,0,0.00,-3742,6.00
16/05/22 at 03:24AM,0,0.00,-4203,3.00
16/05/22 at 03:34AM,0,0.00,-3711,6.00
16/05/22 at 03:44AM,0,0.00,-4584,0.00
16/05/22 at 03:54AM,0,0.00,-3770,5.00
16/05/22 at 04:04AM,0,0.00,-3957,4.00
16/05/22 at 04:14AM,0,0.00,-3155,9.00
16/05/22 at 04:24AM,0,0.00,-4093,3.00
16/05/22 at 04:34AM,0,0.00,-4986,-2.00
16/05/22 at 04:44AM,0,0.00,-5199,-3.00
16/05/22 at 04:54AM,0,0.00,-3447,7.00
16/05/22 at 05:04AM,0,0.00,-3160,9.00
16/05/22 at 05:14AM,0,0.00,-2659,13.00
16/05/22 at 05:24AM,0,0.00,-3602,6.00
16/05/22 at 05:34AM,0,0.00,-3451,7.00
16/05/22 at 05:44AM,0,0.00,-3223,9.00
16/05/22 at 05:55AM,0,0.00,-2933,11.00
16/05/22 at 06:05AM,0,0.00,-4052,4.00
16/05/22 at 06:15AM,0,0.00,-2998,10.00
16/05/22 at 06:25AM,0,0.00,-3412,8.00
16/05/22 at 06:35AM,0,0.00,-3041,10.00
16/05/22 at 06:45AM,0,0.00,-3735,6.00
16/05/22 at 06:55AM,0,0.00,-2874,11.00
16/05/22 at 07:05AM,0,0.00,-4367,1.00
16/05/22 at 12:25PM,0,0,0,0.00,0.00,-3839.20,-4594.00,-2596.00,40.73,5.39
16/05/22 at 12:35PM,0,0,0,0.00,0.00,-4212.90,-4912.00,-3514.00,173.58,2.97
16/05/22 at 12:45PM,0,0,0,0.00,0.00,-4416.60,-5487.00,-3874.00,171.59,1.65
16/05/22 at 12:55PM,0,0,0,0.00,0.00,-3747.10,-4450.00,-3005.00,76.50,5.99
16/05/22 at 01:05PM,0,0,0,0.00,0.00,-4634.40,-5151.00,-4126.00,160.77,0.23
16/05/22 at 01:15PM,0,0,0,0.00,0.00,-4182.20,-5230.00,-2934.00,331.34,3.17
16/05/22 at 01:25PM,0,0,0,0.00,0.00,-5037.30,-5417.00,-4791.00,120.07,-2.39
16/05/22 at 01:35PM,0,0,0,0.00,0.00,-4689.30,-5226.00,-3975.00,34.88,-0.13
16/05/22 at 01:45PM,0,0,0,0.00,0.00,-5191.60,-5522.00,-4857.00,72.61,-3.39
16/05/22 at 01:55PM,0,0,0,0.00,0.00,-5235.70,-5409.00,-5018.00,10.97,-3.67
16/05/22 at 02:05PM,0,0,0,0.00,0.00,-4455.50,-4887.00,-4035.00,132.97,1.39
16/05/22 at 02:15PM,0,0,0,0.00,0.00,-4539.50,-5322.00,-4000.00,170.60,0.85
16/05/22 at 02:25PM,0,0,0,0.00,0.00,-4852.10,-5519.00,-4156.00,220.13,-1.18
16/05/22 at 02:35PM,0,0,0,0.00,0.00,-4673.20,-5354.00,-4010.00,209.72,-0.02
16/05/22 at 02:45PM,0,0,0,0.00,0.00,-4676.80,-4900.00,-4436.00,34.22,-0.04
16/05/22 at 02:55PM,0,0,0,0.00,0.00,-3951.60,-4534.00,-3027.00,52.30,4.66
16/05/22 at 03:05PM,0,0,0,0.00,0.00,-3726.10,-4417.00,-3278.00,29.44,6.13
16/05/22 at 03:15PM,0,0,0,0.00,0.00,-4425.80,-5102.00,-3828.00,189.04,1.59
16/05/22 at 03:25PM,0,0,0,0.00,0.00,-4323.80,-4924.00,-3817.00,189.80,2.25
16/05/22 at 03:35PM,0,0,0,0.00,0.00,-3525.40,-4346.00,-2915.00,193.03,7.43
16/05/22 at 03:45PM,0,0,101,0.00,0.00,-4237.30,-5234.00,-2810.00,249.09,2.81
16/05/22 at 03:55PM,0,0,0,0.00,0.00,-4295.80,-4935.00,-3647.00,174.18,2.43
16/05/22 at 04:05PM,0,0,0,0.00,0.00,-3743.10,-4297.00,-2200.00,92.05,6.02
