Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
08/07/22 at 12:04AM,23.70,23.00,27.00,0.22,116.13,16391.40,15332.00,17338.00,85.89,136.76
08/07/22 at 12:14AM,21.00,20.00,22.00,0.00,102.90,14545.20,13456.00,15588.00,329.76,124.77
08/07/22 at 12:24AM,21.50,21.00,22.00,0.16,105.35,13598.40,13108.00,14137.00,170.32,118.63
08/07/22 at 12:34AM,21.20,21.00,22.00,0.25,103.88,14579.90,13593.00,15391.00,114.19,125.00
08/07/22 at 12:44AM,20.70,20.00,21.00,0.09,101.43,14279.90,13378.00,15086.00,48.10,123.05
08/07/22 at 12:54AM,20.40,20.00,21.00,0.13,99.96,12771.70,12162.00,13178.00,67.45,113.26
08/07/22 at 01:04AM,19.10,19.00,20.00,0.03,93.59,11321.30,10779.00,12072.00,237.39,103.84
08/07/22 at 01:14AM,3.00,2.00,4.00,0.00,14.70,-750.50,-1028.00,-515.00,17.55,25.45
08/07/22 at 01:24AM,19.80,19.00,20.00,0.06,97.02,12725.10,11894.00,13374.00,20.52,112.96
08/07/22 at 01:34AM,17.50,17.00,18.00,0.16,85.75,9884.50,8819.00,10660.00,1.11,94.51
08/07/22 at 01:44AM,17.00,16.00,18.00,0.00,83.30,10157.60,9347.00,10848.00,84.56,96.28
08/07/22 at 01:54AM,17.50,17.00,18.00,0.16,85.75,10676.40,9994.00,11259.00,184.23,99.65
08/07/22 at 02:04AM,15.90,15.00,17.00,0.03,77.91,9018.10,8665.00,9350.00,45.25,88.88
08/07/22 at 02:14AM,17.00,17.00,17.00,0.00,83.30,9824.60,8811.00,10682.00,175.32,94.12
08/07/22 at 02:24AM,14.80,14.00,15.00,0.06,72.52,8144.50,7148.00,8684.00,89.65,83.21
08/07/22 at 02:34AM,14.10,13.00,15.00,0.03,69.09,7577.80,7335.00,7999.00,133.20,79.53
08/07/22 at 02:44AM,14.40,14.00,15.00,0.19,70.56,7865.50,7529.00,8144.00,50.75,81.40
08/07/22 at 02:54AM,13.60,6.00,18.00,0.13,66.64,7504.60,6598.00,8298.00,18.15,79.06
08/07/22 at 03:04AM,11.40,11.00,12.00,0.13,55.86,5099.90,4075.00,5948.00,268.19,63.44
08/07/22 at 03:14AM,11.80,9.00,13.00,0.06,57.82,5949.10,4938.00,6625.00,120.77,68.96
08/07/22 at 03:24AM,11.30,11.00,12.00,0.09,55.37,5522.60,5232.00,5838.00,51.73,66.19
08/07/22 at 03:34AM,10.70,10.00,11.00,0.09,52.43,4571.90,3717.00,5789.00,108.50,60.01
08/07/22 at 03:44AM,10.40,10.00,11.00,0.13,50.96,4778.00,4098.00,5156.00,89.49,61.35
08/07/22 at 03:54AM,9.90,9.00,10.00,0.03,48.51,4292.30,3855.00,4964.00,212.41,58.20
08/07/22 at 04:04AM,8.70,8.00,10.00,0.09,42.63,3348.20,2596.00,4258.00,181.26,52.07
08/07/22 at 04:14AM,8.30,8.00,9.00,0.22,40.67,2981.40,2130.00,3552.00,76.08,49.68
08/07/22 at 04:24AM,8.10,8.00,9.00,0.03,39.69,2855.30,2242.00,3457.00,54.30,48.87
08/07/22 at 04:34AM,6.50,6.00,7.00,0.16,31.85,1586.60,1187.00,2043.00,15.31,40.63
08/07/22 at 04:44AM,6.10,6.00,7.00,0.03,29.89,1335.90,686.00,2204.00,36.65,39.00
08/07/22 at 04:55AM,5.60,5.00,6.00,0.13,27.44,650.30,8.00,1208.00,92.88,34.55
08/07/22 at 05:05AM,4.60,4.00,5.00,0.19,22.54,-60.80,-590.00,220.00,167.35,29.93
08/07/22 at 05:15AM,2.00,1.00,3.00,0.00,9.80,-1906.10,-2265.00,-1461.00,69.54,17.95
08/07/22 at 05:25AM,1.40,1.00,2.00,0.19,6.86,-2444.50,-2650.00,-2164.00,23.56,14.45
08/07/22 at 05:35AM,0.50,0.00,1.00,0.16,2.45,-2771.90,-3089.00,-2457.00,98.38,12.33
08/07/22 at 05:45AM,2.70,2.00,3.00,0.09,13.23,-1270.40,-1602.00,-700.00,90.95,22.08
08/07/22 at 05:55AM,1.50,1.00,3.00,0.16,7.35,-2296.30,-2775.00,-1799.00,151.38,15.41
08/07/22 at 06:05AM,1.40,0.00,2.00,0.19,6.86,-2573.20,-3286.00,-2157.00,131.61,13.62
08/07/22 at 06:15AM,0.80,0.00,1.00,0.06,3.92,-2813.00,-3032.00,-2517.00,18.02,12.06
08/07/22 at 06:25AM,0.30,0.00,1.00,0.09,1.47,-3528.50,-4049.00,-2954.00,181.67,7.41
08/07/22 at 06:35AM,0.00,0.00,0.00,0.00,0.00,-3562.10,-4007.00,-3097.00,133.42,7.19
08/07/22 at 06:45AM,0.00,0.00,0.00,0.00,0.00,-3519.50,-4230.00,-2775.00,235.43,7.47
08/07/22 at 06:55AM,0.30,0.00,2.00,0.09,1.47,-3378.80,-3973.00,-2684.00,51.92,8.38
08/07/22 at 07:05AM,0.20,0.00,2.00,0.06,0.98,-4019.20,-4482.00,-3360.00,7.65,4.23
08/07/22 at 07:15AM,0.00,0.00,0.00,0.00,0.00,-3958.00,-4817.00,-2717.00,6.01,4.62
08/07/22 at 07:25AM,0.00,0.00,0.00,0.00,0.00,-4787.10,-5531.00,-4161.00,232.08,-0.76
08/07/22 at 07:35AM,0.00,0.00,0.00,0.00,0.00,-4640.90,-5060.00,-4089.00,174.53,0.19
08/07/22 at 07:45AM,0.00,0.00,0.00,0.00,0.00,-4233.20,-5365.00,-2563.00,528.16,2.84
08/07/22 at 07:55AM,0.00,0.00,0.00,0.00,0.00,-3750.50,-4598.00,-3031.00,94.08,5.97
08/07/22 at 08:05AM,0.00,0.00,0.00,0.00,0.00,-3519.00,-4023.00,-2655.00,56.29,7.47
08/07/22 at 08:15AM,0.00,0.00,0.00,0.00,0.00,-3873.10,-4595.00,-3177.00,65.74,5.17
08/07/22 at 08:25AM,0.00,0.00,0.00,0.00,0.00,-4262.40,-5327.00,-3625.00,191.13,2.65
08/07/22 at 08:35AM,0.00,0.00,0.00,0.00,0.00,-3720.90,-4622.00,-1726.00,11.10,6.16
08/07/22 at 08:45AM,0.00,0.00,0.00,0.00,0.00,-3552.20,-5394.00,-2126.00,146.48,7.26
08/07/22 at 08:55AM,0.00,0.00,0.00,0.00,0.00,-3909.90,-4987.00,-2610.00,395.89,4.94
08/07/22 at 09:05AM,0.00,0.00,0.00,0.00,0.00,-4301.70,-4595.00,-3970.00,47.34,2.39
08/07/22 at 09:15AM,0.00,0.00,0.00,0.00,0.00,-3618.30,-4587.00,-2360.00,306.33,6.83
08/07/22 at 09:25AM,0.00,0.00,0.00,0.00,0.00,-3829.80,-4934.00,-3174.00,349.18,5.46
08/07/22 at 09:35AM,0.00,0.00,0.00,0.00,0.00,-3744.60,-4054.00,-3284.00,76.08,6.01
08/07/22 at 09:45AM,0.00,0.00,0.00,0.00,0.00,-3480.40,-4089.00,-2613.00,42.50,7.72
08/07/22 at 09:55AM,0.00,0.00,0.00,0.00,0.00,-3897.90,-4724.00,-3163.00,17.99,5.01
08/07/22 at 10:05AM,0.00,0.00,0.00,0.00,0.00,-4115.80,-4857.00,-3417.00,55.59,3.60
08/07/22 at 10:15AM,0.00,0.00,0.00,0.00,0.00,-4412.60,-5907.00,-3009.00,443.86,1.67
08/07/22 at 10:25AM,0.00,0.00,0.00,0.00,0.00,-4461.70,-5117.00,-3625.00,203.43,1.35
08/07/22 at 10:35AM,0.00,0.00,0.00,0.00,0.00,-3820.30,-4361.00,-3261.00,108.06,5.52
08/07/22 at 10:45AM,0.00,0.00,0.00,0.00,0.00,-4263.60,-5332.00,-3814.00,337.86,2.64
08/07/22 at 10:55AM,0.00,0.00,0.00,0.00,0.00,-4278.80,-5219.00,-3576.00,297.32,2.54
08/07/22 at 11:05AM,0.00,0.00,0.00,0.00,0.00,-3985.70,-4609.00,-3589.00,63.97,4.44
08/07/22 at 11:15AM,0.00,0.00,0.00,0.00,0.00,-4152.90,-4720.00,-3624.00,56.89,3.36
08/07/22 at 11:25AM,0.00,0.00,0.00,0.00,0.00,-3837.50,-4823.00,-2516.00,89.33,5.41
08/07/22 at 11:35AM,0.00,0.00,0.00,0.00,0.00,-4036.50,-5476.00,-2891.00,362.24,4.11
08/07/22 at 11:45AM,0.60,0.00,6.00,0.19,2.94,-4342.90,-5279.00,-3827.00,138.16,2.12
08/07/22 at 11:55AM,0.00,0.00,0.00,0.00,0.00,-3771.40,-4191.00,-3287.00,14.74,5.84
08/07/22 at 12:05PM,0.00,0.00,0.00,0.00,0.00,-3381.10,-4273.00,-2278.00,137.21,8.37
08/07/22 at 12:15PM,0.00,0.00,0.00,0.00,0.00,-4041.80,-4805.00,-3057.00,23.02,4.08
08/07/22 at 12:25PM,0.00,0.00,0.00,0.00,0.00,-4190.70,-5225.00,-3425.00,89.27,3.11
08/07/22 at 12:35PM,0.00,0.00,0.00,0.00,0.00,-3942.30,-4673.00,-3093.00,9.08,4.73
08/07/22 at 12:45PM,0.00,0.00,0.00,0.00,0.00,-4045.70,-4700.00,-3350.00,206.91,4.05
08/07/22 at 12:56PM,0.00,0.00,0.00,0.00,0.00,-4117.30,-5291.00,-3142.00,203.43,3.59
08/07/22 at 01:06PM,0.00,0.00,0.00,0.00,0.00,-4200.70,-4641.00,-3607.00,153.59,3.05
08/07/22 at 01:16PM,0.00,0.00,0.00,0.00,0.00,-4078.60,-5124.00,-3274.00,32.76,3.84
08/07/22 at 01:26PM,0.00,0.00,0.00,0.00,0.00,-4547.20,-5208.00,-3952.00,63.31,0.80
08/07/22 at 01:36PM,0.00,0.00,0.00,0.00,0.00,-3794.60,-4881.00,-2983.00,327.74,5.68
08/07/22 at 01:46PM,0.00,0.00,0.00,0.00,0.00,-4003.70,-4787.00,-3070.00,186.35,4.33
08/07/22 at 01:56PM,0.00,0.00,0.00,0.00,0.00,-4701.70,-5312.00,-4242.00,6.10,-0.21
08/07/22 at 02:06PM,0.00,0.00,0.00,0.00,0.00,-4048.20,-4773.00,-3626.00,33.58,4.04
08/07/22 at 02:16PM,0.00,0.00,0.00,0.00,0.00,-4536.40,-5199.00,-3364.00,370.75,0.87
08/07/22 at 02:26PM,0.00,0.00,0.00,0.00,0.00,-4240.20,-4889.00,-3102.00,359.93,2.79
08/07/22 at 02:36PM,0.00,0.00,0.00,0.00,0.00,-4245.50,-4816.00,-3697.00,47.28,2.76
08/07/22 at 02:46PM,0.00,0.00,0.00,0.00,0.00,-4108.50,-4604.00,-3441.00,32.73,3.65
08/07/22 at 02:56PM,0.00,0.00,0.00,0.00,0.00,-4076.80,-4743.00,-3194.00,113.15,3.85
08/07/22 at 03:06PM,0.00,0.00,0.00,0.00,0.00,-4716.90,-5203.00,-3947.00,243.46,-0.30
08/07/22 at 03:16PM,0.00,0.00,0.00,0.00,0.00,-4281.00,-5280.00,-3025.00,11.38,2.53
08/07/22 at 03:26PM,0.00,0.00,0.00,0.00,0.00,-4530.80,-5281.00,-3767.00,103.15,0.90
08/07/22 at 03:36PM,0.00,0.00,0.00,0.00,0.00,-4046.50,-5288.00,-3053.00,91.23,4.05
08/07/22 at 03:46PM,0.00,0.00,0.00,0.00,0.00,-4340.50,-4843.00,-3113.00,132.97,2.14
08/07/22 at 03:56PM,0.00,0.00,0.00,0.00,0.00,-4071.60,-4856.00,-3358.00,225.66,3.89
08/07/22 at 04:06PM,0.00,0.00,0.00,0.00,0.00,-4229.70,-4873.00,-3688.00,171.30,2.86
08/07/22 at 04:16PM,0.00,0.00,0.00,0.00,0.00,-4109.40,-4857.00,-3471.00,201.88,3.64
08/07/22 at 04:26PM,0.00,0.00,0.00,0.00,0.00,-3852.50,-4785.00,-3029.00,294.88,5.31
08/07/22 at 04:36PM,0.10,0.00,1.00,0.03,0.49,-3946.80,-4251.00,-3458.00,154.57,4.70
08/07/22 at 04:46PM,0.00,0.00,0.00,0.00,0.00,-3692.60,-4466.00,-3147.00,59.64,6.35
08/07/22 at 04:56PM,0.00,0.00,0.00,0.00,0.00,-3352.50,-3877.00,-2646.00,94.08,8.56
08/07/22 at 05:06PM,0.00,0.00,0.00,0.00,0.00,-2919.70,-4069.00,-1431.00,108.69,11.37
08/07/22 at 05:16PM,0.40,0.00,2.00,0.13,1.96,-2654.90,-3517.00,-1680.00,99.96,13.09
08/07/22 at 05:26PM,0.00,0.00,0.00,0.00,0.00,-3586.60,-4320.00,-2906.00,13.41,7.04
08/07/22 at 05:36PM,0.00,0.00,0.00,0.00,0.00,-3338.70,-3752.00,-2276.00,66.19,8.64
08/07/22 at 05:46PM,0.10,0.00,1.00,0.03,0.49,-3102.80,-3666.00,-2501.00,21.12,10.18
08/07/22 at 05:56PM,6.20,6.00,7.00,0.06,30.38,-214.50,-686.00,406.00,159.85,28.93
08/07/22 at 06:06PM,7.30,6.00,8.00,0.09,35.77,547.00,270.00,685.00,30.04,33.88
08/07/22 at 06:16PM,7.40,7.00,8.00,0.13,36.26,642.40,215.00,1063.00,2.66,34.50
08/07/22 at 06:26PM,9.20,8.00,10.00,0.06,45.08,2482.10,2220.00,2831.00,28.81,46.44
08/07/22 at 06:36PM,7.00,6.00,8.00,0.00,34.30,381.40,107.00,650.00,8.66,32.80
08/07/22 at 06:46PM,10.20,10.00,11.00,0.06,49.98,2761.20,2224.00,3287.00,153.75,48.25
08/07/22 at 06:56PM,11.80,11.00,12.00,0.25,57.82,3855.10,3471.00,4407.00,140.06,55.36
08/07/22 at 07:06PM,12.60,12.00,14.00,0.13,61.74,4147.90,3305.00,4864.00,226.45,57.26
08/07/22 at 07:16PM,10.90,10.00,12.00,0.03,53.41,3544.10,2532.00,4061.00,31.59,53.34
08/07/22 at 07:26PM,15.50,15.00,16.00,0.16,75.95,7109.80,6584.00,7440.00,33.58,76.49
08/07/22 at 07:36PM,15.90,15.00,16.00,0.28,77.91,7164.40,6316.00,7800.00,160.52,76.85
08/07/22 at 07:46PM,15.10,15.00,16.00,0.03,73.99,6339.20,5218.00,7052.00,225.41,71.49
08/07/22 at 07:56PM,16.50,16.00,17.00,0.16,80.85,7266.10,6657.00,8347.00,341.81,77.51
08/07/22 at 08:06PM,17.50,17.00,18.00,0.16,85.75,8673.60,7296.00,9986.00,435.64,86.65
08/07/22 at 08:16PM,17.80,17.00,18.00,0.25,87.22,9220.00,8218.00,10205.00,311.48,90.19
08/07/22 at 08:26PM,9.00,9.00,9.00,0.00,44.10,2761.90,2487.00,3155.00,86.93,48.26
08/07/22 at 08:36PM,20.20,20.00,22.00,0.06,98.98,11745.10,10634.00,12525.00,167.89,106.59
