Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
29/08/22 at 12:07AM,14.20,13.00,15.00,0.25,69.58,7671.60,6528.00,8437.00,46.36,80.14
29/08/22 at 12:17AM,13.70,13.00,15.00,0.09,67.13,7323.30,6827.00,7984.00,83.26,77.88
29/08/22 at 12:27AM,10.80,10.00,11.00,0.06,52.92,4627.30,3916.00,5111.00,29.95,60.37
29/08/22 at 12:37AM,11.00,10.00,12.00,0.32,53.90,4550.80,3914.00,4930.00,201.37,59.88
29/08/22 at 12:48AM,12.10,11.00,13.00,0.03,59.29,5991.00,5414.00,6493.00,22.45,69.23
29/08/22 at 12:58AM,10.80,10.00,11.00,0.06,52.92,4546.50,3569.00,5572.00,324.29,59.85
29/08/22 at 01:08AM,9.00,8.00,10.00,0.00,44.10,3655.60,3072.00,4329.00,184.55,54.06
29/08/22 at 01:18AM,8.30,7.00,9.00,0.09,40.67,2742.00,2247.00,3261.00,55.97,48.13
29/08/22 at 01:28AM,8.40,8.00,9.00,0.13,41.16,2863.70,2221.00,3406.00,29.31,48.92
29/08/22 at 01:38AM,7.60,7.00,8.00,0.13,37.24,1999.60,1582.00,2388.00,101.00,43.31
29/08/22 at 01:48AM,5.90,5.00,7.00,0.03,28.91,821.10,251.00,1209.00,180.28,35.66
29/08/22 at 01:58AM,6.20,6.00,7.00,0.06,30.38,1114.30,610.00,1613.00,159.47,37.56
29/08/22 at 02:08AM,5.10,5.00,6.00,0.28,24.99,199.70,-66.00,344.00,34.88,31.62
29/08/22 at 02:18AM,4.20,4.00,5.00,0.06,20.58,-400.00,-713.00,7.00,4.74,27.73
29/08/22 at 02:28AM,3.10,3.00,4.00,0.03,15.19,-1028.50,-1502.00,-418.00,193.06,23.65
29/08/22 at 02:38AM,4.40,4.00,5.00,0.19,21.56,-504.70,-1031.00,14.00,88.95,27.05
29/08/22 at 02:48AM,2.60,2.00,5.00,0.19,12.74,-1675.80,-2166.00,-1197.00,44.84,19.44
29/08/22 at 02:58AM,2.30,1.00,3.00,0.09,11.27,-1644.30,-1975.00,-1152.00,11.29,19.65
29/08/22 at 03:08AM,2.40,2.00,3.00,0.19,11.76,-1569.30,-2247.00,-666.00,125.64,20.13
29/08/22 at 03:18AM,1.70,1.00,2.00,0.09,8.33,-2567.00,-3067.00,-2286.00,158.11,13.66
29/08/22 at 03:28AM,1.20,0.00,3.00,0.06,5.88,-3008.20,-3334.00,-2657.00,55.40,10.79
29/08/22 at 03:38AM,1.20,1.00,2.00,0.06,5.88,-2611.20,-3091.00,-1818.00,136.86,13.37
29/08/22 at 03:48AM,0.90,0.00,1.00,0.03,4.41,-2836.60,-3146.00,-2556.00,22.89,11.91
29/08/22 at 03:58AM,0.80,0.00,1.00,0.06,3.92,-3102.30,-3403.00,-2775.00,14.64,10.18
29/08/22 at 04:08AM,0.00,0.00,0.00,0.00,0.00,-3582.30,-4304.00,-3068.00,228.22,7.06
29/08/22 at 04:18AM,0.10,0.00,1.00,0.03,0.49,-3229.70,-3947.00,-2841.00,122.92,9.35
29/08/22 at 04:28AM,0.10,0.00,1.00,0.03,0.49,-3305.10,-4123.00,-2730.00,10.09,8.86
29/08/22 at 04:38AM,0.10,0.00,1.00,0.03,0.49,-3173.50,-3882.00,-2828.00,224.05,9.72
29/08/22 at 04:48AM,0.10,0.00,1.00,0.03,0.49,-3845.30,-4355.00,-3385.00,31.09,5.36
29/08/22 at 04:58AM,0.00,0.00,0.00,0.00,0.00,-4103.50,-4493.00,-3807.00,31.78,3.68
29/08/22 at 05:08AM,0.00,0.00,0.00,0.00,0.00,-4596.80,-5323.00,-3980.00,229.64,0.48
29/08/22 at 05:18AM,0.00,0.00,0.00,0.00,0.00,-3501.50,-4821.00,-2145.00,372.36,7.59
29/08/22 at 05:28AM,0.00,0.00,0.00,0.00,0.00,-3684.00,-5328.00,-2601.00,309.90,6.40
29/08/22 at 05:38AM,0.00,0.00,0.00,0.00,0.00,-3727.40,-4305.00,-2599.00,1.39,6.12
29/08/22 at 05:48AM,0.00,0.00,0.00,0.00,0.00,-3745.60,-4636.00,-2999.00,111.82,6.00
29/08/22 at 05:58AM,0.00,0.00,0.00,0.00,0.00,-4259.10,-4937.00,-3420.00,56.00,2.67
29/08/22 at 06:08AM,0.00,0.00,0.00,0.00,0.00,-3683.30,-4162.00,-3157.00,87.82,6.41
