Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
22/06/22 at 12:09AM,0.00,0.00,0.00,0.00,0.00,-4172.30,-4904.00,-3559.00,103.00,3.23
22/06/22 at 12:19AM,0.00,0.00,0.00,0.00,0.00,-4573.10,-4881.00,-4300.00,22.17,0.63
22/06/22 at 12:29AM,0.00,0.00,0.00,0.00,0.00,-4537.50,-5097.00,-3499.00,27.67,0.86
22/06/22 at 12:39AM,0.00,0.00,0.00,0.00,0.00,-4240.30,-4835.00,-3428.00,70.11,2.79
22/06/22 at 12:49AM,0.00,0.00,0.00,0.00,0.00,-4040.00,-4926.00,-3475.00,280.18,4.09
22/06/22 at 12:59AM,0.00,0.00,0.00,0.00,0.00,-4194.70,-4671.00,-3775.00,61.57,3.09
22/06/22 at 01:09AM,0.00,0.00,0.00,0.00,0.00,-4811.30,-5185.00,-3990.00,113.43,-0.92
22/06/22 at 01:19AM,0.00,0.00,0.00,0.00,0.00,-4474.20,-5125.00,-4018.00,205.80,1.27
22/06/22 at 01:29AM,0.00,0.00,0.00,0.00,0.00,-3802.20,-4567.00,-3287.00,76.15,5.64
22/06/22 at 01:39AM,0.00,0.00,0.00,0.00,0.00,-3989.90,-4808.00,-2863.00,163.52,4.42
22/06/22 at 01:49AM,0.00,0.00,0.00,0.00,0.00,-4729.90,-5239.00,-4214.00,160.99,-0.39
22/06/22 at 01:59AM,0.00,0.00,0.00,0.00,0.00,-3820.80,-4215.00,-3181.00,124.66,5.51
22/06/22 at 02:09AM,0.00,0.00,0.00,0.00,0.00,-4015.40,-4936.00,-3016.00,98.22,4.25
22/06/22 at 02:19AM,0.00,0.00,0.00,0.00,0.00,-4077.90,-4680.00,-3738.00,99.58,3.84
22/06/22 at 02:29AM,0.00,0.00,0.00,0.00,0.00,-3401.70,-4261.00,-2563.00,65.55,8.24
22/06/22 at 02:39AM,0.00,0.00,0.00,0.00,0.00,-3481.70,-4067.00,-2296.00,158.84,7.72
22/06/22 at 02:49AM,0.00,0.00,0.00,0.00,0.00,-3389.60,-3909.00,-2945.00,134.59,8.31
22/06/22 at 02:59AM,0.00,0.00,0.00,0.00,0.00,-3730.20,-4534.00,-2814.00,189.17,6.10
22/06/22 at 03:09AM,0.00,0.00,0.00,0.00,0.00,-3364.10,-3795.00,-2911.00,10.40,8.48
22/06/22 at 03:19AM,0.20,0.00,1.00,0.06,0.98,-2879.20,-3465.00,-2248.00,199.60,11.63
22/06/22 at 03:29AM,1.10,1.00,2.00,0.03,5.39,-2473.90,-3022.00,-1908.00,173.32,14.26
22/06/22 at 03:39AM,4.70,4.00,6.00,0.22,23.03,-634.50,-935.00,-327.00,77.00,26.20
22/06/22 at 03:49AM,5.10,5.00,6.00,0.03,24.99,-436.10,-1078.00,-29.00,128.74,27.49
22/06/22 at 04:00AM,10.50,10.00,11.00,0.16,51.45,2906.90,2674.00,3236.00,70.80,49.20
22/06/22 at 04:10AM,9.00,8.00,10.00,0.00,44.10,1635.60,701.00,2513.00,277.46,40.95
22/06/22 at 04:20AM,7.20,7.00,8.00,0.06,35.28,875.10,270.00,1428.00,85.67,36.01
22/06/22 at 04:30AM,5.50,5.00,6.00,0.16,26.95,-301.30,-586.00,110.00,98.44,28.37
22/06/22 at 04:40AM,5.30,5.00,6.00,0.09,25.97,-231.80,-456.00,64.00,52.56,28.82
22/06/22 at 04:50AM,6.50,6.00,7.00,0.16,31.85,76.30,-80.00,321.00,25.39,30.82
22/06/22 at 05:00AM,3.80,3.00,4.00,0.06,18.62,-1086.80,-1333.00,-644.00,37.06,23.27
22/06/22 at 05:10AM,6.20,5.00,7.00,0.25,30.38,-50.20,-376.00,104.00,10.06,30.00
22/06/22 at 05:20AM,2.70,2.00,3.00,0.09,13.23,-1784.10,-2554.00,-944.00,24.06,18.74
22/06/22 at 05:30AM,0.70,0.00,1.00,0.09,3.43,-2567.50,-3486.00,-1142.00,247.45,13.65
22/06/22 at 05:40AM,3.50,2.00,4.00,0.16,17.15,-1142.10,-1830.00,-184.00,104.70,22.91
22/06/22 at 05:50AM,6.10,6.00,7.00,0.03,29.89,-96.10,-342.00,116.00,44.24,29.70
22/06/22 at 06:00AM,11.60,11.00,12.00,0.19,56.84,3975.80,3528.00,4538.00,177.78,56.14
22/06/22 at 06:10AM,8.90,8.00,10.00,0.28,43.61,1867.30,1632.00,2425.00,28.56,42.45
22/06/22 at 06:20AM,7.00,6.00,8.00,0.00,34.30,519.90,147.00,858.00,19.95,33.70
22/06/22 at 06:30AM,21.10,21.00,22.00,0.03,103.39,11480.90,9593.00,13090.00,508.84,104.88
22/06/22 at 06:40AM,27.30,26.00,29.00,0.09,133.77,17589.40,16509.00,18575.00,341.65,144.54
22/06/22 at 06:50AM,7.80,7.00,9.00,0.06,38.22,892.10,534.00,1130.00,59.42,36.12
22/06/22 at 07:00AM,13.60,13.00,14.00,0.19,66.64,4782.10,3980.00,5510.00,98.69,61.38
22/06/22 at 07:10AM,7.80,7.00,9.00,0.06,38.22,776.00,408.00,1066.00,48.38,35.36
22/06/22 at 07:20AM,8.10,7.00,11.00,0.03,39.69,995.10,811.00,1319.00,26.91,36.79
22/06/22 at 07:30AM,3.60,3.00,4.00,0.13,17.64,-1075.60,-1599.00,-364.00,225.03,23.34
22/06/22 at 07:40AM,6.20,6.00,7.00,0.06,30.38,-12.40,-126.00,112.00,11.19,30.24
22/06/22 at 07:50AM,11.80,11.00,12.00,0.25,57.82,4101.00,3537.00,4679.00,1.26,56.95
