Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
19/06/22 at 12:09AM,0.00,0.00,0.00,0.00,0.00,-4386.80,-4954.00,-3782.00,191.25,1.84
19/06/22 at 12:19AM,0.00,0.00,0.00,0.00,0.00,-3727.30,-4667.00,-1946.00,133.35,6.12
19/06/22 at 12:29AM,0.00,0.00,0.00,0.00,0.00,-3893.30,-4477.00,-3377.00,105.08,5.04
19/06/22 at 12:39AM,0.00,0.00,0.00,0.00,0.00,-3959.30,-4677.00,-2722.00,185.53,4.61
19/06/22 at 12:49AM,0.00,0.00,0.00,0.00,0.00,-4440.70,-4825.00,-3761.00,119.00,1.49
19/06/22 at 12:59AM,0.00,0.00,0.00,0.00,0.00,-4229.00,-5321.00,-3023.00,85.70,2.86
19/06/22 at 01:09AM,0.00,0.00,0.00,0.00,0.00,-4059.70,-4968.00,-2952.00,195.33,3.96
19/06/22 at 01:19AM,0.00,0.00,0.00,0.00,0.00,-4320.00,-4805.00,-3367.00,153.37,2.27
19/06/22 at 01:29AM,0.00,0.00,0.00,0.00,0.00,-3870.00,-4380.00,-3283.00,59.13,5.19
19/06/22 at 01:39AM,0.00,0.00,0.00,0.00,0.00,-4345.10,-5071.00,-3527.00,114.82,2.11
19/06/22 at 01:49AM,0.00,0.00,0.00,0.00,0.00,-4000.70,-4574.00,-3385.00,181.29,4.35
19/06/22 at 01:59AM,0.00,0.00,0.00,0.00,0.00,-4296.00,-5142.00,-3759.00,127.12,2.43
19/06/22 at 02:09AM,0.00,0.00,0.00,0.00,0.00,-4025.70,-4706.00,-3588.00,16.35,4.18
19/06/22 at 02:20AM,0.00,0.00,0.00,0.00,0.00,-4242.90,-5186.00,-3254.00,312.72,2.77
19/06/22 at 02:30AM,0.00,0.00,0.00,0.00,0.00,-4581.20,-5115.00,-4028.00,94.81,0.58
19/06/22 at 02:40AM,0.00,0.00,0.00,0.00,0.00,-4374.30,-5426.00,-3200.00,63.97,1.92
19/06/22 at 02:50AM,0.00,0.00,0.00,0.00,0.00,-4133.20,-4843.00,-3066.00,66.03,3.49
19/06/22 at 03:00AM,0.00,0.00,0.00,0.00,0.00,-4097.60,-4569.00,-3377.00,149.07,3.72
19/06/22 at 03:10AM,0.00,0.00,0.00,0.00,0.00,-4365.70,-4999.00,-3437.00,78.20,1.98
19/06/22 at 03:20AM,0.00,0.00,0.00,0.00,0.00,-4710.10,-5104.00,-4197.00,162.26,-0.26
19/06/22 at 03:30AM,0.00,0.00,0.00,0.00,0.00,-4302.20,-5129.00,-3905.00,261.46,2.39
19/06/22 at 03:40AM,0.00,0.00,0.00,0.00,0.00,-4219.50,-5004.00,-3494.00,229.42,2.93
19/06/22 at 03:50AM,0.00,0.00,0.00,0.00,0.00,-4399.20,-5109.00,-3364.00,224.46,1.76
19/06/22 at 04:00AM,0.00,0.00,0.00,0.00,0.00,-4081.30,-4900.00,-3174.00,47.53,3.82
19/06/22 at 04:10AM,0.00,0.00,0.00,0.00,0.00,-3678.60,-4693.00,-2561.00,353.42,6.44
19/06/22 at 04:20AM,0.00,0.00,0.00,0.00,0.00,-4604.20,-5337.00,-3451.00,189.36,0.43
19/06/22 at 04:30AM,0.00,0.00,0.00,0.00,0.00,-4102.00,-5061.00,-3089.00,140.09,3.69
19/06/22 at 04:40AM,0.00,0.00,0.00,0.00,0.00,-4210.30,-4841.00,-3313.00,78.20,2.99
19/06/22 at 04:50AM,0.00,0.00,0.00,0.00,0.00,-4274.30,-5119.00,-3432.00,37.22,2.57
19/06/22 at 05:00AM,0.00,0.00,0.00,0.00,0.00,-4192.70,-4844.00,-3478.00,186.80,3.10
19/06/22 at 05:10AM,0.00,0.00,0.00,0.00,0.00,-4068.10,-4564.00,-3546.00,83.45,3.91
19/06/22 at 05:20AM,0.00,0.00,0.00,0.00,0.00,-4234.90,-4900.00,-3905.00,154.35,2.83
19/06/22 at 05:30AM,0.00,0.00,0.00,0.00,0.00,-4351.70,-4984.00,-3373.00,86.11,2.07
19/06/22 at 05:40AM,0.00,0.00,0.00,0.00,0.00,-4217.10,-4755.00,-3504.00,170.10,2.94
19/06/22 at 05:50AM,0.00,0.00,0.00,0.00,0.00,-4319.90,-5212.00,-2995.00,109.13,2.27
19/06/22 at 06:00AM,0.00,0.00,0.00,0.00,0.00,-4424.00,-4904.00,-4185.00,151.79,1.60
19/06/22 at 06:10AM,0.00,0.00,0.00,0.00,0.00,-4445.30,-5277.00,-3669.00,129.87,1.46
19/06/22 at 06:20AM,0.00,0.00,0.00,0.00,0.00,-4212.80,-4943.00,-2573.00,7.21,2.97
19/06/22 at 06:30AM,0.00,0.00,0.00,0.00,0.00,-4208.90,-4901.00,-3585.00,85.73,2.99
19/06/22 at 06:40AM,0.00,0.00,0.00,0.00,0.00,-4112.80,-4993.00,-2450.00,1.96,3.62
19/06/22 at 06:50AM,0.00,0.00,0.00,0.00,0.00,-4201.60,-4731.00,-3848.00,94.05,3.04
19/06/22 at 07:00AM,0.00,0.00,0.00,0.00,0.00,-4697.10,-5512.00,-3162.00,114.13,-0.18
19/06/22 at 07:10AM,0.00,0.00,0.00,0.00,0.00,-4534.70,-5169.00,-3498.00,138.41,0.88
19/06/22 at 07:20AM,0.00,0.00,0.00,0.00,0.00,-4023.40,-5150.00,-3301.00,27.07,4.20
19/06/22 at 07:30AM,0.00,0.00,0.00,0.00,0.00,-4253.70,-5315.00,-3512.00,335.61,2.70
19/06/22 at 07:40AM,0.00,0.00,0.00,0.00,0.00,-4599.80,-5077.00,-3895.00,150.90,0.46
19/06/22 at 07:50AM,0.00,0.00,0.00,0.00,0.00,-4037.30,-4703.00,-3398.00,26.78,4.11
19/06/22 at 08:00AM,0.00,0.00,0.00,0.00,0.00,-3384.40,-3977.00,-2870.00,33.65,8.35
19/06/22 at 08:10AM,0.00,0.00,0.00,0.00,0.00,-4390.20,-4745.00,-3895.00,13.85,1.82
19/06/22 at 08:20AM,0.00,0.00,0.00,0.00,0.00,-3751.80,-4419.00,-3210.00,42.63,5.96
19/06/22 at 08:30AM,0.00,0.00,0.00,0.00,0.00,-4176.70,-5144.00,-3092.00,69.03,3.20
19/06/22 at 08:40AM,0.00,0.00,0.00,0.00,0.00,-4298.50,-5518.00,-3513.00,199.38,2.41
