Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
27/06/22 at 12:07AM,20.70,20.00,21.00,0.09,101.43,10349.70,9903.00,10850.00,135.44,97.53
27/06/22 at 12:17AM,24.80,23.00,26.00,0.06,121.52,14214.80,12293.00,15768.00,607.73,122.63
27/06/22 at 12:27AM,26.30,24.00,29.00,0.73,128.87,16643.80,13772.00,19894.00,908.14,138.40
27/06/22 at 12:37AM,7.90,7.00,8.00,0.03,38.71,1743.20,1234.00,2398.00,118.65,41.64
27/06/22 at 12:47AM,2.30,2.00,3.00,0.22,11.27,-2032.30,-2334.00,-1686.00,45.76,17.13
27/06/22 at 12:57AM,7.00,6.00,8.00,0.00,34.30,1401.90,730.00,1822.00,212.47,39.43
27/06/22 at 01:07AM,7.40,7.00,8.00,0.13,36.26,1184.90,348.00,1857.00,16.10,38.02
27/06/22 at 01:17AM,6.20,6.00,7.00,0.06,30.38,397.50,-63.00,1216.00,113.05,32.91
27/06/22 at 01:27AM,10.10,9.00,11.00,0.35,49.49,2465.90,1687.00,3454.00,78.71,46.34
27/06/22 at 01:37AM,11.30,10.00,12.00,0.09,55.37,2982.90,2643.00,3299.00,66.12,49.69
27/06/22 at 01:47AM,9.00,8.00,10.00,0.00,44.10,1625.90,1182.00,2012.00,3.13,40.88
27/06/22 at 01:57AM,18.50,17.00,20.00,0.47,90.65,8001.60,7156.00,8649.00,147.49,82.28
27/06/22 at 02:07AM,13.90,13.00,14.00,0.03,68.11,5524.10,4650.00,6147.00,139.11,66.20
27/06/22 at 02:17AM,8.90,8.00,10.00,0.03,43.61,1822.10,1328.00,2147.00,72.07,42.16
27/06/22 at 02:27AM,20.90,20.00,22.00,0.28,102.41,10868.00,9969.00,11538.00,65.78,100.90
27/06/22 at 02:37AM,6.20,6.00,7.00,0.06,30.38,381.00,-90.00,902.00,29.73,32.80
27/06/22 at 02:47AM,3.30,3.00,4.00,0.09,16.17,-1261.90,-1611.00,-704.00,6.93,22.13
27/06/22 at 02:57AM,6.10,5.00,7.00,0.03,29.89,92.90,-94.00,712.00,195.78,30.93
27/06/22 at 03:07AM,3.90,3.00,4.00,0.03,19.11,-926.10,-1521.00,-442.00,153.09,24.31
27/06/22 at 03:17AM,6.20,6.00,7.00,0.25,30.38,127.30,-84.00,560.00,31.09,31.15
27/06/22 at 03:27AM,7.20,7.00,8.00,0.06,35.28,521.20,157.00,818.00,80.07,33.71
27/06/22 at 03:37AM,7.30,6.00,8.00,0.09,35.77,586.30,188.00,1121.00,59.86,34.13
27/06/22 at 03:47AM,6.90,6.00,7.00,0.03,33.81,444.70,98.00,689.00,0.09,33.21
