Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
25/05/22 at 12:00AM,0.00,0.00,0.00,0.00,0.00,-4415.50,-5135.00,-3842.00,176.93,1.65
25/05/22 at 12:10AM,0.00,0.00,0.00,0.00,0.00,-4505.20,-5468.00,-3940.00,49.39,1.07
25/05/22 at 12:20AM,0.00,0.00,0.00,0.00,0.00,-3935.50,-4340.00,-3335.00,189.89,4.77
25/05/22 at 12:30AM,0.00,0.00,0.00,0.00,0.00,-4168.00,-4734.00,-3725.00,9.17,3.26
25/05/22 at 12:40AM,0.00,0.00,0.00,0.00,0.00,-4197.20,-5692.00,-3262.00,24.29,3.07
25/05/22 at 12:50AM,0.00,0.00,0.00,0.00,0.00,-4284.60,-5239.00,-2810.00,90.88,2.50
25/05/22 at 01:00AM,0.00,0.00,0.00,0.00,0.00,-4179.20,-4473.00,-3755.00,29.98,3.19
25/05/22 at 01:10AM,0.00,0.00,0.00,0.00,0.00,-4377.70,-5147.00,-3559.00,15.91,1.90
25/05/22 at 01:20AM,0.00,0.00,0.00,0.00,0.00,-4184.90,-4878.00,-3386.00,148.97,3.15
25/05/22 at 01:30AM,0.00,0.00,0.00,0.00,0.00,-4093.40,-4698.00,-3342.00,174.37,3.74
25/05/22 at 01:40AM,0.00,0.00,0.00,0.00,0.00,-4521.10,-5522.00,-3565.00,302.35,0.97
25/05/22 at 01:50AM,0.00,0.00,0.00,0.00,0.00,-4535.30,-5082.00,-3916.00,195.84,0.87
25/05/22 at 02:00AM,0.00,0.00,0.00,0.00,0.00,-4413.60,-4847.00,-3985.00,135.54,1.66
25/05/22 at 02:10AM,0.00,0.00,0.00,0.00,0.00,-4302.20,-5032.00,-3567.00,87.03,2.39
25/05/22 at 02:20AM,0.00,0.00,0.00,0.00,0.00,-3990.50,-5373.00,-3395.00,437.18,4.41
25/05/22 at 02:30AM,0.00,0.00,0.00,0.00,0.00,-3613.20,-4335.00,-2745.00,117.26,6.86
25/05/22 at 02:40AM,0.00,0.00,0.00,0.00,0.00,-4201.90,-4753.00,-3634.00,64.54,3.04
25/05/22 at 02:50AM,0.00,0.00,0.00,0.00,0.00,-5168.20,-6030.00,-4661.00,29.66,-3.24
25/05/22 at 03:00AM,0.00,0.00,0.00,0.00,0.00,-4210.90,-5312.00,-3520.00,218.48,2.98
25/05/22 at 03:10AM,0.00,0.00,0.00,0.00,0.00,-4697.30,-5420.00,-3710.00,7.68,-0.18
25/05/22 at 03:20AM,0.00,0.00,0.00,0.00,0.00,-4319.90,-5383.00,-3832.00,112.29,2.27
25/05/22 at 03:30AM,0.00,0.00,0.00,0.00,0.00,-4561.30,-5503.00,-3900.00,97.81,0.71
25/05/22 at 03:40AM,0.00,0.00,0.00,0.00,0.00,-3963.50,-4667.00,-2139.00,576.96,4.59
25/05/22 at 03:50AM,0.00,0.00,0.00,0.00,0.00,-4357.40,-5021.00,-3318.00,114.03,2.03
25/05/22 at 04:00AM,0.00,0.00,0.00,0.00,0.00,-4446.20,-5158.00,-3532.00,48.32,1.45
25/05/22 at 04:10AM,0.00,0.00,0.00,0.00,0.00,-4554.50,-5307.00,-3630.00,138.67,0.75
25/05/22 at 04:20AM,0.00,0.00,0.00,0.00,0.00,-4506.50,-5229.00,-4133.00,73.21,1.06
25/05/22 at 04:30AM,0.00,0.00,0.00,0.00,0.00,-4034.10,-4593.00,-3136.00,52.46,4.13
