Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
26/08/22 at 12:01AM,0.00,0.00,0.00,0.00,0.00,-4465.80,-5194.00,-3745.00,227.94,1.33
26/08/22 at 12:11AM,0.00,0.00,0.00,0.00,0.00,-4032.70,-5218.00,-3349.00,31.53,4.14
26/08/22 at 12:21AM,0.00,0.00,0.00,0.00,0.00,-4184.80,-4536.00,-3821.00,115.04,3.15
26/08/22 at 12:31AM,0.00,0.00,0.00,0.00,0.00,-4507.00,-5417.00,-3680.00,64.51,1.06
26/08/22 at 12:41AM,0.00,0.00,0.00,0.00,0.00,-4472.00,-5103.00,-3735.00,18.34,1.29
26/08/22 at 12:51AM,0.00,0.00,0.00,0.00,0.00,-3928.70,-5483.00,-2376.00,164.22,4.81
26/08/22 at 01:01AM,0.00,0.00,0.00,0.00,0.00,-4501.70,-5315.00,-3163.00,56.51,1.09
26/08/22 at 01:11AM,0.00,0.00,0.00,0.00,0.00,-3912.70,-4639.00,-2582.00,229.68,4.92
26/08/22 at 01:21AM,0.00,0.00,0.00,0.00,0.00,-4108.20,-4482.00,-3673.00,113.15,3.65
26/08/22 at 01:31AM,0.00,0.00,0.00,0.00,0.00,-4032.50,-4993.00,-3468.00,18.82,4.14
26/08/22 at 01:41AM,0.00,0.00,0.00,0.00,0.00,-4548.80,-5090.00,-4015.00,153.31,0.79
26/08/22 at 01:51AM,0.00,0.00,0.00,0.00,0.00,-4310.10,-4991.00,-3142.00,159.98,2.34
26/08/22 at 02:01AM,0.00,0.00,0.00,0.00,0.00,-4123.50,-5258.00,-2317.00,32.10,3.55
26/08/22 at 02:11AM,0.00,0.00,0.00,0.00,0.00,-4441.30,-5044.00,-3874.00,179.40,1.49
26/08/22 at 02:21AM,0.00,0.00,0.00,0.00,0.00,-3951.40,-4661.00,-3404.00,224.40,4.67
26/08/22 at 02:31AM,0.00,0.00,0.00,0.00,0.00,-3802.70,-4644.00,-2737.00,31.72,5.63
26/08/22 at 02:41AM,0.00,0.00,0.00,0.00,0.00,-3821.90,-4261.00,-3557.00,115.14,5.51
26/08/22 at 02:52AM,0.00,0.00,0.00,0.00,0.00,-4259.60,-4547.00,-3873.00,122.25,2.66
26/08/22 at 03:02AM,0.00,0.00,0.00,0.00,0.00,-4146.40,-4434.00,-3835.00,84.24,3.40
26/08/22 at 03:12AM,0.00,0.00,0.00,0.00,0.00,-3924.20,-4556.00,-3415.00,93.03,4.84
26/08/22 at 03:22AM,0.00,0.00,0.00,0.00,0.00,-4321.10,-4791.00,-3507.00,66.06,2.27
26/08/22 at 03:32AM,0.00,0.00,0.00,0.00,0.00,-4564.50,-5351.00,-3732.00,136.14,0.69
26/08/22 at 03:42AM,0.00,0.00,0.00,0.00,0.00,-4317.50,-4892.00,-3673.00,53.60,2.29
26/08/22 at 03:52AM,0.00,0.00,0.00,0.00,0.00,-4550.30,-5362.00,-3328.00,386.53,0.78
26/08/22 at 04:02AM,0.00,0.00,0.00,0.00,0.00,-4604.30,-4914.00,-4349.00,65.87,0.43
26/08/22 at 04:12AM,0.00,0.00,0.00,0.00,0.00,-4023.60,-4532.00,-3573.00,78.23,4.20
26/08/22 at 04:22AM,0.00,0.00,0.00,0.00,0.00,-4577.30,-5427.00,-3906.00,130.19,0.60
26/08/22 at 04:32AM,0.00,0.00,0.00,0.00,0.00,-3796.10,-4543.00,-2818.00,75.23,5.67
26/08/22 at 04:42AM,0.00,0.00,0.00,0.00,0.00,-3861.20,-4375.00,-3534.00,8.92,5.25
26/08/22 at 04:52AM,0.00,0.00,0.00,0.00,0.00,-3927.00,-4547.00,-3131.00,23.40,4.82
26/08/22 at 05:02AM,0.00,0.00,0.00,0.00,0.00,-4248.80,-5060.00,-3712.00,12.27,2.74
26/08/22 at 05:12AM,0.00,0.00,0.00,0.00,0.00,-4465.30,-5434.00,-3863.00,306.33,1.33
