Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
10/07/22 at 12:00AM,21.30,20.00,22.00,0.09,104.37,14657.80,14301.00,15098.00,62.68,125.51
10/07/22 at 12:10AM,21.80,21.00,22.00,0.25,106.82,14346.20,13829.00,14964.00,87.34,123.48
10/07/22 at 12:20AM,21.20,21.00,22.00,0.06,103.88,14536.00,13080.00,15563.00,248.87,124.71
10/07/22 at 12:30AM,21.00,21.00,21.00,0.00,102.90,13524.10,12751.00,14529.00,213.17,118.14
10/07/22 at 12:40AM,20.40,20.00,21.00,0.19,99.96,13668.80,12502.00,14818.00,368.97,119.08
10/07/22 at 12:50AM,20.20,19.00,21.00,0.25,98.98,13135.00,12411.00,14176.00,174.24,115.62
10/07/22 at 01:01AM,19.70,19.00,20.00,0.09,96.53,12462.20,12071.00,13154.00,25.05,111.25
10/07/22 at 01:11AM,19.20,19.00,20.00,0.06,94.08,12133.00,11483.00,12938.00,254.56,109.11
10/07/22 at 01:21AM,18.70,18.00,19.00,0.09,91.63,11379.90,10995.00,11979.00,1.61,104.22
10/07/22 at 01:31AM,17.90,17.00,19.00,0.35,87.71,10619.70,9858.00,11162.00,171.49,99.28
10/07/22 at 01:41AM,17.50,17.00,18.00,0.16,85.75,10214.60,9692.00,10627.00,165.26,96.65
10/07/22 at 01:51AM,17.10,17.00,18.00,0.03,83.79,9676.40,9102.00,10039.00,12.14,93.16
10/07/22 at 02:01AM,16.30,16.00,17.00,0.09,79.87,9101.80,8701.00,9564.00,129.40,89.43
10/07/22 at 02:11AM,16.10,15.00,19.00,0.03,78.89,8879.50,8474.00,9656.00,79.85,87.98
10/07/22 at 02:21AM,15.20,15.00,16.00,0.06,74.48,8120.10,7851.00,8413.00,78.46,83.05
10/07/22 at 02:31AM,14.80,14.00,15.00,0.25,72.52,7591.50,6867.00,8626.00,103.56,79.62
10/07/22 at 02:41AM,14.00,13.00,15.00,0.00,68.60,7216.60,6846.00,7561.00,11.26,77.19
10/07/22 at 02:51AM,13.40,13.00,14.00,0.13,65.66,6612.40,5909.00,7202.00,186.45,73.26
10/07/22 at 03:01AM,12.80,12.00,14.00,0.06,62.72,5684.70,5438.00,6354.00,7.49,67.24
10/07/22 at 03:11AM,11.80,11.00,12.00,0.06,57.82,5710.40,5221.00,6203.00,18.85,67.41
10/07/22 at 03:21AM,11.50,11.00,12.00,0.16,56.35,4744.50,4248.00,5294.00,173.77,61.13
10/07/22 at 03:31AM,10.30,10.00,11.00,0.09,50.47,4368.00,3744.00,4655.00,197.33,58.69
10/07/22 at 03:41AM,9.90,9.00,11.00,0.03,48.51,3879.20,3403.00,4179.00,150.59,55.51
10/07/22 at 03:51AM,9.00,8.00,10.00,0.00,44.10,3204.30,2852.00,3459.00,111.41,51.13
10/07/22 at 04:01AM,8.10,8.00,9.00,0.03,39.69,2446.80,1894.00,2832.00,85.13,46.21
10/07/22 at 04:11AM,7.30,7.00,8.00,0.22,35.77,2208.30,1753.00,2383.00,26.15,44.66
10/07/22 at 04:21AM,7.00,7.00,7.00,0.00,34.30,1403.50,918.00,1832.00,153.53,39.44
10/07/22 at 04:31AM,6.20,6.00,7.00,0.06,30.38,709.40,55.00,1266.00,64.32,34.93
10/07/22 at 04:41AM,5.50,5.00,6.00,0.16,26.95,351.50,-196.00,760.00,173.13,32.61
10/07/22 at 04:51AM,5.00,4.00,6.00,0.32,24.50,-29.20,-481.00,329.00,91.33,30.14
10/07/22 at 05:01AM,4.20,4.00,5.00,0.06,20.58,-313.10,-804.00,7.00,155.24,28.29
10/07/22 at 05:11AM,3.50,3.00,4.00,0.16,17.15,-759.90,-1327.00,-291.00,44.24,25.39
10/07/22 at 05:21AM,2.90,2.00,4.00,0.03,14.21,-1395.50,-1624.00,-1138.00,14.70,21.26
10/07/22 at 05:31AM,2.50,1.00,4.00,0.16,12.25,-1664.60,-2322.00,-1372.00,90.31,19.52
10/07/22 at 05:41AM,2.00,1.00,3.00,0.00,9.80,-2111.70,-2375.00,-1766.00,50.82,16.61
10/07/22 at 05:51AM,1.40,1.00,2.00,0.13,6.86,-2269.50,-2750.00,-1652.00,39.69,15.59
10/07/22 at 06:01AM,1.20,1.00,2.00,0.25,5.88,-2643.40,-2918.00,-2202.00,67.86,13.16
10/07/22 at 06:11AM,0.60,0.00,1.00,0.13,2.94,-2812.70,-3205.00,-2340.00,5.79,12.06
10/07/22 at 06:21AM,0.30,0.00,1.00,0.09,1.47,-2802.00,-3360.00,-1833.00,192.58,12.13
10/07/22 at 06:31AM,0.30,0.00,1.00,0.22,1.47,-3171.60,-3382.00,-2927.00,44.40,9.73
10/07/22 at 06:41AM,0.00,0.00,0.00,0.00,0.00,-3297.50,-3815.00,-2945.00,46.96,8.91
10/07/22 at 06:51AM,0.00,0.00,0.00,0.00,0.00,-3903.50,-4200.00,-3633.00,15.65,4.98
10/07/22 at 07:01AM,0.00,0.00,0.00,0.00,0.00,-3006.10,-4117.00,-2397.00,10.40,10.80
10/07/22 at 07:11AM,0.00,0.00,0.00,0.00,0.00,-3428.00,-3750.00,-2976.00,18.97,8.06
10/07/22 at 07:21AM,0.00,0.00,0.00,0.00,0.00,-3210.10,-3839.00,-2724.00,198.88,9.48
10/07/22 at 07:31AM,0.00,0.00,0.00,0.00,0.00,-3880.10,-4485.00,-3039.00,191.29,5.13
10/07/22 at 07:42AM,0.00,0.00,0.00,0.00,0.00,-4368.30,-4878.00,-3354.00,3.57,1.96
10/07/22 at 07:52AM,0.00,0.00,0.00,0.00,0.00,-4241.70,-4605.00,-3791.00,127.03,2.78
10/07/22 at 08:02AM,0.00,0.00,0.00,0.00,0.00,-4138.70,-4672.00,-3422.00,41.65,3.45
10/07/22 at 08:12AM,0.00,0.00,0.00,0.00,0.00,-4092.20,-4788.00,-3391.00,212.76,3.75
10/07/22 at 08:22AM,0.00,0.00,0.00,0.00,0.00,-4192.60,-5290.00,-3421.00,126.05,3.10
10/07/22 at 08:32AM,0.00,0.00,0.00,0.00,0.00,-3695.50,-4698.00,-2710.00,116.21,6.33
10/07/22 at 08:42AM,0.00,0.00,0.00,0.00,0.00,-4204.80,-5354.00,-3459.00,74.57,3.02
10/07/22 at 08:52AM,0.00,0.00,0.00,0.00,0.00,-4009.30,-4883.00,-2994.00,207.98,4.29
10/07/22 at 09:02AM,0.00,0.00,0.00,0.00,0.00,-4316.60,-5118.00,-3238.00,142.43,2.29
10/07/22 at 09:12AM,0.00,0.00,0.00,0.00,0.00,-4835.20,-5402.00,-4127.00,135.73,-1.07
10/07/22 at 09:22AM,0.00,0.00,0.00,0.00,0.00,-4482.60,-5064.00,-3574.00,50.47,1.22
10/07/22 at 09:32AM,0.00,0.00,0.00,0.00,0.00,-4340.70,-5060.00,-3742.00,227.46,2.14
10/07/22 at 09:42AM,0.00,0.00,0.00,0.00,0.00,-4139.60,-4514.00,-3759.00,55.53,3.44
