Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
14/06/22 at 12:02AM,0.00,0.00,0.00,0.00,0.00,-3962.10,-4478.00,-3282.00,88.26,4.60
14/06/22 at 12:12AM,0.00,0.00,0.00,0.00,0.00,-3920.00,-4309.00,-3116.00,0.00,4.87
14/06/22 at 12:22AM,0.00,0.00,0.00,0.00,0.00,-4310.10,-5112.00,-3684.00,253.58,2.34
14/06/22 at 12:32AM,0.00,0.00,0.00,0.00,0.00,-4451.50,-5113.00,-3728.00,11.86,1.42
14/06/22 at 12:42AM,0.00,0.00,0.00,0.00,0.00,-3890.30,-4454.00,-3436.00,178.26,5.06
14/06/22 at 12:52AM,0.00,0.00,0.00,0.00,0.00,-3926.70,-4771.00,-2684.00,266.99,4.83
14/06/22 at 01:02AM,0.00,0.00,0.00,0.00,0.00,-4365.30,-5214.00,-3595.00,268.38,1.98
14/06/22 at 01:12AM,0.00,0.00,0.00,0.00,0.00,-4706.10,-5277.00,-3914.00,149.23,-0.23
14/06/22 at 01:22AM,0.00,0.00,0.00,0.00,0.00,-4602.90,-5491.00,-3868.00,45.88,0.44
14/06/22 at 01:32AM,0.00,0.00,0.00,0.00,0.00,-4293.20,-4867.00,-3497.00,113.59,2.45
14/06/22 at 01:42AM,0.00,0.00,0.00,0.00,0.00,-4718.30,-5660.00,-3764.00,191.41,-0.31
14/06/22 at 01:52AM,0.00,0.00,0.00,0.00,0.00,-4253.70,-4822.00,-3526.00,14.33,2.70
14/06/22 at 02:02AM,0.00,0.00,0.00,0.00,0.00,-4197.30,-5108.00,-2733.00,6.23,3.07
14/06/22 at 02:12AM,0.10,0.00,1.00,0.03,0.49,-4416.70,-4846.00,-3884.00,126.08,1.64
14/06/22 at 02:22AM,0.00,0.00,0.00,0.00,0.00,-4251.00,-5149.00,-3520.00,41.43,2.72
14/06/22 at 02:32AM,0.00,0.00,0.00,0.00,0.00,-4079.00,-5111.00,-3112.00,117.64,3.84
14/06/22 at 02:42AM,0.00,0.00,0.00,0.00,0.00,-4435.50,-5372.00,-3140.00,409.67,1.52
14/06/22 at 02:52AM,0.00,0.00,0.00,0.00,0.00,-4365.80,-4946.00,-3552.00,162.92,1.98
14/06/22 at 03:02AM,0.00,0.00,0.00,0.00,0.00,-4524.30,-5231.00,-3588.00,110.46,0.95
14/06/22 at 03:12AM,0.00,0.00,0.00,0.00,0.00,-3883.20,-4620.00,-3062.00,28.52,5.11
14/06/22 at 03:22AM,0.00,0.00,0.00,0.00,0.00,-4096.50,-4753.00,-3316.00,117.79,3.72
14/06/22 at 03:32AM,0.00,0.00,0.00,0.00,0.00,-3860.60,-4411.00,-3385.00,91.26,5.26
14/06/22 at 03:42AM,0.00,0.00,0.00,0.00,0.00,-4173.60,-4844.00,-3026.00,187.97,3.22
14/06/22 at 03:52AM,0.00,0.00,0.00,0.00,0.00,-4015.30,-4352.00,-3317.00,10.02,4.25
14/06/22 at 04:02AM,0.00,0.00,0.00,0.00,0.00,-4367.20,-4931.00,-3970.00,125.61,1.97
14/06/22 at 04:12AM,0.00,0.00,0.00,0.00,0.00,-3868.50,-4422.00,-2943.00,190.53,5.20
14/06/22 at 04:22AM,0.00,0.00,0.00,0.00,0.00,-4615.40,-5252.00,-3845.00,201.31,0.35
14/06/22 at 04:32AM,0.00,0.00,0.00,0.00,0.00,-4294.40,-4913.00,-3681.00,86.77,2.44
14/06/22 at 04:42AM,0.00,0.00,0.00,0.00,0.00,-3864.50,-5035.00,-2937.00,280.65,5.23
14/06/22 at 04:53AM,0.10,0.00,1.00,0.28,0.49,-4229.00,-4917.00,-3166.00,336.15,2.86
14/06/22 at 05:03AM,0.00,0.00,0.00,0.00,0.00,-4357.40,-4902.00,-3917.00,139.27,2.03
14/06/22 at 05:13AM,0.00,0.00,0.00,0.00,0.00,-4099.30,-4792.00,-3509.00,219.05,3.71
