Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
06/07/22 at 12:07AM,21.30,21.00,22.00,0.09,104.37,13506.20,12175.00,14105.00,30.93,118.03
06/07/22 at 12:17AM,21.10,21.00,22.00,0.03,103.39,13887.30,13180.00,14602.00,53.66,120.50
06/07/22 at 12:27AM,20.90,20.00,22.00,0.35,102.41,13597.00,13149.00,14184.00,53.76,118.62
06/07/22 at 12:37AM,20.10,20.00,21.00,0.03,98.49,13376.60,12693.00,13942.00,101.95,117.19
06/07/22 at 12:47AM,20.10,20.00,21.00,0.03,98.49,12713.00,11128.00,14062.00,255.20,112.88
06/07/22 at 12:57AM,19.40,19.00,20.00,0.13,95.06,12314.20,11488.00,13308.00,78.04,110.29
06/07/22 at 01:07AM,19.00,19.00,19.00,0.00,93.10,12202.80,11581.00,13037.00,149.64,109.56
06/07/22 at 01:17AM,18.70,18.00,19.00,0.09,91.63,11843.40,11180.00,12308.00,38.71,107.23
06/07/22 at 01:27AM,18.20,18.00,19.00,0.06,89.18,10865.40,10129.00,11590.00,61.22,100.88
06/07/22 at 01:37AM,17.50,17.00,18.00,0.16,85.75,10278.40,9501.00,10990.00,102.01,97.07
06/07/22 at 01:47AM,17.10,17.00,18.00,0.03,83.79,9920.10,9405.00,10411.00,120.51,94.74
06/07/22 at 01:57AM,16.50,16.00,17.00,0.16,80.85,9656.50,8907.00,10479.00,168.39,93.03
06/07/22 at 02:07AM,15.90,15.00,16.00,0.03,77.91,9482.90,8699.00,9957.00,45.57,91.90
06/07/22 at 02:17AM,15.20,15.00,16.00,0.25,74.48,8190.30,7702.00,8938.00,65.68,83.51
06/07/22 at 02:27AM,14.90,14.00,15.00,0.03,73.01,8275.80,7646.00,8890.00,199.16,84.06
06/07/22 at 02:37AM,14.20,14.00,15.00,0.06,69.58,7690.10,6633.00,9068.00,334.28,80.26
06/07/22 at 02:47AM,13.30,13.00,14.00,0.09,65.17,6959.30,5977.00,7879.00,158.21,75.51
06/07/22 at 02:57AM,12.70,12.00,13.00,0.22,62.23,6411.20,5518.00,7181.00,30.93,71.96
06/07/22 at 03:07AM,12.00,11.00,13.00,0.00,58.80,5653.70,5083.00,6194.00,38.48,67.04
06/07/22 at 03:18AM,11.50,11.00,13.00,0.16,56.35,5426.50,4978.00,6342.00,77.32,65.56
06/07/22 at 03:28AM,10.80,10.00,11.00,0.06,52.92,5120.20,4482.00,5688.00,101.57,63.57
06/07/22 at 03:38AM,9.90,9.00,11.00,0.03,48.51,4417.10,3808.00,5159.00,31.91,59.01
06/07/22 at 03:48AM,9.10,8.00,10.00,0.03,44.59,3939.90,3341.00,4409.00,5.03,55.91
06/07/22 at 03:58AM,8.30,8.00,9.00,0.09,40.67,3062.30,2747.00,3420.00,71.88,50.21
06/07/22 at 04:08AM,7.00,7.00,7.00,0.00,34.30,1989.90,1456.00,2567.00,182.50,43.25
06/07/22 at 04:18AM,7.10,7.00,8.00,0.03,34.79,2282.40,1785.00,2752.00,16.25,45.15
06/07/22 at 04:28AM,6.70,6.00,7.00,0.09,32.83,1740.90,1026.00,2423.00,126.52,41.63
06/07/22 at 04:38AM,5.70,5.00,6.00,0.22,27.93,1119.60,548.00,1720.00,19.42,37.59
06/07/22 at 04:48AM,5.00,4.00,6.00,0.00,24.50,280.60,7.00,819.00,86.52,32.15
06/07/22 at 04:58AM,4.30,4.00,5.00,0.22,21.07,-266.80,-1095.00,72.00,33.58,28.59
06/07/22 at 05:08AM,3.90,3.00,5.00,0.03,19.11,-457.70,-870.00,41.00,18.56,27.35
06/07/22 at 05:18AM,2.90,2.00,4.00,0.28,14.21,-1176.30,-1650.00,-389.00,47.02,22.69
06/07/22 at 05:28AM,2.80,2.00,4.00,0.06,13.72,-1394.40,-1993.00,-814.00,52.05,21.27
06/07/22 at 05:38AM,1.90,1.00,4.00,0.03,9.31,-2260.30,-2988.00,-1604.00,207.54,15.65
06/07/22 at 05:48AM,1.70,1.00,2.00,0.09,8.33,-2265.50,-2660.00,-1947.00,100.72,15.61
06/07/22 at 05:58AM,1.20,1.00,2.00,0.25,5.88,-2462.90,-2831.00,-1906.00,22.48,14.33
06/07/22 at 06:08AM,0.10,0.00,1.00,0.03,0.49,-3489.80,-3920.00,-3085.00,22.39,7.66
06/07/22 at 06:18AM,0.60,0.00,1.00,0.13,2.94,-3318.70,-3954.00,-2950.00,36.78,8.77
06/07/22 at 06:28AM,0.90,0.00,1.00,0.03,4.41,-2647.80,-3175.00,-1898.00,74.06,13.13
06/07/22 at 06:38AM,0.70,0.00,1.00,0.09,3.43,-3025.90,-3366.00,-2742.00,83.20,10.68
06/07/22 at 06:48AM,0.10,0.00,1.00,0.03,0.49,-3641.70,-4483.00,-3213.00,101.10,6.68
06/07/22 at 06:58AM,0.00,0.00,0.00,0.00,0.00,-4004.30,-4376.00,-3590.00,81.05,4.32
06/07/22 at 07:08AM,0.00,0.00,0.00,0.00,0.00,-4138.40,-4992.00,-3233.00,196.88,3.45
06/07/22 at 07:18AM,0.00,0.00,0.00,0.00,0.00,-3645.70,-4656.00,-2797.00,166.56,6.65
06/07/22 at 07:28AM,0.00,0.00,0.00,0.00,0.00,-3795.30,-4623.00,-3010.00,212.92,5.68
06/07/22 at 07:38AM,0.00,0.00,0.00,0.00,0.00,-3907.40,-4526.00,-2845.00,12.78,4.95
06/07/22 at 07:48AM,0.00,0.00,0.00,0.00,0.00,-3757.30,-4566.00,-2850.00,235.18,5.93
06/07/22 at 07:58AM,0.00,0.00,0.00,0.00,0.00,-3497.90,-4453.00,-2468.00,156.56,7.61
06/07/22 at 08:08AM,0.00,0.00,0.00,0.00,0.00,-3739.10,-5705.00,-2536.00,349.08,6.04
06/07/22 at 08:18AM,0.00,0.00,0.00,0.00,0.00,-3958.00,-4854.00,-3310.00,44.59,4.62
06/07/22 at 08:28AM,0.00,0.00,0.00,0.00,0.00,-4028.20,-4447.00,-3428.00,25.36,4.17
06/07/22 at 08:38AM,0.00,0.00,0.00,0.00,0.00,-4305.00,-4677.00,-3575.00,117.64,2.37
06/07/22 at 08:48AM,0.00,0.00,0.00,0.00,0.00,-4113.00,-4751.00,-3672.00,201.75,3.62
06/07/22 at 08:58AM,0.00,0.00,0.00,0.00,0.00,-4490.70,-5341.00,-3681.00,268.89,1.16
06/07/22 at 09:08AM,0.00,0.00,0.00,0.00,0.00,-3879.10,-4741.00,-3472.00,26.91,5.14
06/07/22 at 09:18AM,0.00,0.00,0.00,0.00,0.00,-4294.40,-4817.00,-3901.00,45.41,2.44
06/07/22 at 09:28AM,0.00,0.00,0.00,0.00,0.00,-4255.70,-5159.00,-3415.00,239.48,2.69
06/07/22 at 09:38AM,0.00,0.00,0.00,0.00,0.00,-4004.50,-4514.00,-3333.00,46.96,4.32
06/07/22 at 09:48AM,0.00,0.00,0.00,0.00,0.00,-4317.50,-5196.00,-3395.00,40.32,2.29
06/07/22 at 09:58AM,0.00,0.00,0.00,0.00,0.00,-4545.50,-5221.00,-3655.00,64.98,0.81
06/07/22 at 10:08AM,0.00,0.00,0.00,0.00,0.00,-4594.60,-5128.00,-4033.00,32.44,0.49
06/07/22 at 10:18AM,0.00,0.00,0.00,0.00,0.00,-4298.50,-4619.00,-3888.00,101.35,2.41
06/07/22 at 10:28AM,0.00,0.00,0.00,0.00,0.00,-4126.20,-4886.00,-3546.00,140.66,3.53
