Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
12/08/22 at 12:03AM,0.00,0.00,0.00,0.00,0.00,-4313.50,-5150.00,-2569.00,264.52,2.31
12/08/22 at 12:13AM,0.00,0.00,0.00,0.00,0.00,-4219.70,-4903.00,-3578.00,19.51,2.92
12/08/22 at 12:23AM,0.00,0.00,0.00,0.00,0.00,-4303.00,-4890.00,-4014.00,68.62,2.38
12/08/22 at 12:33AM,0.00,0.00,0.00,0.00,0.00,-4258.60,-4759.00,-3800.00,158.24,2.67
12/08/22 at 12:43AM,0.00,0.00,0.00,0.00,0.00,-4113.10,-4963.00,-3205.00,268.76,3.62
12/08/22 at 12:53AM,0.00,0.00,0.00,0.00,0.00,-4166.90,-4879.00,-3669.00,4.71,3.27
12/08/22 at 01:03AM,0.00,0.00,0.00,0.00,0.00,-4537.40,-5479.00,-3871.00,210.73,0.86
12/08/22 at 01:13AM,0.00,0.00,0.00,0.00,0.00,-4164.60,-4950.00,-3533.00,13.79,3.28
12/08/22 at 01:23AM,0.00,0.00,0.00,0.00,0.00,-4038.40,-4758.00,-2483.00,227.56,4.10
12/08/22 at 01:33AM,0.00,0.00,0.00,0.00,0.00,-3637.00,-4099.00,-2828.00,184.68,6.71
12/08/22 at 01:43AM,0.00,0.00,0.00,0.00,0.00,-4262.60,-5007.00,-3686.00,235.40,2.65
12/08/22 at 01:53AM,0.00,0.00,0.00,0.00,0.00,-3864.80,-4748.00,-2970.00,216.87,5.23
12/08/22 at 02:03AM,0.00,0.00,0.00,0.00,0.00,-3808.80,-4399.00,-2852.00,302.57,5.59
12/08/22 at 02:13AM,0.00,0.00,0.00,0.00,0.00,-4068.80,-4303.00,-3848.00,19.86,3.90
12/08/22 at 02:23AM,0.00,0.00,0.00,0.00,0.00,-3857.40,-4620.00,-3130.00,154.19,5.28
12/08/22 at 02:33AM,0.00,0.00,0.00,0.00,0.00,-3805.40,-4309.00,-3038.00,73.55,5.61
12/08/22 at 02:43AM,0.00,0.00,0.00,0.00,0.00,-4499.90,-5262.00,-3897.00,105.65,1.10
12/08/22 at 02:53AM,0.00,0.00,0.00,0.00,0.00,-3823.90,-4728.00,-2563.00,109.70,5.49
12/08/22 at 03:03AM,0.00,0.00,0.00,0.00,0.00,-3899.60,-4800.00,-3214.00,28.27,5.00
12/08/22 at 03:13AM,0.00,0.00,0.00,0.00,0.00,-3729.80,-4897.00,-2867.00,22.20,6.11
12/08/22 at 03:23AM,0.00,0.00,0.00,0.00,0.00,-3714.40,-4720.00,-3102.00,161.15,6.21
12/08/22 at 03:33AM,0.00,0.00,0.00,0.00,0.00,-3811.70,-4680.00,-3363.00,274.58,5.57
12/08/22 at 03:43AM,0.00,0.00,0.00,0.00,0.00,-4210.80,-4971.00,-3177.00,187.27,2.98
12/08/22 at 03:53AM,0.00,0.00,0.00,0.00,0.00,-4175.40,-5679.00,-3112.00,123.77,3.21
12/08/22 at 04:03AM,0.00,0.00,0.00,0.00,0.00,-4087.90,-4514.00,-3488.00,134.74,3.78
12/08/22 at 04:13AM,0.00,0.00,0.00,0.00,0.00,-4192.10,-5270.00,-3244.00,38.23,3.10
12/08/22 at 04:23AM,0.00,0.00,0.00,0.00,0.00,-3866.40,-5034.00,-3023.00,65.97,5.22
12/08/22 at 04:33AM,0.00,0.00,0.00,0.00,0.00,-4020.50,-4668.00,-3052.00,72.57,4.22
12/08/22 at 04:43AM,0.00,0.00,0.00,0.00,0.00,-4103.00,-4891.00,-3063.00,197.01,3.68
12/08/22 at 04:53AM,0.00,0.00,0.00,0.00,0.00,-4351.80,-5018.00,-3686.00,144.90,2.07
12/08/22 at 05:03AM,0.00,0.00,0.00,0.00,0.00,-4076.60,-5207.00,-3126.00,163.93,3.85
12/08/22 at 05:13AM,0.00,0.00,0.00,0.00,0.00,-4174.10,-4875.00,-3490.00,221.64,3.22
12/08/22 at 05:24AM,0.00,0.00,0.00,0.00,0.00,-4161.70,-4425.00,-3909.00,22.67,3.30
12/08/22 at 05:34AM,0.00,0.00,0.00,0.00,0.00,-4080.70,-4798.00,-3010.00,226.83,3.83
12/08/22 at 05:44AM,0.00,0.00,0.00,0.00,0.00,-4056.50,-4822.00,-3213.00,121.59,3.98
12/08/22 at 05:54AM,0.00,0.00,0.00,0.00,0.00,-4102.30,-4994.00,-3005.00,169.40,3.69
12/08/22 at 06:04AM,0.00,0.00,0.00,0.00,0.00,-4288.70,-4719.00,-3961.00,136.07,2.48
12/08/22 at 06:14AM,0.00,0.00,0.00,0.00,0.00,-4898.40,-5541.00,-4152.00,3.98,-1.48
12/08/22 at 06:24AM,0.00,0.00,0.00,0.00,0.00,-4282.30,-5225.00,-3382.00,161.18,2.52
12/08/22 at 06:34AM,0.00,0.00,0.00,0.00,0.00,-4185.90,-5104.00,-3218.00,110.71,3.14
12/08/22 at 06:44AM,0.00,0.00,0.00,0.00,0.00,-3331.50,-4483.00,-2325.00,3.95,8.69
12/08/22 at 06:54AM,0.00,0.00,0.00,0.00,0.00,-4268.30,-5083.00,-3590.00,24.13,2.61
12/08/22 at 07:04AM,0.00,0.00,0.00,0.00,0.00,-2851.50,-3469.00,-2310.00,124.44,11.81
12/08/22 at 07:14AM,1.00,0.00,2.00,0.00,4.90,-2494.80,-3129.00,-1034.00,36.62,14.12
12/08/22 at 07:24AM,2.00,1.00,3.00,0.00,9.80,-2094.70,-2521.00,-1632.00,9.58,16.72
12/08/22 at 07:34AM,3.60,3.00,4.00,0.19,17.64,-996.00,-1596.00,-366.00,69.57,23.86
12/08/22 at 07:44AM,4.40,4.00,5.00,0.13,21.56,-514.00,-1101.00,-165.00,70.84,26.99
12/08/22 at 07:54AM,6.00,6.00,6.00,0.00,29.40,1.90,-134.00,85.00,10.47,30.34
12/08/22 at 08:04AM,7.40,7.00,8.00,0.19,36.26,687.00,497.00,836.00,37.95,34.79
12/08/22 at 08:14AM,8.80,8.00,9.00,0.06,43.12,1550.50,1174.00,1813.00,4.27,40.39
12/08/22 at 08:24AM,9.90,9.00,11.00,0.03,48.51,2238.50,1752.00,2794.00,49.81,44.86
12/08/22 at 08:34AM,11.00,10.00,12.00,0.00,53.90,3043.00,2475.00,4136.00,104.04,50.08
12/08/22 at 08:44AM,11.80,11.00,12.00,0.06,57.82,3949.90,2899.00,5054.00,7.87,55.97
12/08/22 at 08:54AM,13.10,13.00,14.00,0.03,64.19,4296.80,3902.00,5267.00,3.73,58.23
12/08/22 at 09:04AM,13.80,13.00,15.00,0.25,67.62,5057.80,4334.00,6005.00,228.89,63.17
12/08/22 at 09:14AM,14.60,14.00,15.00,0.13,71.54,6171.70,5388.00,7163.00,196.92,70.40
12/08/22 at 09:24AM,15.20,13.00,16.00,0.06,74.48,6946.20,6303.00,7543.00,86.08,75.43
12/08/22 at 09:34AM,16.60,16.00,19.00,0.13,81.34,8867.20,8395.00,9308.00,149.32,87.90
12/08/22 at 09:44AM,17.10,17.00,18.00,0.03,83.79,9818.90,9143.00,10750.00,1.23,94.08
12/08/22 at 09:54AM,17.50,17.00,18.00,0.16,85.75,9853.20,9604.00,10281.00,77.86,94.31
12/08/22 at 10:04AM,18.30,18.00,19.00,0.09,89.67,10520.30,10016.00,10830.00,92.24,98.64
12/08/22 at 10:14AM,18.90,18.00,19.00,0.03,92.61,11390.90,10917.00,11847.00,56.26,104.29
