Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
22/07/22 at 12:09AM,0.00,0.00,0.00,0.00,0.00,-4228.60,-4828.00,-3405.00,94.99,2.87
22/07/22 at 12:19AM,0.00,0.00,0.00,0.00,0.00,-4323.30,-5178.00,-3045.00,100.34,2.25
22/07/22 at 12:29AM,0.00,0.00,0.00,0.00,0.00,-4164.80,-4871.00,-2977.00,43.07,3.28
22/07/22 at 12:39AM,0.00,0.00,0.00,0.00,0.00,-4053.40,-4539.00,-3584.00,129.21,4.00
22/07/22 at 12:49AM,0.00,0.00,0.00,0.00,0.00,-4626.40,-5446.00,-3621.00,259.18,0.28
22/07/22 at 12:59AM,0.00,0.00,0.00,0.00,0.00,-3955.40,-4739.00,-3199.00,37.44,4.64
22/07/22 at 01:09AM,0.00,0.00,0.00,0.00,0.00,-4399.40,-5287.00,-3685.00,94.36,1.76
22/07/22 at 01:19AM,0.00,0.00,0.00,0.00,0.00,-4443.60,-5138.00,-3662.00,118.71,1.47
22/07/22 at 01:29AM,0.00,0.00,0.00,0.00,0.00,-4203.20,-4635.00,-3906.00,36.30,3.03
22/07/22 at 01:39AM,0.00,0.00,0.00,0.00,0.00,-4101.40,-5161.00,-3624.00,54.52,3.69
22/07/22 at 01:49AM,0.00,0.00,0.00,0.00,0.00,-4191.20,-4892.00,-3308.00,75.64,3.11
22/07/22 at 01:59AM,0.00,0.00,0.00,0.00,0.00,-4046.00,-4713.00,-3548.00,143.88,4.05
22/07/22 at 02:09AM,0.00,0.00,0.00,0.00,0.00,-4206.90,-5302.00,-3543.00,127.47,3.01
22/07/22 at 02:19AM,0.00,0.00,0.00,0.00,0.00,-4156.60,-4731.00,-3638.00,150.02,3.33
22/07/22 at 02:29AM,0.00,0.00,0.00,0.00,0.00,-3793.00,-4699.00,-3052.00,286.50,5.69
22/07/22 at 02:39AM,0.00,0.00,0.00,0.00,0.00,-3986.40,-4603.00,-2958.00,11.26,4.44
22/07/22 at 02:49AM,0.00,0.00,0.00,0.00,0.00,-4284.70,-4669.00,-4028.00,121.53,2.50
22/07/22 at 02:17AM,21.10,21.00,22.00,0.03,103.39,12426.50,11571.00,13292.00,273.70,111.02
22/07/22 at 02:27AM,21.50,21.00,22.00,0.16,105.35,11079.80,9754.00,12392.00,419.25,102.27
22/07/22 at 02:37AM,22.00,22.00,22.00,0.00,107.80,14230.80,13314.00,15586.00,44.84,122.73
22/07/22 at 02:47AM,21.90,21.00,22.00,0.03,107.31,14036.00,13292.00,14739.00,231.79,121.47
22/07/22 at 02:57AM,22.40,22.00,23.00,0.13,109.76,14873.30,14314.00,15385.00,109.00,126.90
22/07/22 at 03:07AM,21.50,21.00,22.00,0.16,105.35,14107.00,12616.00,14755.00,1.26,121.93
22/07/22 at 03:17AM,21.90,21.00,22.00,0.03,107.31,15156.10,14205.00,15846.00,38.30,128.74
22/07/22 at 03:27AM,21.70,21.00,22.00,0.09,106.33,13710.00,12868.00,14827.00,353.23,119.35
22/07/22 at 03:37AM,3.90,3.00,4.00,0.03,19.11,-150.60,-634.00,353.00,1.45,29.35
22/07/22 at 03:47AM,23.20,23.00,24.00,0.06,113.68,15870.10,15313.00,16555.00,35.07,133.38
22/07/22 at 03:57AM,22.10,22.00,23.00,0.03,108.29,14575.30,13870.00,14973.00,93.70,124.97
22/07/22 at 04:07AM,23.30,23.00,24.00,0.09,114.17,16252.70,15478.00,17191.00,82.00,135.86
22/07/22 at 04:17AM,21.90,21.00,23.00,0.03,107.31,14616.70,14039.00,15551.00,156.75,125.24
22/07/22 at 04:27AM,21.60,21.00,22.00,0.13,105.84,14544.60,13787.00,14981.00,91.52,124.77
22/07/22 at 04:37AM,20.20,20.00,21.00,0.06,98.98,13417.60,12873.00,13778.00,107.01,117.45
22/07/22 at 04:47AM,21.70,20.00,22.00,0.54,106.33,13891.90,12797.00,14816.00,139.80,120.53
22/07/22 at 04:57AM,5.80,5.00,6.00,0.06,28.42,860.30,430.00,1393.00,15.72,35.91
22/07/22 at 05:07AM,5.10,5.00,6.00,0.03,24.99,267.40,-88.00,556.00,101.00,32.06
22/07/22 at 05:17AM,19.30,19.00,20.00,0.09,94.57,11636.30,11221.00,11897.00,67.89,105.89
22/07/22 at 05:27AM,4.50,4.00,5.00,0.16,22.05,-65.10,-325.00,357.00,39.24,29.90
22/07/22 at 05:37AM,6.00,5.00,7.00,0.00,29.40,792.30,466.00,1067.00,103.19,35.47
22/07/22 at 05:47AM,13.80,13.00,14.00,0.06,67.62,6781.00,6096.00,7341.00,167.28,74.36
22/07/22 at 05:57AM,6.70,6.00,7.00,0.09,32.83,1467.70,1106.00,2097.00,30.77,39.86
22/07/22 at 06:08AM,6.90,6.00,7.00,0.28,33.81,1336.50,632.00,2125.00,86.17,39.00
22/07/22 at 06:18AM,5.00,4.00,6.00,0.00,24.50,95.80,-414.00,360.00,161.21,30.95
22/07/22 at 06:28AM,15.70,15.00,16.00,0.09,76.93,8479.90,8193.00,8779.00,56.57,85.39
22/07/22 at 06:38AM,8.40,8.00,9.00,0.19,41.16,2837.90,2016.00,3278.00,29.12,48.75
22/07/22 at 06:48AM,9.90,9.00,10.00,0.03,48.51,4123.90,3277.00,4506.00,267.81,57.10
22/07/22 at 06:58AM,7.40,7.00,8.00,0.13,36.26,1933.90,873.00,2679.00,201.72,42.88
22/07/22 at 07:08AM,12.00,12.00,12.00,0.00,58.80,5747.90,5398.00,6117.00,43.29,67.65
22/07/22 at 07:18AM,4.30,4.00,5.00,0.09,21.07,8.30,-243.00,528.00,66.82,30.38
22/07/22 at 07:28AM,2.90,2.00,3.00,0.03,14.21,-1401.40,-2034.00,-825.00,200.05,21.22
22/07/22 at 07:38AM,2.50,2.00,3.00,0.16,12.25,-1959.60,-2287.00,-1566.00,9.04,17.60
22/07/22 at 07:48AM,9.00,8.00,10.00,0.00,44.10,2685.70,1990.00,3490.00,254.34,47.76
22/07/22 at 07:58AM,1.80,1.00,2.00,0.06,8.82,-2006.60,-2735.00,-1451.00,175.70,17.29
22/07/22 at 08:08AM,6.40,6.00,7.00,0.13,31.36,941.30,585.00,1281.00,100.15,36.44
22/07/22 at 08:18AM,6.40,6.00,7.00,0.19,31.36,1364.90,907.00,1581.00,47.47,39.19
22/07/22 at 08:28AM,6.00,5.00,7.00,0.00,29.40,761.10,495.00,1385.00,91.99,35.27
22/07/22 at 08:38AM,4.80,4.00,5.00,0.06,23.52,-166.80,-438.00,58.00,85.76,29.24
22/07/22 at 08:48AM,1.30,1.00,3.00,0.09,6.37,-2256.00,-2564.00,-1960.00,6.64,15.68
22/07/22 at 08:58AM,3.60,3.00,4.00,0.13,17.64,-1209.80,-1617.00,-777.00,128.77,22.47
22/07/22 at 09:08AM,2.70,2.00,3.00,0.09,13.23,-1144.50,-1642.00,-742.00,46.96,22.89
22/07/22 at 09:18AM,2.80,2.00,3.00,0.25,13.72,-1652.50,-2031.00,-1305.00,109.89,19.59
22/07/22 at 09:28AM,1.90,0.00,3.00,0.03,9.31,-2318.40,-2668.00,-2020.00,36.56,15.27
22/07/22 at 09:38AM,1.30,1.00,2.00,0.09,6.37,-2797.20,-3127.00,-2335.00,33.14,12.16
22/07/22 at 09:48AM,0.80,0.00,1.00,0.25,3.92,-2736.60,-3433.00,-2106.00,220.22,12.55
22/07/22 at 09:58AM,0.20,0.00,1.00,0.06,0.98,-3167.80,-3723.00,-2698.00,148.56,9.75
22/07/22 at 10:08AM,0.50,0.00,1.00,0.16,2.45,-3060.40,-3765.00,-2213.00,46.36,10.45
22/07/22 at 10:18AM,0.00,0.00,0.00,0.00,0.00,-3046.60,-4258.00,-2121.00,10.31,10.54
22/07/22 at 10:28AM,0.00,0.00,0.00,0.00,0.00,-2642.90,-3338.00,-1657.00,164.15,13.16
22/07/22 at 10:38AM,0.00,0.00,0.00,0.00,0.00,-3170.30,-3753.00,-2643.00,85.79,9.74
22/07/22 at 10:48AM,0.00,0.00,0.00,0.00,0.00,-4073.90,-4552.00,-3463.00,123.93,3.87
22/07/22 at 10:58AM,0.00,0.00,0.00,0.00,0.00,-3903.30,-4224.00,-3458.00,35.32,4.98
22/07/22 at 11:08AM,0.00,0.00,0.00,0.00,0.00,-3962.60,-4457.00,-3344.00,154.19,4.59
22/07/22 at 11:18AM,0.00,0.00,0.00,0.00,0.00,-4221.00,-5282.00,-3365.00,21.19,2.92
22/07/22 at 11:28AM,0.00,0.00,0.00,0.00,0.00,-4461.90,-4779.00,-4003.00,70.49,1.35
22/07/22 at 11:38AM,0.00,0.00,0.00,0.00,0.00,-4489.30,-4935.00,-4156.00,6.55,1.17
22/07/22 at 11:48AM,0.00,0.00,0.00,0.00,0.00,-4477.50,-5005.00,-3805.00,64.98,1.25
22/07/22 at 11:58AM,0.00,0.00,0.00,0.00,0.00,-3826.20,-4261.00,-3329.00,83.86,5.48
22/07/22 at 12:08PM,0.00,0.00,0.00,0.00,0.00,-3757.70,-4870.00,-3133.00,351.74,5.92
22/07/22 at 12:18PM,0.00,0.00,0.00,0.00,0.00,-4193.70,-5284.00,-3407.00,344.78,3.09
22/07/22 at 12:28PM,0.00,0.00,0.00,0.00,0.00,-4055.70,-5121.00,-3151.00,35.20,3.99
22/07/22 at 12:38PM,0.00,0.00,0.00,0.00,0.00,-4253.50,-5017.00,-3266.00,216.46,2.70
22/07/22 at 12:48PM,0.00,0.00,0.00,0.00,0.00,-4145.40,-5069.00,-2325.00,292.07,3.41
22/07/22 at 12:58PM,0.00,0.00,0.00,0.00,0.00,-3810.20,-4879.00,-2338.00,125.48,5.58
22/07/22 at 01:08PM,0.00,0.00,0.00,0.00,0.00,-4137.60,-4812.00,-3696.00,183.85,3.46
22/07/22 at 01:18PM,0.00,0.00,0.00,0.00,0.00,-4328.10,-5184.00,-3513.00,173.01,2.22
22/07/22 at 01:28PM,0.00,0.00,0.00,0.00,0.00,-4090.90,-4920.00,-3362.00,53.47,3.76
22/07/22 at 01:38PM,0.00,0.00,0.00,0.00,0.00,-4300.60,-5124.00,-2841.00,461.57,2.40
22/07/22 at 01:48PM,0.00,0.00,0.00,0.00,0.00,-3900.00,-4767.00,-3125.00,110.05,5.00
22/07/22 at 01:58PM,0.00,0.00,0.00,0.00,0.00,-4403.60,-4956.00,-3768.00,125.04,1.73
22/07/22 at 02:08PM,0.00,0.00,0.00,0.00,0.00,-4034.10,-4902.00,-3333.00,65.43,4.13
22/07/22 at 02:18PM,0.00,0.00,0.00,0.00,0.00,-3914.40,-4753.00,-2982.00,81.78,4.91
22/07/22 at 02:29PM,0.00,0.00,0.00,0.00,0.00,-4156.20,-4747.00,-3457.00,131.61,3.34
22/07/22 at 02:39PM,0.00,0.00,0.00,0.00,0.00,-3755.70,-4223.00,-3310.00,129.43,5.94
22/07/22 at 02:49PM,0.00,0.00,0.00,0.00,0.00,-4157.60,-4489.00,-3796.00,35.54,3.33
22/07/22 at 02:59PM,0.00,0.00,0.00,0.00,0.00,-4230.10,-4725.00,-3852.00,56.89,2.86
22/07/22 at 03:09PM,0.00,0.00,0.00,0.00,0.00,-3914.60,-4608.00,-3123.00,162.35,4.91
22/07/22 at 03:19PM,0.00,0.00,0.00,0.00,0.00,-4517.60,-5068.00,-4143.00,89.94,0.99
22/07/22 at 03:29PM,0.00,0.00,0.00,0.00,0.00,-4072.10,-4667.00,-3505.00,81.62,3.88
22/07/22 at 03:39PM,0.00,0.00,0.00,0.00,0.00,-4319.90,-4929.00,-3738.00,149.61,2.27
22/07/22 at 03:49PM,0.00,0.00,0.00,0.00,0.00,-4610.70,-5032.00,-3898.00,78.65,0.39
22/07/22 at 03:59PM,0.00,0.00,0.00,0.00,0.00,-4130.50,-4816.00,-2500.00,192.11,3.50
22/07/22 at 04:09PM,0.00,0.00,0.00,0.00,0.00,-4431.10,-4915.00,-4191.00,35.77,1.55
22/07/22 at 04:19PM,0.00,0.00,0.00,0.00,0.00,-4497.70,-5224.00,-3633.00,273.44,1.12
22/07/22 at 04:29PM,0.00,0.00,0.00,0.00,0.00,-4783.50,-5287.00,-4161.00,132.97,-0.74
22/07/22 at 04:39PM,0.00,0.00,0.00,0.00,0.00,-4365.70,-4796.00,-3574.00,15.91,1.98
22/07/22 at 04:49PM,0.00,0.00,0.00,0.00,0.00,-4335.70,-4834.00,-3587.00,236.76,2.17
22/07/22 at 04:59PM,0.00,0.00,0.00,0.00,0.00,-3882.30,-4502.00,-3308.00,195.97,5.11
22/07/22 at 05:09PM,0.10,0.00,1.00,0.03,0.49,-4221.10,-4741.00,-3673.00,16.73,2.91
22/07/22 at 05:19PM,0.00,0.00,0.00,0.00,0.00,-3642.30,-4227.00,-2810.00,32.67,6.67
22/07/22 at 05:29PM,0.00,0.00,0.00,0.00,0.00,-4116.10,-4766.00,-3424.00,205.52,3.60
22/07/22 at 05:39PM,0.00,0.00,0.00,0.00,0.00,-4174.90,-4707.00,-3804.00,168.26,3.21
22/07/22 at 05:49PM,0.00,0.00,0.00,0.00,0.00,-4600.00,-5509.00,-3663.00,169.50,0.45
22/07/22 at 05:59PM,0.00,0.00,0.00,0.00,0.00,-4095.00,-5182.00,-3257.00,75.26,3.73
22/07/22 at 06:09PM,0.00,0.00,0.00,0.00,0.00,-4645.10,-4948.00,-4115.00,39.24,0.16
22/07/22 at 06:19PM,0.00,0.00,0.00,0.00,0.00,-3468.10,-4045.00,-2489.00,12.93,7.80
22/07/22 at 06:29PM,0.00,0.00,0.00,0.00,0.00,-3867.30,-4117.00,-3333.00,10.02,5.21
22/07/22 at 06:39PM,0.00,0.00,0.00,0.00,0.00,-3746.70,-4787.00,-2240.00,207.98,6.00
22/07/22 at 06:49PM,0.00,0.00,0.00,0.00,0.00,-4423.10,-5217.00,-3585.00,187.55,1.60
22/07/22 at 06:59PM,0.00,0.00,0.00,0.00,0.00,-3879.50,-4444.00,-3147.00,170.29,5.13
22/07/22 at 07:09PM,0.00,0.00,0.00,0.00,0.00,-3524.10,-4175.00,-3139.00,168.83,7.44
22/07/22 at 07:19PM,0.00,0.00,0.00,0.00,0.00,-4571.30,-5163.00,-4194.00,119.31,0.64
22/07/22 at 07:29PM,0.00,0.00,0.00,0.00,0.00,-4496.70,-5322.00,-3647.00,150.75,1.13
22/07/22 at 07:39PM,0.00,0.00,0.00,0.00,0.00,-4381.00,-4739.00,-3681.00,37.63,1.88
22/07/22 at 07:49PM,0.00,0.00,0.00,0.00,0.00,-4298.70,-5407.00,-3558.00,350.48,2.41
22/07/22 at 07:59PM,0.00,0.00,0.00,0.00,0.00,-4054.00,-4534.00,-3373.00,127.44,4.00
22/07/22 at 08:09PM,0.00,0.00,0.00,0.00,0.00,-3709.20,-4300.00,-2804.00,286.25,6.24
22/07/22 at 08:19PM,0.00,0.00,0.00,0.00,0.00,-3970.20,-5033.00,-3149.00,138.13,4.54
22/07/22 at 08:29PM,0.00,0.00,0.00,0.00,0.00,-3971.70,-4589.00,-3207.00,192.68,4.53
22/07/22 at 08:39PM,0.00,0.00,0.00,0.00,0.00,-3684.20,-4325.00,-3165.00,106.51,6.40
22/07/22 at 08:49PM,0.00,0.00,0.00,0.00,0.00,-3625.50,-4240.00,-3128.00,64.04,6.78
22/07/22 at 08:59PM,0.00,0.00,0.00,0.00,0.00,-3731.70,-4432.00,-2949.00,16.85,6.09
22/07/22 at 09:09PM,0.00,0.00,0.00,0.00,0.00,-3167.40,-3955.00,-2733.00,8.66,9.76
22/07/22 at 09:19PM,1.20,1.00,2.00,0.25,5.88,-2358.60,-2803.00,-1702.00,88.35,15.01
22/07/22 at 09:29PM,3.10,2.00,5.00,0.03,15.19,-1422.30,-1859.00,-1024.00,58.91,21.09
22/07/22 at 09:39PM,3.20,3.00,4.00,0.25,15.68,-1336.80,-1640.00,-887.00,87.34,21.64
22/07/22 at 09:50PM,1.10,1.00,2.00,0.03,5.39,-2373.30,-2931.00,-1914.00,145.24,14.91
22/07/22 at 10:00PM,5.90,5.00,6.00,0.03,28.91,-171.30,-405.00,91.00,72.95,29.21
22/07/22 at 10:10PM,7.50,7.00,8.00,0.16,36.75,1123.60,863.00,1529.00,14.36,37.62
22/07/22 at 10:20PM,8.30,8.00,9.00,0.09,40.67,1080.70,884.00,1447.00,38.48,37.34
22/07/22 at 10:30PM,4.20,4.00,5.00,0.06,20.58,-711.70,-984.00,-210.00,45.00,25.70
22/07/22 at 10:40PM,3.10,2.00,5.00,0.03,15.19,-1176.50,-1929.00,-763.00,79.53,22.69
22/07/22 at 10:50PM,3.10,3.00,4.00,0.03,15.19,-1154.90,-1801.00,-726.00,3.13,22.83
22/07/22 at 11:00PM,3.60,2.00,4.00,0.13,17.64,-913.10,-1525.00,11.00,82.19,24.40
22/07/22 at 11:10PM,11.90,11.00,12.00,0.03,58.31,4608.70,3649.00,5253.00,64.10,60.25
22/07/22 at 11:20PM,5.80,3.00,7.00,0.06,28.42,-5.20,-114.00,151.00,14.93,30.29
22/07/22 at 11:30PM,12.40,11.00,13.00,0.13,60.76,4375.30,3638.00,4802.00,19.51,58.74
22/07/22 at 11:40PM,12.80,12.00,13.00,0.06,62.72,4687.30,3551.00,5359.00,359.33,60.76
22/07/22 at 11:50PM,7.40,7.00,8.00,0.13,36.26,889.80,532.00,1247.00,44.02,36.10
