Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
26/06/22 at 12:01AM,19.80,19.00,20.00,0.06,97.02,12468.20,12185.00,12989.00,40.22,111.29
26/06/22 at 12:11AM,20.60,20.00,22.00,0.19,100.94,12670.20,11935.00,13329.00,232.49,112.60
26/06/22 at 12:21AM,14.40,14.00,15.00,0.13,70.56,7602.10,6491.00,8595.00,119.88,79.69
26/06/22 at 12:31AM,5.90,5.00,7.00,0.03,28.91,772.30,351.00,1368.00,97.94,35.34
26/06/22 at 12:41AM,6.30,6.00,7.00,0.22,30.87,1352.90,1132.00,1644.00,55.62,39.11
26/06/22 at 12:51AM,6.00,6.00,6.00,0.00,29.40,218.40,-371.00,819.00,62.74,31.74
26/06/22 at 01:01AM,6.10,6.00,7.00,0.03,29.89,132.70,-97.00,501.00,33.43,31.19
26/06/22 at 01:11AM,6.50,6.00,8.00,0.16,31.85,207.60,-280.00,767.00,41.62,31.67
26/06/22 at 01:21AM,7.00,6.00,8.00,0.00,34.30,790.80,347.00,1571.00,131.17,35.46
26/06/22 at 01:31AM,6.40,6.00,8.00,0.13,31.36,342.80,9.00,792.00,22.20,32.55
26/06/22 at 01:41AM,7.00,7.00,7.00,0.00,34.30,1226.20,807.00,1785.00,13.22,38.29
26/06/22 at 01:51AM,7.20,7.00,8.00,0.06,35.28,1057.10,519.00,1697.00,170.16,37.19
26/06/22 at 02:01AM,7.40,7.00,8.00,0.19,36.26,1706.20,1217.00,2115.00,10.69,41.40
26/06/22 at 02:11AM,6.10,6.00,7.00,0.03,29.89,816.80,522.00,1549.00,85.00,35.63
26/06/22 at 02:21AM,4.20,4.00,5.00,0.06,20.58,-611.40,-951.00,23.00,107.39,26.35
26/06/22 at 02:31AM,4.70,4.00,5.00,0.09,23.03,-311.30,-832.00,67.00,164.66,28.30
26/06/22 at 02:41AM,4.20,4.00,5.00,0.25,20.58,-526.70,-742.00,-164.00,49.74,26.90
26/06/22 at 02:51AM,8.30,8.00,9.00,0.09,40.67,2181.30,1631.00,2989.00,47.66,44.49
26/06/22 at 03:01AM,1.80,1.00,2.00,0.06,8.82,-2292.60,-2665.00,-1860.00,28.33,15.44
26/06/22 at 03:11AM,3.10,2.00,4.00,0.03,15.19,-1623.50,-1959.00,-1110.00,7.75,19.78
26/06/22 at 03:21AM,3.70,3.00,5.00,0.22,18.13,-1061.00,-1566.00,-741.00,101.19,23.44
26/06/22 at 03:31AM,2.90,2.00,4.00,0.28,14.21,-1579.00,-2285.00,-892.00,46.49,20.07
26/06/22 at 03:41AM,1.50,0.00,2.00,0.47,7.35,-2415.50,-2855.00,-1980.00,75.42,14.64
26/06/22 at 03:51AM,1.90,0.00,4.00,0.28,9.31,-2377.40,-2954.00,-1727.00,78.87,14.89
26/06/22 at 04:01AM,1.10,1.00,2.00,0.03,5.39,-2370.90,-2920.00,-1849.00,104.32,14.93
26/06/22 at 04:11AM,1.60,1.00,2.00,0.19,7.84,-1940.80,-2700.00,-1332.00,66.98,17.72
26/06/22 at 04:21AM,1.50,1.00,2.00,0.16,7.35,-1923.80,-2849.00,-723.00,379.73,17.83
26/06/22 at 04:32AM,0.60,0.00,1.00,0.19,2.94,-2194.90,-3295.00,-1462.00,216.58,16.07
26/06/22 at 04:42AM,0.10,0.00,1.00,0.03,0.49,-2902.90,-4006.00,-2075.00,85.98,11.47
26/06/22 at 04:52AM,0.00,0.00,0.00,0.00,0.00,-3869.20,-4506.00,-3264.00,103.98,5.20
26/06/22 at 05:02AM,0.00,0.00,0.00,0.00,0.00,-3432.00,-4262.00,-2635.00,262.47,8.04
26/06/22 at 05:12AM,0.00,0.00,0.00,0.00,0.00,-3760.90,-4456.00,-2995.00,111.66,5.90
26/06/22 at 05:22AM,0.00,0.00,0.00,0.00,0.00,-4207.50,-4963.00,-3507.00,193.06,3.00
26/06/22 at 05:32AM,0.00,0.00,0.00,0.00,0.00,-3764.40,-4228.00,-3274.00,155.08,5.88
