Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
17/05/22 at 12:05AM,0,0,0,0.00,0.00,-4468.90,-5444.00,-3727.00,145.12,1.31
17/05/22 at 12:15AM,0,0,0,0.00,0.00,-4511.50,-5316.00,-3831.00,59.29,1.03
17/05/22 at 12:25AM,0,0,0,0.00,0.00,-4867.00,-5461.00,-3826.00,13.60,-1.28
17/05/22 at 12:35AM,0,0,0,0.00,0.00,-4667.50,-5277.00,-3598.00,338.21,0.02
17/05/22 at 12:45AM,0,0,0,0.00,0.00,-4316.30,-5013.00,-3635.00,220.32,2.30
17/05/22 at 12:55AM,0,0,0,0.00,0.00,-3929.70,-5361.00,-2157.00,560.58,4.81
17/05/22 at 01:05AM,0,0,0,0.00,0.00,-4542.00,-5037.00,-3422.00,70.52,0.83
17/05/22 at 01:15AM,0,0,0,0.00,0.00,-4474.00,-5263.00,-3304.00,369.99,1.27
17/05/22 at 01:25AM,0,0,0,0.00,0.00,-4823.00,-5325.00,-4147.00,213.77,-0.99
17/05/22 at 01:35AM,0,0,0,0.00,0.00,-4048.80,-4299.00,-3740.00,45.28,4.03
17/05/22 at 01:45AM,0,0,0,0.00,0.00,-4214.00,-4985.00,-3347.00,78.11,2.96
17/05/22 at 01:55AM,0,0,0,0.00,0.00,-4729.10,-5193.00,-4238.00,33.55,-0.38
17/05/22 at 02:05AM,0,0,0,0.00,0.00,-4540.40,-4964.00,-3561.00,90.00,0.84
17/05/22 at 02:15AM,0,0,0,0.00,0.00,-4546.90,-4998.00,-4265.00,41.39,0.80
17/05/22 at 02:25AM,0,0,0,0.00,0.00,-5183.10,-5936.00,-4750.00,52.15,-3.33
17/05/22 at 02:35AM,0,0,0,0.00,0.00,-4461.90,-5348.00,-3790.00,210.26,1.35
17/05/22 at 02:45AM,0,0,0,0.00,0.00,-4351.90,-4870.00,-3343.00,155.30,2.07
17/05/22 at 02:55AM,0,0,0,0.00,0.00,-4739.80,-5156.00,-3759.00,11.13,-0.45
