Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
22/05/22 at 12:09AM,0.00,0.00,0.00,0.00,0.00,-4850.60,-5465.00,-4050.00,51.42,-1.17
22/05/22 at 12:19AM,0.00,0.00,0.00,0.00,0.00,-4390.50,-5326.00,-3745.00,295.83,1.81
22/05/22 at 12:29AM,0.00,0.00,0.00,0.00,0.00,-4130.50,-5023.00,-3544.00,282.23,3.50
22/05/22 at 12:39AM,0.00,0.00,0.00,0.00,0.00,-4115.90,-5043.00,-3151.00,61.06,3.60
22/05/22 at 12:49AM,0.00,0.00,0.00,0.00,0.00,-3898.10,-4713.00,-3177.00,127.72,5.01
22/05/22 at 12:59AM,0.00,0.00,0.00,0.00,0.00,-4692.80,-5316.00,-3574.00,143.95,-0.15
22/05/22 at 01:09AM,0.00,0.00,0.00,0.00,0.00,-4520.60,-5604.00,-3854.00,20.37,0.97
22/05/22 at 01:19AM,0.00,0.00,0.00,0.00,0.00,-4528.20,-5582.00,-3712.00,126.11,0.92
22/05/22 at 01:29AM,0.00,0.00,0.00,0.00,0.00,-4676.50,-5376.00,-4199.00,49.49,-0.04
22/05/22 at 01:39AM,0.00,0.00,0.00,0.00,0.00,-4548.30,-4919.00,-3714.00,106.16,0.79
22/05/22 at 01:49AM,0.00,0.00,0.00,0.00,0.00,-4449.20,-5276.00,-3095.00,222.56,1.43
22/05/22 at 01:59AM,0.00,0.00,0.00,0.00,0.00,-4792.90,-5383.00,-4091.00,181.23,-0.80
22/05/22 at 02:09AM,0.00,0.00,0.00,0.00,0.00,-3991.10,-4523.00,-3247.00,105.59,4.41
22/05/22 at 02:19AM,0.00,0.00,0.00,0.00,0.00,-3862.80,-5102.00,-2807.00,391.87,5.24
22/05/22 at 02:29AM,0.00,0.00,0.00,0.00,0.00,-3794.20,-5027.00,-3184.00,389.85,5.69
22/05/22 at 02:39AM,0.00,0.00,0.00,0.00,0.00,-4190.40,-4885.00,-2709.00,12.21,3.11
22/05/22 at 02:49AM,0.00,0.00,0.00,0.00,0.00,-4564.70,-5495.00,-3623.00,255.42,0.68
22/05/22 at 02:59AM,0.00,0.00,0.00,0.00,0.00,-4709.10,-5569.00,-3781.00,271.92,-0.25
22/05/22 at 03:09AM,0.00,0.00,0.00,0.00,0.00,-4857.20,-5594.00,-3823.00,111.25,-1.22
22/05/22 at 03:19AM,0.00,0.00,0.00,0.00,0.00,-5044.30,-5882.00,-4212.00,34.69,-2.43
22/05/22 at 03:29AM,0.10,0.00,1.00,0.03,0.49,-4838.60,-5412.00,-3884.00,181.32,-1.09
22/05/22 at 03:40AM,0.00,0.00,0.00,0.00,0.00,-4777.00,-5378.00,-4146.00,40.79,-0.69
22/05/22 at 03:50AM,0.00,0.00,0.00,0.00,0.00,-4552.40,-5169.00,-3959.00,187.65,0.76
22/05/22 at 04:00AM,0.00,0.00,0.00,0.00,0.00,-4021.30,-4651.00,-3160.00,272.37,4.21
22/05/22 at 04:10AM,0.00,0.00,0.00,0.00,0.00,-3890.60,-4808.00,-3103.00,42.25,5.06
22/05/22 at 04:20AM,0.00,0.00,0.00,0.00,0.00,-4565.50,-5251.00,-3554.00,15.02,0.68
22/05/22 at 04:30AM,0.00,0.00,0.00,0.00,0.00,-4030.80,-4796.00,-3247.00,30.93,4.15
22/05/22 at 04:40AM,0.00,0.00,0.00,0.00,0.00,-4670.40,-5332.00,-3732.00,182.65,-0.00
22/05/22 at 04:50AM,0.00,0.00,0.00,0.00,0.00,-4692.10,-5311.00,-3945.00,21.85,-0.14
22/05/22 at 05:00AM,0.00,0.00,0.00,0.00,0.00,-4698.80,-5563.00,-4130.00,273.28,-0.19
22/05/22 at 05:10AM,0.00,0.00,0.00,0.00,0.00,-4767.10,-5481.00,-3450.00,150.18,-0.63
22/05/22 at 05:20AM,0.00,0.00,0.00,0.00,0.00,-4472.30,-5264.00,-3200.00,250.36,1.28
22/05/22 at 05:30AM,0.00,0.00,0.00,0.00,0.00,-4242.30,-5361.00,-2981.00,237.08,2.78
22/05/22 at 05:40AM,0.00,0.00,0.00,0.00,0.00,-4673.70,-5354.00,-4050.00,197.23,-0.02
22/05/22 at 05:50AM,0.00,0.00,0.00,0.00,0.00,-4140.60,-5179.00,-2920.00,172.15,3.44
22/05/22 at 06:00AM,0.00,0.00,0.00,0.00,0.00,-4255.80,-4938.00,-3629.00,159.44,2.69
22/05/22 at 06:10AM,0.00,0.00,0.00,0.00,0.00,-4098.30,-4698.00,-3426.00,9.58,3.71
22/05/22 at 06:20AM,0.00,0.00,0.00,0.00,0.00,-4084.10,-4854.00,-3341.00,48.67,3.80
22/05/22 at 06:30AM,0.00,0.00,0.00,0.00,0.00,-4000.40,-4673.00,-3409.00,51.10,4.35
22/05/22 at 06:40AM,0.00,0.00,0.00,0.00,0.00,-3813.60,-4581.00,-2943.00,190.50,5.56
22/05/22 at 06:50AM,0.00,0.00,0.00,0.00,0.00,-3898.20,-4552.00,-2911.00,310.92,5.01
22/05/22 at 07:00AM,0.00,0.00,0.00,0.00,0.00,-3591.30,-4613.00,-2736.00,104.77,7.00
22/05/22 at 07:10AM,0.10,0.00,1.00,0.03,0.49,-3847.20,-4411.00,-3131.00,159.95,5.34
22/05/22 at 07:20AM,0.00,0.00,0.00,0.00,0.00,-3807.50,-4565.00,-3231.00,15.34,5.60
22/05/22 at 07:30AM,0.10,0.00,1.00,0.03,0.49,-3465.90,-3874.00,-3003.00,146.38,7.82
22/05/22 at 07:40AM,0.10,0.00,1.00,0.03,0.49,-2870.70,-3971.00,-1578.00,38.99,11.68
22/05/22 at 07:50AM,0.00,0.00,0.00,0.00,0.00,-3311.70,-3676.00,-2836.00,107.11,8.82
22/05/22 at 08:00AM,0.00,0.00,0.00,0.00,0.00,-3114.60,-3768.00,-2499.00,66.85,10.10
22/05/22 at 08:10AM,0.00,0.00,0.00,0.00,0.00,-3089.10,-3802.00,-2238.00,107.23,10.27
22/05/22 at 08:20AM,0.00,0.00,0.00,0.00,0.00,-2711.70,-3109.00,-2070.00,123.55,12.72
22/05/22 at 08:30AM,0.10,0.00,1.00,0.03,0.49,-2626.90,-3805.00,-2091.00,35.39,13.27
22/05/22 at 08:40AM,4.30,4.00,5.00,0.09,21.07,-1047.00,-1640.00,-786.00,187.52,23.53
22/05/22 at 08:50AM,10.60,10.00,11.00,0.19,51.94,3539.20,3158.00,4083.00,24.92,53.31
22/05/22 at 09:00AM,11.60,11.00,12.00,0.19,56.84,3721.60,3292.00,4229.00,32.44,54.49
22/05/22 at 09:10AM,9.90,9.00,10.00,0.03,48.51,2679.50,2279.00,2998.00,126.65,47.72
