Date, arduino, arduino_mv, HX711, HX711_mv
15/05/22 at 07:02PM,0,0.00,-2752,12.00
15/05/22 at 07:12PM,0,0.00,-5278,-3.00
15/05/22 at 07:23PM,0,0.00,-4154,3.00
15/05/22 at 07:33PM,0,0.00,-5191,-3.00
15/05/22 at 07:43PM,0,0.00,-4023,4.00
15/05/22 at 07:53PM,0,0.00,-4299,2.00
15/05/22 at 08:03PM,0,0.00,-4166,3.00
15/05/22 at 08:13PM,0,0.00,-4794,0.00
15/05/22 at 08:23PM,0,0.00,-4690,0.00
15/05/22 at 08:33PM,0,0.00,-4714,0.00
15/05/22 at 08:43PM,0,0.00,-4089,3.00
15/05/22 at 08:53PM,0,0.00,-4461,1.00
15/05/22 at 09:03PM,0,0.00,-4172,3.00
15/05/22 at 09:13PM,0,0.00,-4670,0.00
15/05/22 at 09:23PM,0,0.00,-4483,1.00
15/05/22 at 09:33PM,0,0.00,-3177,9.00
15/05/22 at 09:43PM,0,0.00,-5479,-5.00
15/05/22 at 09:53PM,0,0.00,-4382,1.00
15/05/22 at 10:03PM,0,0.00,-4998,-2.00
15/05/22 at 10:13PM,0,0.00,-4540,0.00
15/05/22 at 10:23PM,0,0.00,-4773,0.00
15/05/22 at 10:33PM,0,0.00,-4833,-1.00
15/05/22 at 10:43PM,0,0.00,-3547,7.00
15/05/22 at 10:53PM,0,0.00,-3982,4.00
15/05/22 at 11:03PM,0,0.00,-3124,10.00
15/05/22 at 11:13PM,0,0.00,-3476,7.00
15/05/22 at 11:23PM,0,0.00,-4124,3.00
15/05/22 at 11:33PM,0,0.00,-4404,1.00
15/05/22 at 11:43PM,0,0.00,-4029,4.00
15/05/22 at 11:53PM,0,0.00,-5006,-2.00
