Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
15/07/22 at 12:08AM,7.20,7.00,8.00,0.06,35.28,318.60,-3.00,800.00,70.08,32.39
15/07/22 at 12:18AM,4.00,3.00,5.00,0.00,19.60,-981.20,-1312.00,-510.00,104.61,23.95
15/07/22 at 12:28AM,5.00,4.00,6.00,0.00,24.50,-265.10,-607.00,63.00,51.83,28.60
15/07/22 at 12:38AM,1.60,1.00,2.00,0.13,7.84,-1660.80,-2135.00,-675.00,41.68,19.54
15/07/22 at 12:48AM,0.60,0.00,1.00,0.19,2.94,-2659.90,-3567.00,-1971.00,158.71,13.05
15/07/22 at 12:58AM,0.70,0.00,1.00,0.09,3.43,-2596.60,-3412.00,-1959.00,168.11,13.46
15/07/22 at 01:08AM,1.10,1.00,2.00,0.03,5.39,-2548.20,-3643.00,-2009.00,60.65,13.78
15/07/22 at 01:18AM,3.50,3.00,4.00,0.16,17.15,-873.80,-1794.00,-62.00,126.74,24.65
15/07/22 at 01:28AM,7.50,7.00,8.00,0.16,36.75,586.00,208.00,1189.00,13.60,34.13
15/07/22 at 01:38AM,1.60,0.00,3.00,0.51,7.84,-1727.80,-2487.00,-1087.00,101.76,19.11
15/07/22 at 01:48AM,2.90,2.00,3.00,0.03,14.21,-1531.40,-2066.00,-901.00,169.06,20.38
15/07/22 at 01:58AM,7.80,7.00,8.00,0.06,38.22,997.20,608.00,1491.00,123.08,36.80
15/07/22 at 02:08AM,13.20,12.00,14.00,0.06,64.68,4963.90,4095.00,5730.00,105.97,62.56
15/07/22 at 02:18AM,15.20,15.00,16.00,0.06,74.48,5506.40,4636.00,6126.00,105.81,66.08
15/07/22 at 02:28AM,5.30,5.00,6.00,0.09,25.97,-38.90,-267.00,210.00,72.13,30.07
15/07/22 at 02:38AM,4.60,4.00,5.00,0.19,22.54,-434.40,-767.00,-97.00,80.13,27.50
15/07/22 at 02:48AM,11.10,11.00,12.00,0.03,54.39,3042.90,2386.00,3532.00,154.67,50.08
15/07/22 at 02:58AM,15.30,15.00,16.00,0.09,74.97,6648.70,6077.00,7027.00,52.59,73.50
15/07/22 at 03:08AM,5.90,5.00,6.00,0.03,28.91,61.10,-262.00,395.00,2.88,30.72
