Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
31/05/22 at 12:08AM,0.00,0.00,0.00,0.00,0.00,-4027.90,-4482.00,-3457.00,122.03,4.17
31/05/22 at 12:18AM,0.00,0.00,0.00,0.00,0.00,-3966.70,-4702.00,-2879.00,63.97,4.57
31/05/22 at 12:28AM,0.00,0.00,0.00,0.00,0.00,-4273.00,-5120.00,-3568.00,222.94,2.58
31/05/22 at 12:38AM,0.00,0.00,0.00,0.00,0.00,-4161.90,-4793.00,-3284.00,122.98,3.30
31/05/22 at 12:48AM,0.00,0.00,0.00,0.00,0.00,-4855.00,-5431.00,-4337.00,76.53,-1.20
31/05/22 at 12:58AM,0.00,0.00,0.00,0.00,0.00,-4327.40,-4755.00,-4010.00,58.38,2.22
31/05/22 at 01:08AM,0.00,0.00,0.00,0.00,0.00,-4805.10,-5866.00,-3934.00,106.54,-0.88
31/05/22 at 01:18AM,0.00,0.00,0.00,0.00,0.00,-4606.30,-5285.00,-3840.00,116.28,0.41
31/05/22 at 01:28AM,0.00,0.00,0.00,0.00,0.00,-4498.90,-4925.00,-3867.00,71.82,1.11
31/05/22 at 01:38AM,0.00,0.00,0.00,0.00,0.00,-4202.80,-5110.00,-3674.00,130.22,3.03
31/05/22 at 01:48AM,0.00,0.00,0.00,0.00,0.00,-4614.10,-4947.00,-3894.00,1.61,0.36
31/05/22 at 01:58AM,0.00,0.00,0.00,0.00,0.00,-3700.40,-4784.00,-2903.00,342.66,6.30
31/05/22 at 02:08AM,0.00,0.00,0.00,0.00,0.00,-4477.00,-5045.00,-4011.00,90.12,1.25
31/05/22 at 02:18AM,0.00,0.00,0.00,0.00,0.00,-3959.20,-4796.00,-3445.00,264.62,4.62
31/05/22 at 02:28AM,0.00,0.00,0.00,0.00,0.00,-3916.80,-4328.00,-3443.00,18.91,4.89
31/05/22 at 02:38AM,0.00,0.00,0.00,0.00,0.00,-4255.00,-4682.00,-3676.00,183.10,2.69
31/05/22 at 02:48AM,0.00,0.00,0.00,0.00,0.00,-4070.50,-5431.00,-2710.00,58.03,3.89
31/05/22 at 02:58AM,0.00,0.00,0.00,0.00,0.00,-4089.90,-4808.00,-3537.00,16.73,3.77
31/05/22 at 03:08AM,0.00,0.00,0.00,0.00,0.00,-4603.90,-5225.00,-4010.00,73.08,0.43
31/05/22 at 03:18AM,0.00,0.00,0.00,0.00,0.00,-4201.10,-4967.00,-3066.00,242.20,3.04
31/05/22 at 03:28AM,0.00,0.00,0.00,0.00,0.00,-4466.50,-5029.00,-3368.00,64.35,1.32
31/05/22 at 03:38AM,0.00,0.00,0.00,0.00,0.00,-4164.30,-4614.00,-3657.00,160.42,3.28
31/05/22 at 03:48AM,0.00,0.00,0.00,0.00,0.00,-4607.30,-5550.00,-4092.00,59.04,0.41
31/05/22 at 03:59AM,0.00,0.00,0.00,0.00,0.00,-3950.10,-4610.00,-3127.00,137.91,4.67
31/05/22 at 04:09AM,0.00,0.00,0.00,0.00,0.00,-4053.10,-4643.00,-3658.00,97.43,4.01
31/05/22 at 04:19AM,0.00,0.00,0.00,0.00,0.00,-3684.90,-4155.00,-3294.00,148.66,6.40
31/05/22 at 04:29AM,0.00,0.00,0.00,0.00,0.00,-4015.10,-4903.00,-3129.00,27.23,4.25
31/05/22 at 04:39AM,0.00,0.00,0.00,0.00,0.00,-3949.60,-4979.00,-3323.00,124.47,4.68
31/05/22 at 04:49AM,0.00,0.00,0.00,0.00,0.00,-4304.00,-5088.00,-3228.00,59.13,2.38
31/05/22 at 04:59AM,0.00,0.00,0.00,0.00,0.00,-4121.20,-5182.00,-3226.00,335.45,3.56
31/05/22 at 05:09AM,0.00,0.00,0.00,0.00,0.00,-4655.70,-5752.00,-3651.00,346.68,0.09
31/05/22 at 05:19AM,0.00,0.00,0.00,0.00,0.00,-4728.70,-5316.00,-4397.00,11.61,-0.38
31/05/22 at 05:29AM,0.00,0.00,0.00,0.00,0.00,-4083.00,-4660.00,-3395.00,164.75,3.81
31/05/22 at 05:39AM,0.00,0.00,0.00,0.00,0.00,-4189.40,-4922.00,-3290.00,170.95,3.12
31/05/22 at 05:49AM,0.00,0.00,0.00,0.00,0.00,-3984.40,-5068.00,-3095.00,231.29,4.45
31/05/22 at 05:59AM,0.00,0.00,0.00,0.00,0.00,-4347.30,-5138.00,-2361.00,11.29,2.10
31/05/22 at 06:09AM,0.00,0.00,0.00,0.00,0.00,-4566.70,-5313.00,-3822.00,23.94,0.67
31/05/22 at 06:19AM,0.00,0.00,0.00,0.00,0.00,-4386.80,-4809.00,-3408.00,309.52,1.84
31/05/22 at 06:29AM,0.00,0.00,0.00,0.00,0.00,-4127.50,-4911.00,-3076.00,100.72,3.52
31/05/22 at 06:39AM,0.00,0.00,0.00,0.00,0.00,-4323.90,-4850.00,-3513.00,63.91,2.25
31/05/22 at 06:49AM,0.10,0.00,1.00,0.03,0.49,-4140.20,-4974.00,-3335.00,96.70,3.44
31/05/22 at 06:59AM,0.00,0.00,0.00,0.00,0.00,-4342.40,-5296.00,-3913.00,33.96,2.13
31/05/22 at 07:09AM,0.00,0.00,0.00,0.00,0.00,-4383.50,-5320.00,-3565.00,296.15,1.86
31/05/22 at 07:19AM,0.00,0.00,0.00,0.00,0.00,-4595.90,-5153.00,-4096.00,52.46,0.48
31/05/22 at 07:29AM,0.00,0.00,0.00,0.00,0.00,-4026.20,-4959.00,-3189.00,294.98,4.18
31/05/22 at 07:39AM,0.00,0.00,0.00,0.00,0.00,-4426.40,-4954.00,-3924.00,25.49,1.58
31/05/22 at 07:49AM,0.00,0.00,0.00,0.00,0.00,-3871.90,-4426.00,-3405.00,149.61,5.18
31/05/22 at 07:59AM,0.00,0.00,0.00,0.00,0.00,-4180.80,-5306.00,-2613.00,66.47,3.18
31/05/22 at 08:09AM,0.00,0.00,0.00,0.00,0.00,-4473.90,-5165.00,-3646.00,203.37,1.27
31/05/22 at 08:19AM,0.00,0.00,0.00,0.00,0.00,-3925.00,-4421.00,-3283.00,118.90,4.84
31/05/22 at 08:29AM,0.00,0.00,0.00,0.00,0.00,-4172.40,-4681.00,-3434.00,31.81,3.23
31/05/22 at 08:39AM,0.00,0.00,0.00,0.00,0.00,-3378.50,-3933.00,-2680.00,119.69,8.39
31/05/22 at 08:49AM,0.00,0.00,0.00,0.00,0.00,-3086.40,-3923.00,-2352.00,25.11,10.28
