Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
04/07/22 at 12:00AM,23.20,23.00,24.00,0.06,113.68,15497.70,15137.00,15987.00,98.25,130.96
04/07/22 at 12:10AM,22.00,21.00,23.00,0.00,107.80,14651.20,13976.00,15351.00,89.87,125.46
04/07/22 at 12:20AM,21.50,21.00,22.00,0.16,105.35,14531.30,13668.00,15645.00,254.66,124.68
04/07/22 at 12:30AM,20.80,19.00,21.00,0.06,101.92,13926.10,13296.00,14560.00,200.46,120.75
04/07/22 at 12:40AM,3.30,3.00,4.00,0.09,16.17,-629.80,-1382.00,-110.00,26.50,26.24
04/07/22 at 12:50AM,19.50,18.00,21.00,0.16,95.55,12812.60,11396.00,14060.00,447.97,113.52
04/07/22 at 01:00AM,20.30,20.00,21.00,0.09,99.47,13199.60,12471.00,14169.00,230.40,116.04
04/07/22 at 01:11AM,18.90,18.00,19.00,0.03,92.61,12143.90,10982.00,13220.00,76.87,109.18
04/07/22 at 01:21AM,21.70,21.00,23.00,0.09,106.33,13888.00,13283.00,14375.00,104.67,120.51
04/07/22 at 01:31AM,21.40,21.00,22.00,0.19,104.86,13919.30,13265.00,14701.00,179.40,120.71
04/07/22 at 01:41AM,13.90,13.00,14.00,0.03,68.11,7555.00,6632.00,8259.00,222.62,79.38
04/07/22 at 01:51AM,19.40,19.00,20.00,0.13,95.06,11709.50,10858.00,12262.00,269.27,106.36
04/07/22 at 02:01AM,18.90,18.00,20.00,0.28,92.61,11509.00,11077.00,11952.00,12.65,105.06
04/07/22 at 02:11AM,17.70,17.00,18.00,0.22,86.73,10468.30,9961.00,10957.00,73.14,98.30
04/07/22 at 02:21AM,16.20,16.00,17.00,0.06,79.38,9008.00,8555.00,9362.00,88.54,88.82
04/07/22 at 02:31AM,16.20,15.00,17.00,0.25,79.38,9208.50,8667.00,9911.00,171.24,90.12
04/07/22 at 02:41AM,2.50,2.00,3.00,0.16,12.25,-1101.40,-1666.00,-564.00,2.97,23.17
