Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
19/08/22 at 12:05AM,0.00,0.00,0.00,0.00,0.00,-3962.10,-4496.00,-2947.00,137.91,4.60
19/08/22 at 12:15AM,0.00,0.00,0.00,0.00,0.00,-3863.80,-4546.00,-3209.00,123.90,5.24
19/08/22 at 12:25AM,0.00,0.00,0.00,0.00,0.00,-3815.00,-4634.00,-3162.00,109.73,5.55
19/08/22 at 12:35AM,0.00,0.00,0.00,0.00,0.00,-4357.00,-4931.00,-3277.00,21.82,2.03
19/08/22 at 12:45AM,0.00,0.00,0.00,0.00,0.00,-3959.90,-4450.00,-3157.00,111.34,4.61
19/08/22 at 12:55AM,0.00,0.00,0.00,0.00,0.00,-3774.50,-4512.00,-2828.00,138.35,5.81
19/08/22 at 01:05AM,0.00,0.00,0.00,0.00,0.00,-3779.40,-4444.00,-3244.00,210.17,5.78
19/08/22 at 01:15AM,0.00,0.00,0.00,0.00,0.00,-3904.80,-4656.00,-3253.00,66.79,4.97
19/08/22 at 01:25AM,0.00,0.00,0.00,0.00,0.00,-4263.50,-5315.00,-3472.00,14.07,2.64
19/08/22 at 01:35AM,0.00,0.00,0.00,0.00,0.00,-4654.50,-5219.00,-4014.00,27.67,0.10
19/08/22 at 01:45AM,0.00,0.00,0.00,0.00,0.00,-4491.00,-5258.00,-3739.00,18.34,1.16
19/08/22 at 01:17AM,11.60,11.00,12.00,0.13,56.84,4244.30,3914.00,4535.00,42.60,57.89
19/08/22 at 01:27AM,7.30,6.00,8.00,0.22,35.77,675.20,439.00,970.00,13.34,34.71
19/08/22 at 01:37AM,7.80,7.00,8.00,0.06,38.22,1133.20,881.00,1547.00,7.65,37.68
19/08/22 at 01:47AM,6.20,6.00,7.00,0.06,30.38,-66.60,-549.00,117.00,152.55,29.89
19/08/22 at 01:57AM,1.80,1.00,3.00,0.06,8.82,-1803.60,-2459.00,-752.00,87.09,18.61
19/08/22 at 02:07AM,2.20,2.00,3.00,0.06,10.78,-1701.90,-2266.00,-1159.00,12.62,19.27
19/08/22 at 02:17AM,0.60,0.00,1.00,0.19,2.94,-2678.50,-3691.00,-1639.00,116.21,12.93
19/08/22 at 02:27AM,0.50,0.00,3.00,0.16,2.45,-3412.10,-3734.00,-3158.00,101.79,8.17
19/08/22 at 02:37AM,0.00,0.00,0.00,0.00,0.00,-3909.60,-4486.00,-3478.00,47.24,4.94
19/08/22 at 02:47AM,0.00,0.00,0.00,0.00,0.00,-3350.50,-4617.00,-2373.00,309.11,8.57
19/08/22 at 02:57AM,1.10,1.00,2.00,0.03,5.39,-2703.30,-3888.00,-2166.00,62.39,12.77
19/08/22 at 03:07AM,0.90,0.00,1.00,0.03,4.41,-2871.90,-3155.00,-2614.00,15.78,11.68
19/08/22 at 03:17AM,2.20,2.00,3.00,0.06,10.78,-1645.30,-2208.00,-1202.00,177.94,19.64
19/08/22 at 03:27AM,3.20,3.00,4.00,0.06,15.68,-1091.50,-1832.00,-30.00,234.17,23.24
19/08/22 at 03:37AM,3.70,3.00,4.00,0.09,18.13,-1020.20,-1353.00,-670.00,87.53,23.70
19/08/22 at 03:47AM,3.00,3.00,3.00,0.00,14.70,-1211.20,-1536.00,-327.00,71.72,22.46
19/08/22 at 03:57AM,1.20,1.00,2.00,0.06,5.88,-2099.10,-3615.00,-1170.00,232.08,16.69
19/08/22 at 04:07AM,2.10,2.00,3.00,0.03,10.29,-1912.20,-2527.00,-1264.00,194.42,17.91
19/08/22 at 04:17AM,0.00,0.00,0.00,0.00,0.00,-3396.70,-3907.00,-2865.00,161.37,8.27
19/08/22 at 04:27AM,0.80,0.00,2.00,0.06,3.92,-2714.60,-3040.00,-2092.00,46.93,12.70
19/08/22 at 04:37AM,1.80,1.00,3.00,0.25,8.82,-2208.10,-3124.00,-1312.00,8.89,15.99
19/08/22 at 04:47AM,0.70,0.00,1.00,0.09,3.43,-2552.40,-3989.00,-1620.00,30.80,13.75
19/08/22 at 04:57AM,1.30,1.00,2.00,0.09,6.37,-1943.30,-2886.00,-1056.00,53.54,17.71
19/08/22 at 05:07AM,1.40,0.00,2.00,0.19,6.86,-2000.30,-2447.00,-1684.00,2.62,17.34
