Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
08/08/22 at 12:09AM,0.00,0.00,0.00,0.00,0.00,-3902.50,-4545.00,-3207.00,203.18,4.98
08/08/22 at 12:19AM,0.00,0.00,0.00,0.00,0.00,-3995.60,-4980.00,-2753.00,311.29,4.38
08/08/22 at 12:29AM,0.00,0.00,0.00,0.00,0.00,-4260.00,-4936.00,-3713.00,186.57,2.66
08/08/22 at 12:39AM,0.00,0.00,0.00,0.00,0.00,-3662.30,-4163.00,-2782.00,278.38,6.54
08/08/22 at 12:49AM,0.00,0.00,0.00,0.00,0.00,-4294.70,-4836.00,-3584.00,155.81,2.44
08/08/22 at 12:59AM,0.00,0.00,0.00,0.00,0.00,-4563.60,-4912.00,-4080.00,102.33,0.69
08/08/22 at 01:09AM,0.00,0.00,0.00,0.00,0.00,-4403.80,-5249.00,-3318.00,92.59,1.73
08/08/22 at 01:19AM,0.00,0.00,0.00,0.00,0.00,-3543.90,-4265.00,-2749.00,62.33,7.31
08/08/22 at 01:29AM,0.00,0.00,0.00,0.00,0.00,-3576.70,-4667.00,-2567.00,47.02,7.10
08/08/22 at 01:39AM,0.00,0.00,0.00,0.00,0.00,-3542.20,-4409.00,-2941.00,102.20,7.32
08/08/22 at 01:49AM,0.00,0.00,0.00,0.00,0.00,-4205.30,-4830.00,-3460.00,197.55,3.02
08/08/22 at 01:59AM,0.00,0.00,0.00,0.00,0.00,-4206.10,-5132.00,-3472.00,292.80,3.01
08/08/22 at 02:09AM,0.00,0.00,0.00,0.00,0.00,-4186.40,-5228.00,-3189.00,315.41,3.14
08/08/22 at 02:19AM,0.00,0.00,0.00,0.00,0.00,-3834.50,-4466.00,-2579.00,397.02,5.43
08/08/22 at 02:29AM,0.00,0.00,0.00,0.00,0.00,-4170.90,-5583.00,-3427.00,218.55,3.24
08/08/22 at 02:39AM,0.00,0.00,0.00,0.00,0.00,-4344.10,-5091.00,-3676.00,34.50,2.12
08/08/22 at 02:49AM,0.00,0.00,0.00,0.00,0.00,-4040.40,-4740.00,-2993.00,32.07,4.09
08/08/22 at 02:59AM,0.00,0.00,0.00,0.00,0.00,-4138.20,-4824.00,-3166.00,2.59,3.45
08/08/22 at 03:10AM,0.00,0.00,0.00,0.00,0.00,-4428.80,-5381.00,-3824.00,152.17,1.57
08/08/22 at 03:20AM,0.00,0.00,0.00,0.00,0.00,-4081.10,-4970.00,-3024.00,334.28,3.82
08/08/22 at 03:30AM,0.00,0.00,0.00,0.00,0.00,-4691.40,-5419.00,-3976.00,65.97,-0.14
08/08/22 at 03:40AM,0.00,0.00,0.00,0.00,0.00,-3848.60,-4405.00,-3459.00,20.11,5.33
08/08/22 at 03:50AM,0.00,0.00,0.00,0.00,0.00,-4309.70,-5487.00,-2418.00,337.51,2.34
08/08/22 at 04:00AM,0.00,0.00,0.00,0.00,0.00,-4302.40,-4600.00,-3556.00,75.14,2.39
08/08/22 at 04:10AM,0.00,0.00,0.00,0.00,0.00,-4434.20,-4793.00,-3856.00,96.51,1.53
08/08/22 at 04:20AM,0.00,0.00,0.00,0.00,0.00,-3875.50,-4594.00,-3092.00,101.35,5.16
08/08/22 at 04:30AM,0.00,0.00,0.00,0.00,0.00,-3538.10,-4114.00,-3042.00,137.27,7.35
08/08/22 at 04:40AM,0.00,0.00,0.00,0.00,0.00,-4752.50,-5457.00,-3640.00,6.17,-0.54
08/08/22 at 04:50AM,0.00,0.00,0.00,0.00,0.00,-4580.20,-5406.00,-3720.00,41.81,0.58
08/08/22 at 05:00AM,0.00,0.00,0.00,0.00,0.00,-4601.60,-5832.00,-3893.00,15.31,0.44
08/08/22 at 05:10AM,0.00,0.00,0.00,0.00,0.00,-4409.00,-5219.00,-3903.00,89.49,1.69
08/08/22 at 05:20AM,0.00,0.00,0.00,0.00,0.00,-4670.70,-5161.00,-4185.00,155.05,-0.00
08/08/22 at 05:30AM,0.00,0.00,0.00,0.00,0.00,-4335.30,-4689.00,-3877.00,29.31,2.17
08/08/22 at 05:40AM,0.00,0.00,0.00,0.00,0.00,-4095.80,-4399.00,-3682.00,4.05,3.73
08/08/22 at 05:50AM,0.00,0.00,0.00,0.00,0.00,-4512.20,-4959.00,-4003.00,24.73,1.02
08/08/22 at 06:00AM,0.00,0.00,0.00,0.00,0.00,-4406.90,-5039.00,-3694.00,101.48,1.71
08/08/22 at 06:10AM,0.00,0.00,0.00,0.00,0.00,-3481.70,-4213.00,-2881.00,163.39,7.72
08/08/22 at 06:20AM,0.00,0.00,0.00,0.00,0.00,-4261.00,-4915.00,-3651.00,43.01,2.66
08/08/22 at 06:30AM,0.00,0.00,0.00,0.00,0.00,-3930.20,-4932.00,-3245.00,111.69,4.80
08/08/22 at 06:40AM,0.00,0.00,0.00,0.00,0.00,-4610.50,-5287.00,-3979.00,26.72,0.39
08/08/22 at 06:50AM,0.00,0.00,0.00,0.00,0.00,-4137.80,-4607.00,-3297.00,21.44,3.46
08/08/22 at 07:00AM,0.10,0.00,1.00,0.03,0.49,-3109.50,-3699.00,-2143.00,305.63,10.13
08/08/22 at 07:10AM,1.30,1.00,2.00,0.22,6.37,-2198.20,-2594.00,-1660.00,102.71,16.05
08/08/22 at 07:20AM,2.80,2.00,3.00,0.25,13.72,-1489.30,-2148.00,-892.00,59.67,20.65
08/08/22 at 07:30AM,3.30,3.00,4.00,0.22,16.17,-1224.30,-1627.00,-715.00,161.05,22.37
08/08/22 at 07:40AM,5.20,5.00,6.00,0.06,25.48,-767.40,-1039.00,-538.00,48.51,25.34
08/08/22 at 07:50AM,6.80,6.00,7.00,0.25,33.32,223.10,-91.00,556.00,54.11,31.77
08/08/22 at 08:00AM,7.90,7.00,9.00,0.28,38.71,1406.60,1231.00,1572.00,33.71,39.46
08/08/22 at 08:10AM,8.90,8.00,9.00,0.03,43.61,2003.20,1458.00,2349.00,68.87,43.33
08/08/22 at 08:20AM,10.00,10.00,10.00,0.00,49.00,2766.50,2343.00,3069.00,133.92,48.29
08/08/22 at 08:30AM,11.50,11.00,13.00,0.16,56.35,3292.20,2278.00,4191.00,81.52,51.70
08/08/22 at 08:40AM,12.70,12.00,13.00,0.09,62.23,4640.20,3391.00,5738.00,195.49,60.46
08/08/22 at 08:50AM,13.20,12.00,14.00,0.25,64.68,5717.50,5257.00,6477.00,70.36,67.45
08/08/22 at 09:00AM,14.60,14.00,15.00,0.13,71.54,6128.00,5397.00,7030.00,24.67,70.12
08/08/22 at 09:10AM,15.00,14.00,16.00,0.00,73.50,6710.40,5884.00,8028.00,254.37,73.90
08/08/22 at 09:20AM,16.40,16.00,19.00,0.13,80.36,6622.80,3666.00,8310.00,54.64,73.33
08/08/22 at 09:30AM,16.90,16.00,18.00,0.03,82.81,7673.60,6365.00,8259.00,93.73,80.15
08/08/22 at 09:40AM,17.60,17.00,18.00,0.13,86.24,9409.20,8751.00,9841.00,109.35,91.42
08/08/22 at 09:50AM,18.10,18.00,19.00,0.03,88.69,10481.60,9785.00,11219.00,220.28,98.39
08/08/22 at 10:00AM,18.90,18.00,20.00,0.28,92.61,9642.40,8755.00,10861.00,122.19,92.94
08/08/22 at 10:10AM,19.10,19.00,20.00,0.03,93.59,10034.30,8784.00,11343.00,1.17,95.48
08/08/22 at 10:20AM,19.40,19.00,20.00,0.13,95.06,10327.40,9166.00,11425.00,15.94,97.39
08/08/22 at 10:30AM,19.70,19.00,21.00,0.22,96.53,11283.30,10735.00,12226.00,146.82,103.59
08/08/22 at 10:40AM,20.20,20.00,21.00,0.06,98.98,12618.00,11539.00,13700.00,12.33,112.26
08/08/22 at 10:51AM,20.50,20.00,21.00,0.16,100.45,12727.20,12309.00,13433.00,34.85,112.97
08/08/22 at 11:01AM,21.10,20.00,22.00,0.03,103.39,13330.80,12367.00,14364.00,8.79,116.89
08/08/22 at 11:11AM,21.20,21.00,22.00,0.06,103.88,13381.40,12857.00,14032.00,118.71,117.22
08/08/22 at 11:21AM,21.60,21.00,22.00,0.13,105.84,13468.30,12794.00,14078.00,164.85,117.78
08/08/22 at 11:31AM,22.10,21.00,23.00,0.03,108.29,13897.50,13582.00,14415.00,67.51,120.57
08/08/22 at 11:41AM,21.90,21.00,22.00,0.03,107.31,14031.70,13435.00,14430.00,70.74,121.44
08/08/22 at 11:51AM,21.80,21.00,22.00,0.06,106.82,14197.10,13864.00,14407.00,57.90,122.51
08/08/22 at 12:01PM,21.70,21.00,22.00,0.09,106.33,13862.60,13391.00,14465.00,149.13,120.34
08/08/22 at 12:11PM,21.90,21.00,22.00,0.03,107.31,14576.60,13683.00,15213.00,48.19,124.98
08/08/22 at 12:21PM,21.50,21.00,22.00,0.16,105.35,14596.80,14049.00,15624.00,167.22,125.11
08/08/22 at 12:31PM,21.60,21.00,23.00,0.13,105.84,14478.10,13536.00,15123.00,297.92,124.34
08/08/22 at 12:41PM,20.70,20.00,22.00,0.22,101.43,13213.70,12739.00,13802.00,3.57,116.13
08/08/22 at 12:51PM,21.50,21.00,22.00,0.16,105.35,13677.70,13052.00,14299.00,174.15,119.14
08/08/22 at 01:01PM,21.00,21.00,21.00,0.00,102.90,13760.00,13379.00,14281.00,62.30,119.68
08/08/22 at 01:11PM,20.60,20.00,21.00,0.13,100.94,13992.00,12893.00,15151.00,149.89,121.18
08/08/22 at 01:21PM,19.80,19.00,20.00,0.25,97.02,13360.90,12273.00,14180.00,192.23,117.08
08/08/22 at 01:31PM,19.90,19.00,20.00,0.03,97.51,12977.50,12472.00,13804.00,106.09,114.59
08/08/22 at 01:41PM,19.60,19.00,20.00,0.19,96.04,12390.20,11839.00,13173.00,20.81,110.78
08/08/22 at 01:51PM,18.90,18.00,20.00,0.03,92.61,12316.70,10919.00,13243.00,292.92,110.30
08/08/22 at 02:01PM,18.20,18.00,19.00,0.06,89.18,11162.70,9450.00,12522.00,242.96,102.81
08/08/22 at 02:11PM,17.00,16.00,18.00,0.00,83.30,10074.80,9664.00,10467.00,129.91,95.75
08/08/22 at 02:21PM,17.10,17.00,18.00,0.03,83.79,10321.10,9374.00,11485.00,180.60,97.34
08/08/22 at 02:31PM,16.70,16.00,18.00,0.22,81.83,10124.30,9073.00,11371.00,119.31,96.07
08/08/22 at 02:41PM,16.10,16.00,17.00,0.03,78.89,9531.80,8266.00,10332.00,167.35,92.22
08/08/22 at 02:51PM,15.90,15.00,16.00,0.03,77.91,8938.90,8218.00,9445.00,68.02,88.37
08/08/22 at 03:01PM,15.00,14.00,16.00,0.00,73.50,8771.30,8070.00,9850.00,47.21,87.28
08/08/22 at 03:11PM,14.30,14.00,15.00,0.22,70.07,7649.50,7149.00,8226.00,0.47,80.00
08/08/22 at 03:21PM,13.80,13.00,14.00,0.06,67.62,7873.80,7110.00,8366.00,31.24,81.45
08/08/22 at 03:31PM,13.20,13.00,14.00,0.06,64.68,6761.50,6344.00,7052.00,79.53,74.23
08/08/22 at 03:41PM,12.20,12.00,13.00,0.06,59.78,6161.60,5211.00,6802.00,300.61,70.34
08/08/22 at 03:51PM,11.70,11.00,13.00,0.09,57.33,5330.10,4950.00,5937.00,75.23,64.94
08/08/22 at 04:01PM,10.90,10.00,12.00,0.03,53.41,4800.70,3958.00,5373.00,180.98,61.50
08/08/22 at 04:11PM,10.00,10.00,10.00,0.00,49.00,4306.90,4008.00,4670.00,63.85,58.29
08/08/22 at 04:21PM,8.70,8.00,10.00,0.22,42.63,3326.50,2984.00,3715.00,108.31,51.93
08/08/22 at 04:31PM,8.50,8.00,9.00,0.16,41.65,2783.80,2328.00,3298.00,40.41,48.40
08/08/22 at 04:41PM,7.70,7.00,8.00,0.09,37.73,1768.80,1105.00,2386.00,4.49,41.81
08/08/22 at 04:51PM,6.90,6.00,7.00,0.03,33.81,2105.00,1227.00,2687.00,148.63,43.99
08/08/22 at 05:02PM,6.20,6.00,7.00,0.06,30.38,1592.00,1279.00,1939.00,109.73,40.66
08/08/22 at 05:12PM,5.30,5.00,6.00,0.09,25.97,500.70,-92.00,1078.00,12.11,33.58
08/08/22 at 05:22PM,4.60,4.00,5.00,0.19,22.54,-493.80,-1232.00,165.00,80.39,27.12
08/08/22 at 05:32PM,4.20,4.00,5.00,0.06,20.58,-374.20,-940.00,20.00,124.66,27.89
08/08/22 at 05:42PM,3.70,3.00,4.00,0.22,18.13,-864.10,-1333.00,-522.00,32.29,24.71
08/08/22 at 05:52PM,2.80,2.00,3.00,0.06,13.72,-1113.30,-1905.00,-618.00,22.36,23.10
08/08/22 at 06:02PM,2.80,2.00,3.00,0.25,13.72,-1496.80,-2528.00,-851.00,115.68,20.61
08/08/22 at 06:12PM,2.20,2.00,3.00,0.06,10.78,-2170.50,-2625.00,-1291.00,129.18,16.23
08/08/22 at 06:22PM,1.70,1.00,3.00,0.22,8.33,-2167.80,-2895.00,-1525.00,94.30,16.25
08/08/22 at 06:32PM,1.80,1.00,2.00,0.06,8.82,-2054.00,-2532.00,-1706.00,66.72,16.99
08/08/22 at 06:42PM,1.60,1.00,2.00,0.19,7.84,-2723.30,-3185.00,-2082.00,47.34,12.64
08/08/22 at 06:52PM,1.20,1.00,2.00,0.06,5.88,-2609.60,-3302.00,-2052.00,3.60,13.38
08/08/22 at 07:02PM,1.20,1.00,2.00,0.06,5.88,-2647.40,-3444.00,-2061.00,185.44,13.13
08/08/22 at 07:12PM,1.10,0.00,3.00,0.03,5.39,-2774.80,-3116.00,-2374.00,13.22,12.31
08/08/22 at 07:22PM,0.80,0.00,1.00,0.06,3.92,-2867.30,-3406.00,-2243.00,69.66,11.71
08/08/22 at 07:32PM,0.50,0.00,1.00,0.16,2.45,-2845.10,-3584.00,-2116.00,37.28,11.85
08/08/22 at 07:42PM,0.40,0.00,1.00,0.13,1.96,-2868.00,-3283.00,-2255.00,71.47,11.70
08/08/22 at 07:52PM,0.10,0.00,1.00,0.03,0.49,-3501.00,-3738.00,-3189.00,7.91,7.59
08/08/22 at 08:02PM,0.30,0.00,1.00,0.09,1.47,-3328.30,-3677.00,-2936.00,0.09,8.71
08/08/22 at 08:12PM,0.30,0.00,2.00,0.09,1.47,-3596.90,-3917.00,-2845.00,56.00,6.97
08/08/22 at 08:22PM,0.00,0.00,0.00,0.00,0.00,-3789.60,-4345.00,-3401.00,9.30,5.72
08/08/22 at 08:32PM,0.00,0.00,0.00,0.00,0.00,-3718.10,-3962.00,-3387.00,45.51,6.18
