Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
23/07/22 at 12:00AM,5.90,5.00,6.00,0.03,28.91,43.80,-141.00,382.00,48.00,30.61
23/07/22 at 12:10AM,16.10,15.00,17.00,0.03,78.89,8041.90,7109.00,8842.00,295.01,82.54
23/07/22 at 12:20AM,18.10,18.00,19.00,0.03,88.69,9123.90,8038.00,10458.00,172.63,89.57
23/07/22 at 12:30AM,20.80,20.00,21.00,0.25,101.92,11720.50,10261.00,12893.00,23.88,106.43
23/07/22 at 12:40AM,18.00,17.00,19.00,0.00,88.20,9806.40,8162.00,10660.00,520.01,94.00
23/07/22 at 12:50AM,18.40,17.00,19.00,0.19,90.16,10665.40,9925.00,11170.00,27.64,99.58
23/07/22 at 01:00AM,19.10,18.00,20.00,0.03,93.59,11819.50,10800.00,13019.00,322.39,107.07
23/07/22 at 01:10AM,19.80,19.00,20.00,0.25,97.02,11889.00,11379.00,12516.00,119.53,107.53
23/07/22 at 01:20AM,19.60,19.00,20.00,0.13,96.04,11698.30,11012.00,12744.00,103.63,106.29
23/07/22 at 01:30AM,0.00,0.00,0.00,0.00,0.00,-3236.90,-4065.00,-2248.00,185.02,9.31
23/07/22 at 01:40AM,22.30,22.00,23.00,0.22,109.27,14644.10,13010.00,16072.00,516.75,125.42
23/07/22 at 01:50AM,21.30,21.00,22.00,0.22,104.37,13696.20,13118.00,14331.00,182.84,119.26
23/07/22 at 02:00AM,23.00,22.00,24.00,0.32,112.70,15382.30,14050.00,15987.00,191.22,130.21
23/07/22 at 02:10AM,17.30,2.00,22.00,1.17,84.77,6577.70,-2692.00,13834.00,2294.64,73.04
23/07/22 at 02:20AM,22.80,22.00,23.00,0.06,111.72,15698.30,15367.00,16465.00,36.59,132.26
23/07/22 at 02:30AM,22.00,22.00,22.00,0.00,107.80,15003.60,14065.00,15699.00,219.90,127.75
23/07/22 at 02:40AM,21.60,21.00,22.00,0.13,105.84,14480.70,13810.00,15335.00,133.54,124.36
23/07/22 at 02:50AM,22.00,21.00,23.00,0.00,107.80,14849.30,14263.00,15729.00,130.38,126.75
23/07/22 at 03:00AM,19.80,19.00,20.00,0.06,97.02,13204.60,12557.00,14315.00,351.14,116.07
23/07/22 at 03:10AM,23.40,23.00,24.00,0.13,114.66,15657.10,14849.00,16850.00,377.23,131.99
23/07/22 at 03:20AM,5.80,5.00,6.00,0.06,28.42,927.30,601.00,1279.00,58.60,36.35
23/07/22 at 03:30AM,22.20,22.00,23.00,0.06,108.78,15027.20,14454.00,15532.00,159.63,127.90
23/07/22 at 03:40AM,16.40,16.00,17.00,0.13,80.36,9746.30,8875.00,10186.00,87.06,93.61
23/07/22 at 03:50AM,22.20,22.00,23.00,0.06,108.78,14602.80,13809.00,15498.00,97.65,125.15
23/07/22 at 04:00AM,24.30,24.00,25.00,0.22,119.07,16691.30,16153.00,17222.00,148.22,138.71
23/07/22 at 04:10AM,9.20,9.00,10.00,0.06,45.08,3595.10,3061.00,3976.00,76.56,53.67
23/07/22 at 04:20AM,21.20,21.00,22.00,0.25,103.88,14021.40,13509.00,14679.00,70.33,121.37
23/07/22 at 04:30AM,19.80,19.00,21.00,0.25,97.02,12607.20,12043.00,12886.00,88.16,112.19
23/07/22 at 04:40AM,5.10,5.00,6.00,0.03,24.99,439.40,-368.00,1056.00,5.50,33.18
23/07/22 at 04:50AM,12.80,12.00,13.00,0.06,62.72,6151.90,5693.00,6416.00,4.08,70.27
23/07/22 at 05:01AM,3.50,3.00,4.00,0.16,17.15,-289.40,-575.00,80.00,90.31,28.45
23/07/22 at 05:11AM,15.50,14.00,17.00,0.16,75.95,9119.30,8094.00,10267.00,324.23,89.54
23/07/22 at 05:21AM,18.80,18.00,19.00,0.06,92.12,11526.90,10904.00,12111.00,184.71,105.17
23/07/22 at 05:31AM,17.50,17.00,19.00,0.16,85.75,10364.60,9593.00,11109.00,116.56,97.63
23/07/22 at 05:41AM,1.20,0.00,2.00,0.25,5.88,-2282.30,-2693.00,-1175.00,112.48,15.50
