Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
28/05/22 at 12:09AM,0.00,0.00,0.00,0.00,0.00,-4356.90,-5480.00,-3529.00,147.01,2.03
28/05/22 at 12:19AM,0.00,0.00,0.00,0.00,0.00,-4442.00,-5344.00,-3642.00,24.03,1.48
28/05/22 at 12:29AM,0.00,0.00,0.00,0.00,0.00,-4551.00,-5328.00,-3475.00,31.31,0.77
28/05/22 at 12:39AM,0.00,0.00,0.00,0.00,0.00,-4246.20,-4737.00,-3669.00,182.53,2.75
28/05/22 at 12:49AM,0.00,0.00,0.00,0.00,0.00,-4469.70,-5021.00,-3810.00,198.81,1.30
28/05/22 at 12:59AM,0.50,0.00,5.00,0.16,2.45,-4217.70,-4930.00,-3310.00,34.69,2.94
28/05/22 at 01:09AM,0.00,0.00,0.00,0.00,0.00,-4156.80,-4552.00,-3602.00,175.44,3.33
28/05/22 at 01:19AM,0.00,0.00,0.00,0.00,0.00,-4286.80,-5238.00,-3205.00,91.14,2.49
28/05/22 at 01:29AM,0.00,0.00,0.00,0.00,0.00,-4313.50,-5253.00,-3532.00,102.62,2.31
28/05/22 at 01:39AM,0.00,0.00,0.00,0.00,0.00,-4714.90,-5074.00,-4269.00,85.73,-0.29
28/05/22 at 01:49AM,0.00,0.00,0.00,0.00,0.00,-3942.70,-4980.00,-2937.00,146.51,4.72
28/05/22 at 01:59AM,0.00,0.00,0.00,0.00,0.00,-4088.00,-5062.00,-2686.00,31.62,3.78
28/05/22 at 02:09AM,0.00,0.00,0.00,0.00,0.00,-4537.00,-5351.00,-3603.00,5.06,0.86
28/05/22 at 02:20AM,0.00,0.00,0.00,0.00,0.00,-4371.20,-4938.00,-3217.00,108.40,1.94
28/05/22 at 02:30AM,0.00,0.00,0.00,0.00,0.00,-4489.10,-4883.00,-3858.00,124.56,1.17
28/05/22 at 02:40AM,0.00,0.00,0.00,0.00,0.00,-4254.60,-5077.00,-2680.00,243.69,2.70
28/05/22 at 02:50AM,0.00,0.00,0.00,0.00,0.00,-4699.40,-5284.00,-4103.00,184.87,-0.19
28/05/22 at 03:00AM,0.00,0.00,0.00,0.00,0.00,-4054.50,-4669.00,-3328.00,229.74,4.00
28/05/22 at 03:10AM,0.00,0.00,0.00,0.00,0.00,-4728.80,-5570.00,-4071.00,266.01,-0.38
28/05/22 at 03:20AM,0.00,0.00,0.00,0.00,0.00,-4661.60,-5744.00,-3894.00,57.11,0.05
28/05/22 at 03:30AM,0.00,0.00,0.00,0.00,0.00,-4420.50,-5630.00,-3405.00,126.97,1.62
28/05/22 at 03:40AM,0.00,0.00,0.00,0.00,0.00,-4407.80,-5102.00,-4032.00,118.84,1.70
28/05/22 at 03:50AM,0.00,0.00,0.00,0.00,0.00,-4086.80,-4657.00,-3530.00,180.31,3.79
28/05/22 at 04:00AM,0.00,0.00,0.00,0.00,0.00,-4343.70,-5656.00,-3055.00,48.92,2.12
28/05/22 at 04:10AM,0.00,0.00,0.00,0.00,0.00,-4701.40,-5382.00,-3553.00,363.16,-0.20
28/05/22 at 04:20AM,0.00,0.00,0.00,0.00,0.00,-4206.60,-5172.00,-3306.00,305.29,3.01
28/05/22 at 04:30AM,0.00,0.00,0.00,0.00,0.00,-4243.20,-5027.00,-3370.00,276.13,2.77
28/05/22 at 04:40AM,0.00,0.00,0.00,0.00,0.00,-4310.20,-5232.00,-3723.00,4.17,2.34
28/05/22 at 04:50AM,0.00,0.00,0.00,0.00,0.00,-4279.70,-5029.00,-3297.00,8.63,2.53
28/05/22 at 05:00AM,0.00,0.00,0.00,0.00,0.00,-4546.00,-5259.00,-3836.00,35.42,0.81
28/05/22 at 05:10AM,0.00,0.00,0.00,0.00,0.00,-4719.40,-5325.00,-4136.00,72.29,-0.32
28/05/22 at 05:20AM,0.00,0.00,0.00,0.00,0.00,-4778.80,-5317.00,-4019.00,56.67,-0.71
28/05/22 at 05:30AM,0.00,0.00,0.00,0.00,0.00,-4089.30,-4709.00,-3518.00,101.73,3.77
28/05/22 at 05:40AM,0.00,0.00,0.00,0.00,0.00,-4398.60,-4856.00,-3428.00,19.42,1.76
28/05/22 at 05:50AM,0.00,0.00,0.00,0.00,0.00,-3890.70,-4726.00,-3115.00,181.93,5.06
28/05/22 at 06:00AM,0.00,0.00,0.00,0.00,0.00,-3884.10,-4607.00,-3253.00,10.40,5.10
28/05/22 at 06:10AM,0.00,0.00,0.00,0.00,0.00,-3969.50,-4962.00,-2975.00,58.66,4.55
28/05/22 at 06:20AM,0.00,0.00,0.00,0.00,0.00,-3381.80,-4035.00,-2688.00,219.40,8.36
28/05/22 at 06:30AM,0.00,0.00,0.00,0.00,0.00,-3282.10,-4239.00,-2429.00,196.03,9.01
28/05/22 at 06:40AM,0.50,0.00,1.00,0.16,2.45,-2986.80,-3773.00,-2329.00,248.62,10.93
28/05/22 at 06:50AM,1.50,1.00,2.00,0.16,7.35,-2873.80,-3680.00,-2088.00,127.69,11.66
28/05/22 at 07:00AM,2.30,1.00,3.00,0.41,11.27,-1711.00,-2307.00,-1345.00,93.60,19.21
28/05/22 at 07:10AM,2.30,2.00,3.00,0.09,11.27,-1587.70,-2111.00,-1252.00,51.01,20.01
28/05/22 at 07:20AM,3.80,3.00,5.00,0.25,18.62,-939.40,-1531.00,-541.00,124.09,24.22
28/05/22 at 07:30AM,4.80,4.00,5.00,0.06,23.52,-765.00,-1012.00,-472.00,78.11,25.36
