Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
28/06/22 at 12:08AM,0.00,0.00,0.00,0.00,0.00,-4377.80,-4984.00,-3950.00,150.27,1.90
28/06/22 at 12:18AM,0.00,0.00,0.00,0.00,0.00,-3996.80,-4371.00,-3127.00,275.05,4.37
28/06/22 at 12:28AM,0.00,0.00,0.00,0.00,0.00,-4268.50,-5146.00,-3408.00,70.99,2.61
28/06/22 at 12:38AM,0.00,0.00,0.00,0.00,0.00,-4485.40,-4969.00,-4153.00,120.04,1.20
28/06/22 at 12:48AM,0.00,0.00,0.00,0.00,0.00,-4386.00,-5302.00,-3189.00,378.52,1.84
28/06/22 at 12:58AM,0.00,0.00,0.00,0.00,0.00,-4099.90,-4628.00,-3479.00,196.35,3.70
28/06/22 at 01:08AM,0.00,0.00,0.00,0.00,0.00,-4489.80,-5237.00,-3937.00,118.96,1.17
28/06/22 at 01:18AM,0.00,0.00,0.00,0.00,0.00,-4319.80,-5155.00,-3347.00,49.90,2.27
28/06/22 at 01:28AM,0.00,0.00,0.00,0.00,0.00,-4298.60,-5617.00,-2828.00,115.87,2.41
28/06/22 at 01:38AM,0.30,0.00,3.00,0.09,1.47,-4075.50,-4349.00,-3811.00,86.49,3.86
28/06/22 at 01:48AM,0.00,0.00,0.00,0.00,0.00,-4334.90,-4849.00,-3168.00,369.01,2.18
28/06/22 at 01:58AM,0.00,0.00,0.00,0.00,0.00,-4519.50,-5005.00,-3596.00,98.19,0.98
28/06/22 at 02:08AM,0.00,0.00,0.00,0.00,0.00,-4266.30,-5004.00,-3231.00,327.39,2.62
28/06/22 at 02:19AM,0.00,0.00,0.00,0.00,0.00,-4407.80,-4872.00,-3922.00,56.98,1.70
28/06/22 at 02:29AM,0.00,0.00,0.00,0.00,0.00,-4480.40,-5797.00,-3851.00,416.35,1.23
28/06/22 at 02:39AM,0.00,0.00,0.00,0.00,0.00,-4135.90,-5067.00,-3151.00,63.59,3.47
28/06/22 at 02:49AM,0.00,0.00,0.00,0.00,0.00,-4717.40,-5223.00,-4046.00,95.94,-0.31
28/06/22 at 02:59AM,0.00,0.00,0.00,0.00,0.00,-4266.80,-5147.00,-3066.00,131.30,2.62
28/06/22 at 03:09AM,0.00,0.00,0.00,0.00,0.00,-3670.40,-4319.00,-3146.00,205.11,6.49
28/06/22 at 03:19AM,0.00,0.00,0.00,0.00,0.00,-4304.40,-4628.00,-3632.00,157.92,2.37
28/06/22 at 03:29AM,0.00,0.00,0.00,0.00,0.00,-4383.60,-5124.00,-3389.00,78.93,1.86
28/06/22 at 03:39AM,0.00,0.00,0.00,0.00,0.00,-4437.30,-4888.00,-4035.00,127.22,1.51
28/06/22 at 03:49AM,0.00,0.00,0.00,0.00,0.00,-4756.40,-5302.00,-4253.00,172.53,-0.56
28/06/22 at 03:59AM,0.00,0.00,0.00,0.00,0.00,-3721.70,-4320.00,-2838.00,136.07,6.16
28/06/22 at 04:09AM,0.00,0.00,0.00,0.00,0.00,-4021.10,-5041.00,-3081.00,322.52,4.21
28/06/22 at 04:19AM,0.00,0.00,0.00,0.00,0.00,-3890.20,-4916.00,-3084.00,30.93,5.06
28/06/22 at 04:29AM,0.00,0.00,0.00,0.00,0.00,-4263.40,-4881.00,-3226.00,195.30,2.64
28/06/22 at 04:39AM,0.00,0.00,0.00,0.00,0.00,-3866.70,-4582.00,-3462.00,113.62,5.22
28/06/22 at 04:49AM,0.00,0.00,0.00,0.00,0.00,-4396.70,-4988.00,-3437.00,186.99,1.77
28/06/22 at 04:59AM,0.00,0.00,0.00,0.00,0.00,-4253.20,-4834.00,-3507.00,59.07,2.71
28/06/22 at 05:09AM,0.00,0.00,0.00,0.00,0.00,-4069.60,-4645.00,-3556.00,54.20,3.90
28/06/22 at 05:19AM,0.00,0.00,0.00,0.00,0.00,-4101.90,-5264.00,-3080.00,84.40,3.69
28/06/22 at 05:29AM,0.00,0.00,0.00,0.00,0.00,-4746.10,-5264.00,-4252.00,156.25,-0.49
28/06/22 at 05:39AM,0.00,0.00,0.00,0.00,0.00,-4435.30,-6009.00,-3433.00,36.59,1.52
28/06/22 at 05:49AM,0.00,0.00,0.00,0.00,0.00,-4915.70,-5510.00,-4344.00,165.61,-1.60
28/06/22 at 05:59AM,0.00,0.00,0.00,0.00,0.00,-4180.30,-4828.00,-3642.00,204.82,3.18
28/06/22 at 06:09AM,0.00,0.00,0.00,0.00,0.00,-3849.20,-5361.00,-2543.00,478.07,5.33
28/06/22 at 06:19AM,0.00,0.00,0.00,0.00,0.00,-3774.20,-4842.00,-2816.00,23.02,5.82
28/06/22 at 06:29AM,0.00,0.00,0.00,0.00,0.00,-4176.60,-5080.00,-2986.00,376.50,3.20
28/06/22 at 06:39AM,0.00,0.00,0.00,0.00,0.00,-4237.60,-5538.00,-3250.00,312.31,2.81
28/06/22 at 06:49AM,0.00,0.00,0.00,0.00,0.00,-4303.60,-4919.00,-3609.00,97.27,2.38
28/06/22 at 06:59AM,0.00,0.00,0.00,0.00,0.00,-4224.70,-5201.00,-3289.00,115.20,2.89
28/06/22 at 07:09AM,0.00,0.00,0.00,0.00,0.00,-4561.40,-5441.00,-3743.00,72.86,0.71
28/06/22 at 07:19AM,0.00,0.00,0.00,0.00,0.00,-4616.30,-4993.00,-4306.00,93.70,0.35
28/06/22 at 07:29AM,0.00,0.00,0.00,0.00,0.00,-4051.60,-5147.00,-3174.00,119.03,4.02
28/06/22 at 07:39AM,0.00,0.00,0.00,0.00,0.00,-3920.30,-4811.00,-2768.00,210.20,4.87
28/06/22 at 07:49AM,0.00,0.00,0.00,0.00,0.00,-3793.50,-4410.00,-2628.00,181.36,5.69
28/06/22 at 07:59AM,0.00,0.00,0.00,0.00,0.00,-3825.90,-4787.00,-3040.00,48.35,5.48
28/06/22 at 08:09AM,0.00,0.00,0.00,0.00,0.00,-3348.90,-4304.00,-2713.00,67.96,8.58
28/06/22 at 08:19AM,0.00,0.00,0.00,0.00,0.00,-3724.90,-4255.00,-2852.00,62.33,6.14
28/06/22 at 08:29AM,0.00,0.00,0.00,0.00,0.00,-3331.30,-3966.00,-2723.00,191.10,8.69
28/06/22 at 08:39AM,0.70,0.00,1.00,0.09,3.43,-2438.10,-3176.00,-1758.00,57.27,14.49
28/06/22 at 08:50AM,2.00,1.00,3.00,0.00,9.80,-2347.90,-2843.00,-1688.00,107.49,15.08
28/06/22 at 09:00AM,3.00,3.00,3.00,0.00,14.70,-1545.50,-1977.00,-974.00,125.38,20.29
28/06/22 at 09:10AM,3.80,3.00,4.00,0.25,18.62,-1056.00,-1378.00,-352.00,80.01,23.47
28/06/22 at 09:20AM,4.70,4.00,6.00,0.09,23.03,-951.40,-1313.00,-633.00,66.60,24.15
28/06/22 at 09:30AM,5.20,5.00,6.00,0.06,25.48,-598.30,-887.00,-63.00,0.73,26.44
28/06/22 at 09:40AM,6.30,6.00,7.00,0.09,30.87,-3.90,-443.00,517.00,138.86,30.30
28/06/22 at 09:50AM,7.30,7.00,8.00,0.09,35.77,664.50,393.00,827.00,51.39,34.64
28/06/22 at 10:00AM,8.50,8.00,9.00,0.16,41.65,1696.20,1429.00,2137.00,45.92,41.34
28/06/22 at 10:10AM,3.40,3.00,5.00,0.13,16.66,-1414.90,-1779.00,-572.00,25.96,21.14
28/06/22 at 10:20AM,2.70,2.00,4.00,0.22,13.23,-1888.00,-2310.00,-1391.00,157.17,18.06
28/06/22 at 10:30AM,11.10,10.00,12.00,0.03,54.39,2649.10,2180.00,3260.00,193.18,47.53
28/06/22 at 10:40AM,11.80,11.00,12.00,0.06,57.82,4120.40,3417.00,4592.00,11.26,57.08
28/06/22 at 10:50AM,12.60,12.00,13.00,0.13,61.74,4592.50,4011.00,5324.00,183.89,60.15
28/06/22 at 11:00AM,14.00,13.00,15.00,0.32,68.60,6130.30,5580.00,6730.00,44.68,70.13
28/06/22 at 11:10AM,14.80,14.00,15.00,0.06,72.52,6314.10,5911.00,7026.00,109.38,71.33
28/06/22 at 11:20AM,14.90,14.00,15.00,0.28,73.01,5972.70,4749.00,6691.00,132.59,69.11
28/06/22 at 11:30AM,18.30,18.00,19.00,0.09,89.67,9168.90,8770.00,9449.00,126.14,89.86
28/06/22 at 11:40AM,9.90,9.00,10.00,0.03,48.51,2460.30,1549.00,3042.00,166.87,46.30
28/06/22 at 11:50AM,4.20,4.00,5.00,0.06,20.58,-459.00,-992.00,1.00,60.40,27.34
28/06/22 at 12:00PM,20.50,17.00,22.00,0.16,100.45,11210.60,10076.00,11909.00,158.56,103.12
28/06/22 at 12:10PM,6.10,5.00,7.00,0.03,29.89,-20.50,-513.00,358.00,55.18,30.19
28/06/22 at 12:20PM,5.70,5.00,6.00,0.09,27.93,-251.90,-785.00,54.00,168.58,28.69
28/06/22 at 12:30PM,20.10,20.00,21.00,0.03,98.49,10808.30,10225.00,11428.00,13.82,100.51
28/06/22 at 12:40PM,16.40,15.00,18.00,0.44,80.36,8521.70,7150.00,10208.00,433.77,85.66
28/06/22 at 12:50PM,23.20,22.00,24.00,0.06,113.68,13131.60,10889.00,15074.00,298.39,115.59
28/06/22 at 01:00PM,6.00,4.00,7.00,0.00,29.40,276.20,-57.00,779.00,19.04,32.12
28/06/22 at 01:10PM,24.20,24.00,25.00,0.06,118.58,16309.50,15789.00,16822.00,164.60,136.23
