Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
04/08/22 at 11:48AM,13.30,13.00,14.00,0.09,65.17,5731.20,5302.00,6694.00,101.89,67.54
04/08/22 at 11:58AM,13.00,12.00,14.00,0.00,63.70,5773.90,5492.00,6175.00,28.75,67.82
04/08/22 at 12:08PM,24.30,23.00,25.00,0.22,119.07,16141.20,15471.00,16890.00,236.79,135.14
04/08/22 at 12:18PM,22.60,22.00,23.00,0.13,110.74,14868.00,14278.00,15348.00,186.57,126.87
04/08/22 at 12:28PM,23.00,22.00,24.00,0.00,112.70,15165.50,14236.00,15896.00,244.29,128.80
04/08/22 at 12:38PM,22.10,22.00,23.00,0.03,108.29,14172.00,13167.00,15044.00,183.41,122.35
04/08/22 at 12:48PM,21.60,21.00,22.00,0.13,105.84,13764.40,12815.00,14408.00,78.93,119.70
04/08/22 at 12:58PM,23.10,23.00,24.00,0.03,113.19,15686.40,14902.00,16182.00,235.40,132.18
04/08/22 at 01:08PM,22.40,22.00,23.00,0.13,109.76,14178.10,13549.00,14656.00,129.94,122.39
04/08/22 at 01:18PM,20.40,20.00,21.00,0.13,99.96,13451.90,12799.00,14877.00,6.99,117.67
04/08/22 at 01:28PM,15.10,15.00,16.00,0.03,73.99,8745.40,8453.00,9238.00,70.65,87.11
04/08/22 at 01:38PM,23.10,23.00,24.00,0.03,113.19,15585.30,14963.00,16288.00,133.35,131.53
04/08/22 at 01:48PM,23.60,23.00,24.00,0.19,115.64,15823.80,15355.00,16336.00,86.71,133.08
04/08/22 at 01:58PM,20.20,20.00,21.00,0.06,98.98,13253.40,12638.00,14152.00,31.12,116.39
04/08/22 at 02:08PM,19.90,19.00,20.00,0.03,97.51,13099.60,12823.00,13681.00,87.47,115.39
04/08/22 at 02:18PM,20.60,20.00,22.00,0.19,100.94,13416.10,12666.00,13974.00,107.17,117.44
04/08/22 at 02:28PM,20.40,20.00,21.00,0.13,99.96,13106.50,12423.00,13688.00,183.89,115.43
04/08/22 at 02:38PM,18.80,18.00,19.00,0.06,92.12,11684.20,10667.00,13041.00,321.67,106.20
04/08/22 at 02:48PM,17.80,17.00,18.00,0.06,87.22,10915.40,10308.00,11890.00,192.08,101.20
04/08/22 at 02:58PM,17.20,17.00,18.00,0.06,84.28,10581.30,9748.00,11480.00,238.85,99.03
04/08/22 at 03:08PM,16.80,16.00,17.00,0.06,82.32,9744.00,9406.00,10358.00,7.27,93.60
04/08/22 at 03:18PM,15.50,15.00,16.00,0.16,75.95,8949.50,8593.00,9268.00,112.74,88.44
04/08/22 at 03:28PM,15.40,15.00,16.00,0.13,75.46,8971.90,8412.00,9674.00,182.18,88.58
04/08/22 at 03:38PM,14.80,14.00,15.00,0.06,72.52,8229.10,7880.00,8623.00,14.20,83.76
04/08/22 at 03:48PM,13.40,13.00,14.00,0.13,65.66,6707.10,6360.00,7157.00,109.76,73.88
04/08/22 at 03:58PM,13.70,13.00,14.00,0.09,67.13,7041.40,6622.00,7431.00,123.20,76.05
04/08/22 at 04:08PM,12.90,12.00,13.00,0.03,63.21,6178.50,5051.00,7422.00,77.95,70.44
04/08/22 at 04:18PM,13.10,12.00,14.00,0.28,64.19,6692.50,6088.00,7464.00,63.40,73.78
04/08/22 at 04:28PM,12.10,12.00,13.00,0.03,59.29,5642.80,5117.00,6105.00,115.04,66.97
04/08/22 at 04:38PM,9.90,9.00,11.00,0.28,48.51,3737.10,3113.00,4264.00,63.91,54.59
04/08/22 at 04:49PM,11.70,11.00,13.00,0.09,57.33,5187.90,4520.00,5761.00,120.77,64.01
04/08/22 at 04:59PM,7.00,6.00,8.00,0.32,34.30,1321.90,802.00,1839.00,48.35,38.91
04/08/22 at 05:09PM,6.70,6.00,7.00,0.09,32.83,1107.50,634.00,1603.00,13.12,37.52
04/08/22 at 05:19PM,7.70,7.00,8.00,0.09,37.73,2057.10,1566.00,2667.00,27.23,43.68
04/08/22 at 05:29PM,7.90,7.00,9.00,0.03,38.71,2316.30,1714.00,2721.00,11.16,45.37
04/08/22 at 05:39PM,5.10,4.00,6.00,0.03,24.99,26.50,-161.00,296.00,9.33,30.50
04/08/22 at 05:49PM,3.10,3.00,4.00,0.03,15.19,-1870.10,-2202.00,-1524.00,104.96,18.18
04/08/22 at 05:59PM,0.60,0.00,1.00,0.13,2.94,-3109.40,-3287.00,-2796.00,21.00,10.13
04/08/22 at 06:09PM,0.70,0.00,2.00,0.22,3.43,-3325.50,-3647.00,-3067.00,79.22,8.73
04/08/22 at 06:19PM,0.00,0.00,0.00,0.00,0.00,-3784.50,-4067.00,-3559.00,54.55,5.75
04/08/22 at 06:29PM,0.00,0.00,0.00,0.00,0.00,-4037.20,-4266.00,-3696.00,51.29,4.11
04/08/22 at 06:39PM,0.00,0.00,0.00,0.00,0.00,-3354.30,-4113.00,-2769.00,146.51,8.54
04/08/22 at 06:49PM,0.00,0.00,0.00,0.00,0.00,-3594.20,-4050.00,-2975.00,22.71,6.99
04/08/22 at 06:59PM,0.00,0.00,0.00,0.00,0.00,-3404.20,-4051.00,-2644.00,240.40,8.22
04/08/22 at 07:09PM,0.00,0.00,0.00,0.00,0.00,-3422.40,-4162.00,-2583.00,197.14,8.10
04/08/22 at 07:19PM,0.00,0.00,0.00,0.00,0.00,-3376.40,-4520.00,-2543.00,14.36,8.40
04/08/22 at 07:29PM,0.00,0.00,0.00,0.00,0.00,-3806.70,-4254.00,-3257.00,173.83,5.61
04/08/22 at 07:39PM,0.00,0.00,0.00,0.00,0.00,-3242.20,-4017.00,-2464.00,1.96,9.27
04/08/22 at 07:49PM,0.00,0.00,0.00,0.00,0.00,-3708.00,-4617.00,-2865.00,184.36,6.25
04/08/22 at 07:59PM,0.00,0.00,0.00,0.00,0.00,-4358.00,-4773.00,-3858.00,52.18,2.03
04/08/22 at 08:09PM,0.00,0.00,0.00,0.00,0.00,-4476.20,-4998.00,-3360.00,165.01,1.26
