Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
13/07/22 at 12:01AM,20.80,20.00,21.00,0.06,101.92,13601.30,12705.00,14438.00,264.59,118.64
13/07/22 at 12:11AM,20.30,20.00,21.00,0.09,99.47,12126.90,11327.00,12618.00,142.33,109.07
13/07/22 at 12:21AM,20.30,20.00,21.00,0.09,99.47,12774.30,11648.00,13554.00,93.38,113.27
13/07/22 at 12:31AM,20.10,20.00,21.00,0.03,98.49,12465.80,11837.00,13521.00,72.35,111.27
13/07/22 at 12:41AM,19.90,19.00,20.00,0.03,97.51,11337.00,10361.00,12344.00,318.44,103.94
13/07/22 at 12:51AM,19.10,19.00,20.00,0.03,93.59,12234.20,10691.00,13196.00,192.84,109.77
13/07/22 at 01:01AM,18.90,18.00,19.00,0.03,92.61,10878.60,9912.00,11757.00,277.77,100.96
13/07/22 at 01:11AM,18.40,17.00,19.00,0.19,90.16,11289.10,9910.00,11908.00,129.94,103.63
13/07/22 at 01:21AM,17.90,17.00,18.00,0.03,87.71,10682.70,10239.00,11192.00,49.87,99.69
13/07/22 at 01:31AM,17.40,17.00,18.00,0.13,85.26,10213.60,9333.00,11286.00,240.78,96.65
13/07/22 at 01:41AM,17.10,17.00,18.00,0.03,83.79,10153.00,8924.00,11460.00,413.31,96.25
13/07/22 at 01:51AM,16.40,16.00,17.00,0.13,80.36,9231.10,8619.00,9702.00,5.03,90.27
13/07/22 at 02:01AM,15.90,15.00,16.00,0.03,77.91,9604.60,7717.00,10545.00,150.33,92.69
13/07/22 at 02:11AM,15.20,15.00,16.00,0.06,74.48,8932.20,8519.00,9515.00,38.52,88.33
13/07/22 at 02:21AM,15.10,15.00,16.00,0.03,73.99,7471.30,6787.00,8204.00,90.98,78.84
13/07/22 at 02:31AM,14.00,13.00,15.00,0.00,68.60,7965.90,6894.00,8515.00,10.09,82.05
13/07/22 at 02:41AM,13.40,13.00,14.00,0.19,65.66,7315.00,6532.00,8155.00,43.96,77.82
13/07/22 at 02:51AM,12.60,12.00,13.00,0.13,61.74,6348.60,5760.00,6873.00,12.78,71.55
13/07/22 at 03:02AM,12.00,12.00,12.00,0.00,58.80,5702.80,4461.00,6612.00,282.14,67.36
13/07/22 at 03:12AM,11.30,11.00,12.00,0.22,55.37,5574.90,4441.00,6437.00,252.70,66.53
13/07/22 at 03:22AM,10.90,10.00,11.00,0.28,53.41,4595.40,4153.00,5027.00,94.05,60.16
13/07/22 at 03:32AM,10.00,10.00,10.00,0.00,49.00,4097.80,2851.00,4877.00,246.40,56.93
13/07/22 at 03:42AM,9.20,9.00,10.00,0.06,45.08,3692.70,3155.00,4247.00,63.97,54.30
13/07/22 at 03:52AM,8.50,8.00,9.00,0.16,41.65,3153.40,2245.00,4027.00,104.80,50.80
13/07/22 at 04:02AM,7.90,7.00,8.00,0.03,38.71,2419.20,1306.00,3122.00,152.36,46.03
13/07/22 at 04:12AM,7.20,7.00,8.00,0.06,35.28,2318.40,1744.00,2837.00,42.25,45.38
13/07/22 at 04:22AM,6.50,6.00,7.00,0.16,31.85,1810.80,1058.00,2304.00,155.96,42.08
13/07/22 at 04:32AM,5.90,5.00,7.00,0.03,28.91,677.20,-61.00,1293.00,194.73,34.72
13/07/22 at 04:42AM,5.50,5.00,6.00,0.16,26.95,500.10,47.00,1005.00,159.66,33.57
13/07/22 at 04:52AM,4.30,4.00,5.00,0.09,21.07,-57.30,-412.00,128.00,21.28,29.95
13/07/22 at 05:02AM,3.90,3.00,5.00,0.03,19.11,-357.50,-850.00,367.00,229.11,28.00
13/07/22 at 05:12AM,3.40,3.00,4.00,0.19,16.66,-565.40,-1388.00,-145.00,22.89,26.65
13/07/22 at 05:22AM,2.80,2.00,3.00,0.06,13.72,-726.20,-1191.00,-64.00,131.80,25.61
13/07/22 at 05:32AM,2.40,2.00,3.00,0.13,11.76,-1365.50,-2056.00,-690.00,213.61,21.46
13/07/22 at 05:42AM,2.10,1.00,3.00,0.28,10.29,-1796.20,-2469.00,-1518.00,43.07,18.66
13/07/22 at 05:52AM,1.60,1.00,2.00,0.19,7.84,-2300.80,-2928.00,-1812.00,36.11,15.38
13/07/22 at 06:02AM,1.10,1.00,2.00,0.03,5.39,-2593.30,-2948.00,-2032.00,104.58,13.49
13/07/22 at 06:12AM,1.60,0.00,7.00,0.19,7.84,-2883.60,-3276.00,-2289.00,101.64,11.60
13/07/22 at 06:22AM,0.40,0.00,1.00,0.13,1.96,-2668.90,-3093.00,-2219.00,3.19,12.99
13/07/22 at 06:32AM,0.20,0.00,1.00,0.06,0.98,-3269.10,-3726.00,-2520.00,236.89,9.10
13/07/22 at 06:42AM,0.00,0.00,0.00,0.00,0.00,-3595.60,-3955.00,-3191.00,113.65,6.98
13/07/22 at 06:52AM,0.00,0.00,0.00,0.00,0.00,-4049.80,-4352.00,-3776.00,15.75,4.03
13/07/22 at 07:02AM,0.00,0.00,0.00,0.00,0.00,-3742.70,-4381.00,-3230.00,201.85,6.02
13/07/22 at 07:12AM,0.00,0.00,0.00,0.00,0.00,-4070.40,-4539.00,-3411.00,113.08,3.89
13/07/22 at 07:22AM,0.00,0.00,0.00,0.00,0.00,-4673.90,-5110.00,-4259.00,105.90,-0.03
13/07/22 at 07:32AM,0.00,0.00,0.00,0.00,0.00,-4029.60,-5035.00,-2876.00,364.80,4.16
13/07/22 at 07:42AM,0.00,0.00,0.00,0.00,0.00,-3805.90,-4699.00,-3042.00,241.57,5.61
13/07/22 at 07:52AM,0.00,0.00,0.00,0.00,0.00,-4442.70,-5039.00,-3865.00,0.41,1.48
13/07/22 at 08:02AM,0.00,0.00,0.00,0.00,0.00,-4347.00,-5316.00,-3613.00,215.35,2.10
13/07/22 at 08:12AM,0.00,0.00,0.00,0.00,0.00,-3987.10,-5132.00,-3087.00,230.88,4.43
13/07/22 at 08:23AM,0.00,0.00,0.00,0.00,0.00,-4056.30,-4997.00,-3157.00,148.85,3.99
13/07/22 at 08:33AM,0.00,0.00,0.00,0.00,0.00,-3731.70,-4453.00,-3060.00,118.05,6.09
13/07/22 at 08:43AM,0.00,0.00,0.00,0.00,0.00,-4617.60,-5427.00,-4035.00,97.90,0.34
13/07/22 at 08:53AM,0.00,0.00,0.00,0.00,0.00,-3983.80,-4784.00,-2963.00,225.53,4.46
13/07/22 at 09:03AM,0.00,0.00,0.00,0.00,0.00,-4238.80,-4825.00,-3609.00,83.55,2.80
13/07/22 at 09:13AM,0.00,0.00,0.00,0.00,0.00,-4204.40,-4630.00,-3788.00,77.29,3.02
13/07/22 at 09:23AM,0.00,0.00,0.00,0.00,0.00,-3626.90,-4190.00,-2996.00,161.88,6.77
13/07/22 at 09:33AM,0.00,0.00,0.00,0.00,0.00,-3870.80,-4738.00,-2626.00,201.82,5.19
13/07/22 at 09:43AM,0.00,0.00,0.00,0.00,0.00,-3288.70,-4808.00,-2292.00,315.18,8.97
13/07/22 at 09:53AM,0.00,0.00,0.00,0.00,0.00,-4012.70,-4565.00,-3398.00,163.90,4.27
13/07/22 at 10:03AM,0.00,0.00,0.00,0.00,0.00,-4025.50,-4945.00,-3405.00,290.77,4.19
13/07/22 at 10:13AM,0.00,0.00,0.00,0.00,0.00,-4329.60,-4930.00,-3888.00,78.23,2.21
13/07/22 at 10:23AM,0.00,0.00,0.00,0.00,0.00,-4105.00,-4797.00,-2781.00,17.08,3.67
13/07/22 at 10:33AM,0.00,0.00,0.00,0.00,0.00,-4257.40,-5141.00,-3775.00,73.18,2.68
13/07/22 at 10:43AM,0.00,0.00,0.00,0.00,0.00,-3557.70,-4532.00,-2876.00,308.10,7.22
13/07/22 at 10:53AM,0.00,0.00,0.00,0.00,0.00,-3859.00,-5102.00,-2950.00,29.09,5.27
13/07/22 at 11:03AM,0.00,0.00,0.00,0.00,0.00,-3779.10,-4773.00,-3313.00,145.18,5.79
13/07/22 at 11:13AM,0.00,0.00,0.00,0.00,0.00,-4040.70,-4827.00,-3262.00,248.65,4.09
13/07/22 at 11:23AM,0.00,0.00,0.00,0.00,0.00,-4279.80,-5121.00,-3299.00,147.74,2.53
13/07/22 at 11:33AM,0.00,0.00,0.00,0.00,0.00,-3997.80,-4602.00,-3061.00,102.08,4.36
13/07/22 at 11:43AM,0.00,0.00,0.00,0.00,0.00,-4114.00,-4957.00,-3353.00,170.45,3.61
13/07/22 at 11:53AM,0.00,0.00,0.00,0.00,0.00,-4353.40,-4662.00,-3879.00,49.77,2.06
13/07/22 at 12:03PM,0.00,0.00,0.00,0.00,0.00,-4036.60,-4466.00,-3665.00,102.96,4.11
13/07/22 at 12:13PM,0.00,0.00,0.00,0.00,0.00,-4375.60,-4868.00,-3829.00,172.85,1.91
13/07/22 at 12:23PM,0.00,0.00,0.00,0.00,0.00,-3707.90,-4125.00,-3115.00,128.74,6.25
13/07/22 at 12:33PM,0.00,0.00,0.00,0.00,0.00,-4253.80,-4609.00,-3724.00,167.54,2.70
13/07/22 at 12:43PM,0.00,0.00,0.00,0.00,0.00,-4025.20,-5027.00,-3040.00,89.11,4.19
13/07/22 at 12:53PM,0.00,0.00,0.00,0.00,0.00,-4016.90,-4462.00,-3418.00,19.26,4.24
13/07/22 at 01:03PM,0.00,0.00,0.00,0.00,0.00,-4455.20,-4935.00,-3744.00,46.11,1.39
13/07/22 at 01:13PM,0.00,0.00,0.00,0.00,0.00,-4177.20,-4859.00,-3599.00,16.06,3.20
13/07/22 at 01:23PM,0.00,0.00,0.00,0.00,0.00,-4056.90,-4627.00,-3718.00,42.98,3.98
13/07/22 at 01:33PM,0.00,0.00,0.00,0.00,0.00,-3795.40,-4823.00,-2919.00,275.62,5.68
13/07/22 at 01:43PM,0.00,0.00,0.00,0.00,0.00,-4188.10,-5173.00,-3560.00,174.27,3.13
13/07/22 at 01:53PM,0.00,0.00,0.00,0.00,0.00,-4034.50,-4856.00,-3102.00,56.76,4.13
13/07/22 at 02:03PM,0.00,0.00,0.00,0.00,0.00,-4163.60,-4897.00,-3409.00,231.92,3.29
13/07/22 at 02:13PM,0.00,0.00,0.00,0.00,0.00,-4744.20,-5291.00,-4009.00,30.93,-0.48
13/07/22 at 02:23PM,0.10,0.00,1.00,0.03,0.49,-4526.30,-5388.00,-3990.00,169.59,0.93
13/07/22 at 02:33PM,0.00,0.00,0.00,0.00,0.00,-4294.60,-4995.00,-3008.00,12.52,2.44
13/07/22 at 02:43PM,0.00,0.00,0.00,0.00,0.00,-4503.80,-5076.00,-4072.00,86.58,1.08
13/07/22 at 02:53PM,0.00,0.00,0.00,0.00,0.00,-4181.60,-4781.00,-3584.00,65.90,3.17
13/07/22 at 03:03PM,0.00,0.00,0.00,0.00,0.00,-3998.60,-4597.00,-2854.00,139.90,4.36
13/07/22 at 03:13PM,0.00,0.00,0.00,0.00,0.00,-3728.50,-4286.00,-2791.00,45.38,6.11
13/07/22 at 03:23PM,0.00,0.00,0.00,0.00,0.00,-4262.40,-4954.00,-3694.00,36.56,2.65
13/07/22 at 03:33PM,0.00,0.00,0.00,0.00,0.00,-4159.50,-4872.00,-3338.00,40.32,3.31
13/07/22 at 03:43PM,0.00,0.00,0.00,0.00,0.00,-4798.10,-5893.00,-4186.00,117.35,-0.83
13/07/22 at 03:53PM,0.00,0.00,0.00,0.00,0.00,-4412.80,-4985.00,-3384.00,10.18,1.67
13/07/22 at 04:03PM,0.00,0.00,0.00,0.00,0.00,-3788.70,-4524.00,-2917.00,210.83,5.72
13/07/22 at 04:13PM,0.00,0.00,0.00,0.00,0.00,-4547.30,-5064.00,-3959.00,186.04,0.80
13/07/22 at 04:23PM,0.00,0.00,0.00,0.00,0.00,-4303.20,-4806.00,-3772.00,167.98,2.38
13/07/22 at 04:33PM,0.00,0.00,0.00,0.00,0.00,-3942.10,-4203.00,-3334.00,62.90,4.73
13/07/22 at 04:43PM,0.00,0.00,0.00,0.00,0.00,-3414.40,-3967.00,-3042.00,68.12,8.15
13/07/22 at 04:53PM,0.00,0.00,0.00,0.00,0.00,-3151.50,-3709.00,-2663.00,121.27,9.86
13/07/22 at 05:03PM,0.00,0.00,0.00,0.00,0.00,-3525.10,-3958.00,-3050.00,30.71,7.43
13/07/22 at 05:13PM,0.70,0.00,2.00,0.22,3.43,-2917.50,-3686.00,-1875.00,46.96,11.38
13/07/22 at 05:23PM,1.40,0.00,2.00,0.44,6.86,-2094.00,-2693.00,-1569.00,10.44,16.73
13/07/22 at 05:33PM,2.60,2.00,5.00,0.13,12.74,-1715.50,-2267.00,-707.00,60.87,19.19
