Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
29/05/22 at 12:02AM,0.00,0.00,0.00,0.00,0.00,-4584.80,-5139.00,-4070.00,88.29,0.55
29/05/22 at 12:12AM,0.00,0.00,0.00,0.00,0.00,-4501.00,-5128.00,-3709.00,186.26,1.10
29/05/22 at 12:22AM,0.00,0.00,0.00,0.00,0.00,-4413.00,-4959.00,-3815.00,162.54,1.67
29/05/22 at 12:32AM,0.00,0.00,0.00,0.00,0.00,-4372.30,-4907.00,-3479.00,282.49,1.93
29/05/22 at 12:42AM,0.00,0.00,0.00,0.00,0.00,-4338.20,-5040.00,-3436.00,189.99,2.15
29/05/22 at 12:52AM,0.00,0.00,0.00,0.00,0.00,-4399.20,-5182.00,-3583.00,68.05,1.76
29/05/22 at 01:02AM,0.00,0.00,0.00,0.00,0.00,-4934.10,-5742.00,-4392.00,13.00,-1.71
29/05/22 at 01:12AM,0.00,0.00,0.00,0.00,0.00,-4162.40,-5145.00,-3505.00,310.73,3.30
29/05/22 at 01:22AM,0.00,0.00,0.00,0.00,0.00,-4673.10,-4937.00,-4243.00,33.87,-0.02
29/05/22 at 01:33AM,0.00,0.00,0.00,0.00,0.00,-4302.40,-4861.00,-3721.00,70.65,2.39
29/05/22 at 01:43AM,0.00,0.00,0.00,0.00,0.00,-4462.70,-5810.00,-3240.00,41.84,1.35
29/05/22 at 01:53AM,0.00,0.00,0.00,0.00,0.00,-4345.30,-4933.00,-3933.00,59.55,2.11
29/05/22 at 02:03AM,0.00,0.00,0.00,0.00,0.00,-4429.30,-5144.00,-3822.00,32.98,1.56
29/05/22 at 02:13AM,0.00,0.00,0.00,0.00,0.00,-4121.20,-4928.00,-3348.00,255.13,3.56
29/05/22 at 02:23AM,0.00,0.00,0.00,0.00,0.00,-4402.20,-5371.00,-3345.00,291.18,1.74
29/05/22 at 02:33AM,0.00,0.00,0.00,0.00,0.00,-4023.10,-4967.00,-2868.00,201.15,4.20
29/05/22 at 02:43AM,0.00,0.00,0.00,0.00,0.00,-3748.10,-4144.00,-3176.00,88.83,5.99
29/05/22 at 02:53AM,0.00,0.00,0.00,0.00,0.00,-4755.90,-5314.00,-3856.00,13.95,-0.56
29/05/22 at 03:03AM,0.00,0.00,0.00,0.00,0.00,-4183.80,-4995.00,-3594.00,71.72,3.16
29/05/22 at 03:13AM,0.00,0.00,0.00,0.00,0.00,-4366.90,-4873.00,-3768.00,15.15,1.97
29/05/22 at 03:23AM,0.00,0.00,0.00,0.00,0.00,-4262.80,-4894.00,-3606.00,134.78,2.64
29/05/22 at 03:33AM,0.00,0.00,0.00,0.00,0.00,-4403.40,-5439.00,-3473.00,182.97,1.73
29/05/22 at 03:43AM,0.00,0.00,0.00,0.00,0.00,-4267.10,-5192.00,-3562.00,11.99,2.62
29/05/22 at 03:53AM,0.00,0.00,0.00,0.00,0.00,-4383.30,-4854.00,-3846.00,117.86,1.86
29/05/22 at 04:03AM,0.00,0.00,0.00,0.00,0.00,-4229.20,-5487.00,-3425.00,25.05,2.86
29/05/22 at 04:13AM,0.00,0.00,0.00,0.00,0.00,-4459.30,-5393.00,-3777.00,215.76,1.37
29/05/22 at 04:23AM,0.00,0.00,0.00,0.00,0.00,-3767.20,-4584.00,-2959.00,5.63,5.86
29/05/22 at 04:33AM,0.00,0.00,0.00,0.00,0.00,-4145.70,-4844.00,-3539.00,16.67,3.40
29/05/22 at 04:43AM,0.00,0.00,0.00,0.00,0.00,-4088.20,-4927.00,-3679.00,129.40,3.78
29/05/22 at 04:53AM,0.00,0.00,0.00,0.00,0.00,-3898.40,-4599.00,-3277.00,221.55,5.01
29/05/22 at 05:03AM,0.00,0.00,0.00,0.00,0.00,-3732.80,-4514.00,-3098.00,12.40,6.09
29/05/22 at 05:13AM,0.00,0.00,0.00,0.00,0.00,-3706.40,-4938.00,-2528.00,389.47,6.26
29/05/22 at 05:23AM,0.00,0.00,0.00,0.00,0.00,-4184.10,-4981.00,-3667.00,37.28,3.16
29/05/22 at 05:33AM,0.00,0.00,0.00,0.00,0.00,-4262.60,-4977.00,-3388.00,116.56,2.65
29/05/22 at 05:43AM,0.00,0.00,0.00,0.00,0.00,-3885.90,-4274.00,-3387.00,2.88,5.09
29/05/22 at 05:53AM,0.10,0.00,1.00,0.28,0.49,-4087.50,-5058.00,-3305.00,13.44,3.78
29/05/22 at 06:03AM,0.00,0.00,0.00,0.00,0.00,-3906.80,-5017.00,-3081.00,41.36,4.96
29/05/22 at 06:13AM,0.00,0.00,0.00,0.00,0.00,-3763.70,-5473.00,-2899.00,10.34,5.89
29/05/22 at 06:23AM,0.00,0.00,0.00,0.00,0.00,-3327.70,-3944.00,-2309.00,322.14,8.72
29/05/22 at 06:33AM,0.20,0.00,1.00,0.06,0.98,-3105.80,-3947.00,-2438.00,18.40,10.16
29/05/22 at 06:43AM,1.10,1.00,2.00,0.28,5.39,-2223.70,-3346.00,-628.00,34.06,15.89
29/05/22 at 06:53AM,1.10,0.00,2.00,0.35,5.39,-1547.90,-2917.00,-133.00,432.95,20.27
29/05/22 at 07:03AM,3.10,3.00,4.00,0.03,15.19,-1275.20,-1812.00,-808.00,108.09,22.04
29/05/22 at 07:13AM,4.40,4.00,5.00,0.13,21.56,-1116.50,-1391.00,-472.00,4.27,23.07
29/05/22 at 07:23AM,4.40,4.00,5.00,0.19,21.56,-613.90,-1339.00,-180.00,54.36,26.34
29/05/22 at 07:33AM,5.40,5.00,6.00,0.13,26.46,-521.40,-762.00,-208.00,25.42,26.94
29/05/22 at 07:43AM,5.60,5.00,6.00,0.13,27.44,-236.20,-659.00,56.00,3.86,28.79
29/05/22 at 07:53AM,6.90,6.00,7.00,0.03,33.81,111.80,-56.00,373.00,35.04,31.05
29/05/22 at 08:03AM,6.30,6.00,7.00,0.09,30.87,7.40,-111.00,149.00,16.63,30.37
29/05/22 at 08:13AM,10.00,10.00,10.00,0.00,49.00,2890.70,2643.00,3161.00,65.05,49.10
29/05/22 at 08:24AM,6.40,5.00,7.00,0.13,31.36,89.30,-404.00,496.00,21.41,30.90
29/05/22 at 08:34AM,8.20,7.00,11.00,0.06,40.18,1377.50,817.00,1883.00,177.25,39.27
29/05/22 at 08:44AM,10.50,10.00,11.00,0.16,51.45,2840.20,2350.00,3464.00,83.55,48.77
29/05/22 at 08:54AM,11.00,10.00,12.00,0.00,53.90,3450.70,2454.00,4089.00,201.85,52.73
29/05/22 at 09:04AM,12.90,12.00,13.00,0.03,63.21,4976.50,4439.00,5267.00,44.75,62.64
29/05/22 at 08:17AM,5.70,5.00,7.00,0.22,27.93,-347.50,-600.00,-114.00,73.84,28.07
29/05/22 at 08:27AM,7.40,7.00,8.00,0.19,36.26,656.40,353.00,944.00,53.00,34.59
29/05/22 at 08:37AM,2.60,2.00,3.00,0.19,12.74,-1780.00,-2131.00,-1544.00,56.92,18.77
29/05/22 at 08:47AM,8.00,8.00,8.00,0.00,39.20,965.40,869.00,1125.00,50.47,36.59
29/05/22 at 08:57AM,15.30,15.00,16.00,0.09,74.97,6933.30,5706.00,7531.00,102.05,75.35
29/05/22 at 09:07AM,14.20,13.00,15.00,0.06,69.58,6178.90,5761.00,6492.00,132.15,70.45
29/05/22 at 09:17AM,12.10,12.00,13.00,0.03,59.29,4145.60,3357.00,4566.00,38.39,57.24
