Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
26/05/22 at 12:03AM,0.00,0.00,0.00,0.00,0.00,-3792.60,-4481.00,-3063.00,217.69,5.70
26/05/22 at 12:13AM,0.00,0.00,0.00,0.00,0.00,-4435.20,-5402.00,-3629.00,305.73,1.52
26/05/22 at 12:23AM,0.00,0.00,0.00,0.00,0.00,-4298.90,-4830.00,-3878.00,47.47,2.41
26/05/22 at 12:33AM,0.00,0.00,0.00,0.00,0.00,-4429.60,-5151.00,-3706.00,5.50,1.56
26/05/22 at 12:43AM,0.00,0.00,0.00,0.00,0.00,-4542.00,-4923.00,-4121.00,83.80,0.83
26/05/22 at 12:53AM,0.00,0.00,0.00,0.00,0.00,-4197.40,-5081.00,-3582.00,229.77,3.07
26/05/22 at 01:03AM,0.00,0.00,0.00,0.00,0.00,-4160.20,-4616.00,-3321.00,25.36,3.31
26/05/22 at 01:13AM,0.00,0.00,0.00,0.00,0.00,-4242.50,-5516.00,-3162.00,59.61,2.78
26/05/22 at 01:23AM,0.00,0.00,0.00,0.00,0.00,-4359.20,-4966.00,-3846.00,162.29,2.02
26/05/22 at 01:33AM,0.00,0.00,0.00,0.00,0.00,-4414.80,-5083.00,-3431.00,39.47,1.66
26/05/22 at 01:43AM,0.00,0.00,0.00,0.00,0.00,-4335.50,-4957.00,-3473.00,94.71,2.17
26/05/22 at 01:53AM,0.00,0.00,0.00,0.00,0.00,-4133.30,-6058.00,-2812.00,345.23,3.49
26/05/22 at 02:03AM,0.00,0.00,0.00,0.00,0.00,-4593.00,-5147.00,-3923.00,86.01,0.50
26/05/22 at 02:13AM,0.00,0.00,0.00,0.00,0.00,-4290.90,-5040.00,-3513.00,121.46,2.46
26/05/22 at 02:23AM,0.00,0.00,0.00,0.00,0.00,-4435.70,-5364.00,-3230.00,1.80,1.52
26/05/22 at 02:33AM,0.00,0.00,0.00,0.00,0.00,-4463.40,-4659.00,-4218.00,61.85,1.34
26/05/22 at 02:43AM,0.00,0.00,0.00,0.00,0.00,-4262.30,-4870.00,-3251.00,48.92,2.65
26/05/22 at 02:53AM,0.00,0.00,0.00,0.00,0.00,-4127.90,-4537.00,-3732.00,28.75,3.52
