Date, arduino, min, max, ec_type, arduino_mv, HX711, min, max, ec_type, HX711_mv
27/07/22 at 12:03AM,0.00,0.00,0.00,0.00,0.00,-3459.90,-4530.00,-2557.00,338.40,7.86
27/07/22 at 12:13AM,0.00,0.00,0.00,0.00,0.00,-3312.60,-5014.00,-1789.00,89.05,8.81
27/07/22 at 12:23AM,0.00,0.00,0.00,0.00,0.00,-3469.00,-3914.00,-3211.00,11.38,7.80
27/07/22 at 12:33AM,0.00,0.00,0.00,0.00,0.00,-3931.30,-5006.00,-2760.00,227.59,4.80
27/07/22 at 12:43AM,0.00,0.00,0.00,0.00,0.00,-3412.30,-4485.00,-2765.00,339.22,8.17
27/07/22 at 12:53AM,0.00,0.00,0.00,0.00,0.00,-3618.40,-4283.00,-2570.00,80.76,6.83
27/07/22 at 01:03AM,0.00,0.00,0.00,0.00,0.00,-3207.60,-3980.00,-2027.00,103.22,9.50
27/07/22 at 01:13AM,0.00,0.00,0.00,0.00,0.00,-2618.20,-3215.00,-1920.00,179.24,13.32
27/07/22 at 01:23AM,0.00,0.00,0.00,0.00,0.00,-2725.20,-3645.00,-1924.00,88.80,12.63
27/07/22 at 01:33AM,0.20,0.00,1.00,0.06,0.98,-2983.50,-3704.00,-2231.00,227.84,10.95
27/07/22 at 01:43AM,2.30,2.00,3.00,0.22,11.27,-2134.80,-2597.00,-1681.00,110.62,16.46
27/07/22 at 01:53AM,2.30,1.00,3.00,0.09,11.27,-1753.80,-2517.00,-755.00,315.85,18.94
27/07/22 at 02:03AM,3.30,3.00,4.00,0.09,16.17,-1306.70,-1734.00,-774.00,168.45,21.84
27/07/22 at 02:13AM,4.90,4.00,6.00,0.28,24.01,-466.70,-962.00,-20.00,156.63,27.29
27/07/22 at 02:23AM,5.60,5.00,6.00,0.19,27.44,54.50,-406.00,547.00,112.42,30.68
27/07/22 at 02:33AM,3.80,1.00,5.00,0.06,18.62,-737.00,-1288.00,-242.00,96.77,25.54
27/07/22 at 02:43AM,5.70,5.00,6.00,0.09,27.93,-28.20,-426.00,241.00,11.13,30.14
27/07/22 at 02:54AM,8.00,8.00,8.00,0.00,39.20,1812.80,1002.00,2641.00,68.87,42.10
27/07/22 at 03:04AM,7.00,5.00,8.00,0.00,34.30,1564.90,1007.00,2370.00,176.42,40.49
27/07/22 at 03:14AM,7.90,7.00,10.00,0.03,38.71,954.30,59.00,1992.00,124.37,36.52
27/07/22 at 03:24AM,11.90,11.00,12.00,0.03,58.31,4664.20,4256.00,5326.00,129.08,60.61
27/07/22 at 03:34AM,10.40,10.00,11.00,0.13,50.96,3371.60,2518.00,4315.00,79.18,52.22
27/07/22 at 03:44AM,7.60,7.00,8.00,0.13,37.24,1266.30,609.00,2091.00,177.81,38.55
27/07/22 at 03:54AM,16.40,16.00,17.00,0.13,80.36,6843.00,4649.00,8662.00,184.99,74.76
27/07/22 at 04:04AM,8.00,8.00,8.00,0.00,39.20,1141.50,637.00,1728.00,39.05,37.74
27/07/22 at 04:14AM,13.20,13.00,14.00,0.06,64.68,5079.10,4014.00,6092.00,33.49,63.31
