Date, arduino, arduino_mv, HX711, HX711_mv
14/05/22 at 03:29PM,0,0.00,-4835,-1.00
14/05/22 at 03:29PM,0,0.00,-4638,0.00
14/05/22 at 03:29PM,0,0.00,-3689,6.00
14/05/22 at 03:33PM,0,0.00,-4119,3.00
14/05/22 at 03:34PM,0,0.00,-5237,-3.00
14/05/22 at 03:40PM,0,0.00,-4626,0.00
14/05/22 at 03:44PM,0,0.00,-4599,0.00
14/05/22 at 03:45PM,0,0.00,-4886,-1.00
14/05/22 at 03:45PM,0,0.00,-4845,-1.00
14/05/22 at 03:46PM,0,0.00,-4767,0.00
14/05/22 at 03:46PM,0,0.00,-5153,-3.00
14/05/22 at 03:47PM,0,0.00,-4663,0.00
14/05/22 at 03:47PM,0,0.00,-5069,-2.00
14/05/22 at 03:47PM,0,0.00,-4215,2.00
14/05/22 at 03:48PM,0,0.00,-5003,-2.00
14/05/22 at 03:48PM,0,0.00,-5017,-2.00
14/05/22 at 03:58PM,0,0.00,-5141,-3.00
14/05/22 at 04:08PM,0,0.00,-3895,5.00
14/05/22 at 04:18PM,0,0.00,-4503,1.00
14/05/22 at 04:28PM,0,0.00,-5152,-3.00
14/05/22 at 04:38PM,0,0.00,-3266,9.00
14/05/22 at 04:48PM,0,0.00,-3593,6.00
14/05/22 at 04:58PM,0,0.00,-3848,5.00
14/05/22 at 05:08PM,0,0.00,-4851,-1.00
14/05/22 at 05:18PM,0,0.00,-4970,-1.00
14/05/22 at 05:28PM,0,0.00,-3517,7.00
14/05/22 at 05:38PM,0,0.00,-3826,5.00
14/05/22 at 05:48PM,0,0.00,-3613,6.00
14/05/22 at 05:58PM,0,0.00,-4869,-1.00
14/05/22 at 06:08PM,0,0.00,-4549,0.00
14/05/22 at 06:18PM,0,0.00,-4327,2.00
14/05/22 at 06:28PM,0,0.00,-4136,3.00
14/05/22 at 06:38PM,0,0.00,-4405,1.00
14/05/22 at 06:48PM,0,0.00,-5055,-2.00
14/05/22 at 06:58PM,0,0.00,-5273,-3.00
14/05/22 at 07:08PM,0,0.00,-2664,13.00
14/05/22 at 07:18PM,0,0.00,-4564,0.00
14/05/22 at 07:28PM,0,0.00,-3972,4.00
14/05/22 at 07:38PM,0,0.00,-4670,0.00
14/05/22 at 07:48PM,0,0.00,-4592,0.00
14/05/22 at 07:58PM,0,0.00,-4988,-2.00
14/05/22 at 08:08PM,0,0.00,-4710,0.00
14/05/22 at 08:18PM,0,0.00,-3545,7.00
14/05/22 at 08:28PM,0,0.00,-4048,4.00
14/05/22 at 08:38PM,0,0.00,-3457,7.00
14/05/22 at 08:49PM,0,0.00,-4107,3.00
14/05/22 at 08:59PM,0,0.00,-4097,3.00
14/05/22 at 09:09PM,0,0.00,-4760,0.00
14/05/22 at 09:19PM,0,0.00,-3643,6.00
14/05/22 at 09:29PM,0,0.00,-4251,2.00
14/05/22 at 09:39PM,0,0.00,-3599,6.00
14/05/22 at 09:49PM,0,0.00,-4494,1.00
14/05/22 at 09:59PM,0,0.00,-4511,1.00
14/05/22 at 10:09PM,0,0.00,-3752,5.00
14/05/22 at 10:19PM,0,0.00,-4749,0.00
14/05/22 at 10:29PM,0,0.00,-3715,6.00
14/05/22 at 10:39PM,0,0.00,-4494,1.00
14/05/22 at 10:49PM,0,0.00,-3872,5.00
14/05/22 at 10:59PM,0,0.00,-4783,0.00
14/05/22 at 11:09PM,0,0.00,-3873,5.00
14/05/22 at 11:19PM,0,0.00,-3537,7.00
14/05/22 at 11:29PM,0,0.00,-3819,5.00
14/05/22 at 11:39PM,0,0.00,-3601,6.00
14/05/22 at 11:49PM,0,0.00,-4314,2.00
14/05/22 at 11:59PM,0,0.00,-3359,8.00
